d,o,h,l,c,v,p
2026-03-31 22:15:00,2289.000,2292.000,2288.000,2290.000,9307,539580
2026-03-31 22:30:00,2290.000,2296.000,2290.000,2295.000,9271,539893
2026-03-31 22:45:00,2295.000,2296.000,2292.000,2292.000,7356,540055
2026-03-31 23:00:00,2292.000,2296.000,2289.000,2290.000,12386,538214
2026-04-01 09:15:00,2290.000,2300.000,2290.000,2294.000,29214,538880
2026-04-01 09:30:00,2293.000,2294.000,2285.000,2288.000,18598,538941
2026-04-01 09:45:00,2288.000,2291.000,2287.000,2288.000,12377,541828
2026-04-01 10:00:00,2287.000,2292.000,2285.000,2290.000,6393,542267
2026-04-01 10:15:00,2289.000,2291.000,2287.000,2289.000,6205,542018
2026-04-01 10:45:00,2289.000,2294.000,2289.000,2290.000,11651,543371
2026-04-01 11:00:00,2290.000,2292.000,2288.000,2289.000,5776,543568
2026-04-01 11:15:00,2288.000,2289.000,2276.000,2276.000,36541,547988
2026-04-01 11:30:00,2277.000,2278.000,2273.000,2276.000,23608,548514
2026-04-01 13:45:00,2275.000,2277.000,2270.000,2272.000,30776,549371
2026-04-01 14:00:00,2272.000,2273.000,2268.000,2268.000,16594,550185
2026-04-01 14:15:00,2268.000,2271.000,2260.000,2260.000,31066,551442
2026-04-01 14:30:00,2259.000,2264.000,2259.000,2260.000,19122,551657
2026-04-01 14:45:00,2259.000,2261.000,2255.000,2260.000,24311,551261
2026-04-01 15:00:00,2259.000,2271.000,2259.000,2265.000,20185,542762
2026-04-01 21:15:00,2265.000,2267.000,2255.000,2256.000,56089,555614
2026-04-01 21:30:00,2257.000,2260.000,2252.000,2258.000,27275,556877
2026-04-01 21:45:00,2258.000,2259.000,2253.000,2256.000,18409,557384
2026-04-01 22:00:00,2256.000,2257.000,2252.000,2253.000,11871,558983
2026-04-01 22:15:00,2253.000,2256.000,2250.000,2254.000,17136,559129
2026-04-01 22:30:00,2254.000,2256.000,2251.000,2255.000,8281,559654
2026-04-01 22:45:00,2255.000,2257.000,2253.000,2253.000,9531,559878
2026-04-01 23:00:00,2252.000,2254.000,2250.000,2251.000,12911,558035
2026-04-02 09:15:00,2255.000,2270.000,2251.000,2269.000,36740,552668
2026-04-02 09:30:00,2268.000,2274.000,2266.000,2266.000,30565,548305
2026-04-02 09:45:00,2266.000,2270.000,2265.000,2267.000,13598,546702
2026-04-02 10:00:00,2267.000,2270.000,2263.000,2268.000,13416,545802
2026-04-02 10:15:00,2268.000,2270.000,2266.000,2268.000,6541,544814
2026-04-02 10:45:00,2268.000,2270.000,2261.000,2262.000,10388,544622
2026-04-02 11:00:00,2262.000,2264.000,2259.000,2261.000,15755,546117
2026-04-02 11:15:00,2260.000,2264.000,2258.000,2261.000,12357,545258
2026-04-02 11:30:00,2261.000,2264.000,2258.000,2263.000,11801,545950
2026-04-02 13:45:00,2264.000,2265.000,2258.000,2262.000,15344,544864
2026-04-02 14:00:00,2263.000,2264.000,2258.000,2259.000,14509,542922
2026-04-02 14:15:00,2258.000,2262.000,2257.000,2259.000,11245,541623
2026-04-02 14:30:00,2259.000,2261.000,2252.000,2254.000,19101,545096
2026-04-02 14:45:00,2255.000,2265.000,2253.000,2264.000,19416,544025
2026-04-02 15:00:00,2264.000,2264.000,2256.000,2256.000,6868,541500
2026-04-02 21:15:00,2257.000,2260.000,2247.000,2259.000,46677,543281
2026-04-02 21:30:00,2259.000,2259.000,2253.000,2258.000,20055,540380
2026-04-02 21:45:00,2259.000,2260.000,2255.000,2257.000,11425,539851
2026-04-02 22:00:00,2256.000,2257.000,2253.000,2254.000,10713,538465
