d,o,h,l,c,v,p
2026-04-24 22:15:00,644.800,646.200,642.800,644.000,1348,41018
2026-04-24 22:30:00,644.000,646.300,643.200,645.500,900,40896
2026-04-24 22:45:00,645.500,645.700,641.400,642.000,38,40708
2026-04-24 23:00:00,642.000,644.300,641.400,644.000,7,40634
2026-04-24 23:15:00,644.000,646.300,643.800,645.600,9,40702
2026-04-24 23:30:00,645.600,647.500,645.000,647.000,3,40820
2026-04-24 23:45:00,647.100,647.100,642.300,642.300,141,40808
2026-04-25 00:15:00,641.100,643.400,640.100,642.200,6,40249
2026-04-25 00:30:00,642.100,643.000,641.600,642.300,1,40211
2026-04-25 00:45:00,642.200,644.300,640.800,642.900,7,40169
2026-04-25 01:00:00,642.600,643.700,641.900,642.000,3,40199
2026-04-25 01:15:00,642.000,642.400,641.300,642.200,6,40196
2026-04-25 01:30:00,642.200,643.500,642.100,643.200,2,40134
2026-04-25 01:45:00,643.200,643.700,640.800,642.000,1,40114
2026-04-25 02:00:00,642.000,642.000,638.700,641.500,12,40014
2026-04-25 02:15:00,641.500,642.600,640.500,641.700,1,39967
2026-04-25 02:30:00,641.700,643.700,641.400,643.600,7,39856
2026-04-27 00:00:00,642.500,642.500,637.000,641.100,18,40283
2026-04-27 09:15:00,649.000,655.200,649.000,652.100,9293,40001
2026-04-27 09:30:00,652.100,654.600,651.700,653.000,700,40214
2026-04-27 09:45:00,652.800,654.400,651.400,652.100,793,40024
2026-04-27 10:00:00,652.000,654.800,651.500,653.800,868,40098
2026-04-27 10:15:00,653.800,654.700,652.500,652.500,906,39937
2026-04-27 10:45:00,651.700,652.900,649.500,652.000,1110,39777
2026-04-27 11:00:00,652.000,652.500,650.700,650.800,633,39605
2026-04-27 11:15:00,650.800,652.400,650.000,651.500,685,39484
2026-04-27 11:30:00,651.400,651.600,650.100,651.000,638,39477
2026-04-27 13:45:00,654.800,656.500,651.000,655.700,2094,39863
2026-04-27 14:00:00,655.700,655.900,653.400,654.100,910,39821
2026-04-27 14:15:00,654.100,655.300,653.500,654.400,690,39738
2026-04-27 14:30:00,654.500,655.200,654.000,654.900,446,39721
2026-04-27 14:45:00,654.900,655.500,654.500,654.800,389,39737
2026-04-27 15:00:00,654.800,654.900,652.100,653.500,30,39785
2026-04-27 21:15:00,654.100,654.500,651.400,652.500,2010,39530
2026-04-27 21:30:00,652.500,652.900,650.900,652.400,903,39305
2026-04-27 21:45:00,652.400,654.300,652.000,653.900,897,39242
2026-04-27 22:00:00,653.900,655.700,653.600,653.700,1175,39255
2026-04-27 22:15:00,653.700,654.500,652.200,654.000,1084,38977
2026-04-27 22:30:00,654.000,654.600,652.600,653.200,672,38901
2026-04-27 22:45:00,653.200,654.300,651.500,652.200,969,38737
2026-04-27 23:00:00,652.200,654.200,651.700,653.700,474,38737
2026-04-27 23:15:00,653.700,657.400,653.500,656.600,1663,38818
2026-04-27 23:30:00,656.600,658.800,655.800,656.100,985,38832
2026-04-27 23:45:00,656.100,657.300,655.200,655.800,508,38772
2026-04-28 00:00:00,655.900,656.500,654.200,654.400,483,38724
2026-04-28 00:15:00,654.400,655.800,654.200,655.400,340,38675
2026-04-28 00:30:00,655.500,655.700,654.500,655.300,196,38654
2026-04-28 00:45:00,655.600,656.500,654.100,656.300,330,38640
2026-04-28 01:00:00,656.300,657.000,655.500,656.700,331,38711
2026-04-28 01:15:00,656.900,657.500,656.200,657.300,277,38725
2026-04-28 01:30:00,657.300,659.700,656.800,657.100,662,38715
2026-04-28 01:45:00,657.100,657.100,655.200,655.500,377,38646
2026-04-28 02:00:00,655.500,656.500,655.300,656.300,169,38646
2026-04-28 02:15:00,656.100,658.500,656.100,657.000,385,38668
2026-04-28 02:30:00,657.000,657.500,654.000,654.300,626,38478
2026-04-28 09:15:00,656.900,658.800,654.500,657.700,1782,38581
2026-04-28 09:30:00,657.900,659.800,657.400,657.500,923,38656
2026-04-28 09:45:00,657.500,658.300,655.700,656.200,780,38434
2026-04-28 10:00:00,656.200,659.400,656.000,659.100,855,38486
2026-04-28 10:15:00,659.100,659.500,657.400,658.100,644,38421
2026-04-28 10:45:00,658.100,660.100,656.600,657.000,208,38262
2026-04-28 11:00:00,657.000,657.800,656.600,657.000,623,38206
2026-04-28 11:15:00,657.100,657.900,656.600,657.200,386,38094
2026-04-28 11:30:00,657.200,659.200,656.900,657.800,501,38115
2026-04-28 13:45:00,658.200,672.200,657.700,667.200,5755,39184
2026-04-28 14:00:00,667.200,669.400,664.500,664.800,1932,39395
2026-04-28 14:15:00,665.200,665.200,662.400,663.500,1339,39412
