d,o,h,l,c,v,p
2026-03-31 22:15:00,5440.000,5443.000,5434.000,5439.000,2951,347915
2026-03-31 22:30:00,5439.000,5454.000,5438.000,5450.000,6811,348460
2026-03-31 22:45:00,5451.000,5452.000,5447.000,5450.000,3951,349088
2026-03-31 23:00:00,5450.000,5457.000,5447.000,5448.000,7707,348605
2026-04-01 09:15:00,5443.000,5443.000,5409.000,5411.000,30053,348071
2026-04-01 09:30:00,5409.000,5417.000,5406.000,5412.000,13229,348524
2026-04-01 09:45:00,5412.000,5418.000,5407.000,5415.000,7165,348942
2026-04-01 10:00:00,5414.000,5416.000,5408.000,5412.000,5462,349569
2026-04-01 10:15:00,5410.000,5414.000,5409.000,5411.000,456,350180
2026-04-01 10:45:00,5411.000,5412.000,5395.000,5402.000,16146,351903
2026-04-01 11:00:00,5401.000,5403.000,5396.000,5403.000,7360,351653
2026-04-01 11:15:00,5402.000,5404.000,5399.000,5400.000,3967,352540
2026-04-01 11:30:00,5400.000,5403.000,5398.000,5398.000,4271,353715
2026-04-01 13:45:00,5399.000,5400.000,5392.000,5395.000,11524,353770
2026-04-01 14:00:00,5395.000,5397.000,5391.000,5392.000,7013,353712
2026-04-01 14:15:00,5390.000,5392.000,5381.000,5384.000,12162,352586
2026-04-01 14:30:00,5384.000,5388.000,5381.000,5383.000,6321,353638
2026-04-01 14:45:00,5384.000,5384.000,5374.000,5376.000,12763,354040
2026-04-01 15:00:00,5374.000,5383.000,5371.000,5381.000,14032,353107
2026-04-01 21:15:00,5380.000,5386.000,5368.000,5368.000,23137,356250
2026-04-01 21:30:00,5368.000,5379.000,5367.000,5376.000,13412,357378
2026-04-01 21:45:00,5376.000,5380.000,5374.000,5375.000,6057,357490
2026-04-01 22:00:00,5376.000,5376.000,5369.000,5371.000,7906,357011
2026-04-01 22:15:00,5370.000,5375.000,5370.000,5371.000,4398,357618
2026-04-01 22:30:00,5371.000,5373.000,5370.000,5370.000,2251,357606
2026-04-01 22:45:00,5370.000,5375.000,5368.000,5370.000,4119,357616
2026-04-01 23:00:00,5370.000,5371.000,5367.000,5368.000,3447,357150
2026-04-02 09:15:00,5370.000,5377.000,5370.000,5371.000,10011,359163
2026-04-02 09:30:00,5371.000,5386.000,5370.000,5385.000,15318,361620
2026-04-02 09:45:00,5383.000,5402.000,5383.000,5398.000,20718,360207
2026-04-02 10:00:00,5397.000,5406.000,5396.000,5405.000,12128,359519
2026-04-02 10:15:00,5404.000,5408.000,5396.000,5405.000,9459,359377
2026-04-02 10:45:00,5405.000,5411.000,5401.000,5403.000,7835,359938
2026-04-02 11:00:00,5403.000,5403.000,5393.000,5396.000,2318,360374
2026-04-02 11:15:00,5394.000,5398.000,5391.000,5395.000,5225,361067
2026-04-02 11:30:00,5395.000,5396.000,5387.000,5388.000,5170,361862
2026-04-02 13:45:00,5392.000,5399.000,5392.000,5394.000,6543,362456
2026-04-02 14:00:00,5393.000,5396.000,5391.000,5396.000,3605,362628
2026-04-02 14:15:00,5395.000,5401.000,5393.000,5396.000,5287,363183
2026-04-02 14:30:00,5395.000,5399.000,5393.000,5395.000,7734,365368
2026-04-02 14:45:00,5396.000,5399.000,5395.000,5396.000,3071,365909
2026-04-02 15:00:00,5396.000,5400.000,5395.000,5396.000,2295,364825
2026-04-02 21:15:00,5403.000,5410.000,5393.000,5404.000,36927,369358
2026-04-02 21:30:00,5404.000,5408.000,5399.000,5400.000,9240,370719
2026-04-02 21:45:00,5399.000,5400.000,5390.000,5391.000,10029,370738
2026-04-02 22:00:00,5392.000,5393.000,5388.000,5389.000,8138,371687
2026-04-02 22:15:00,5389.000,5397.000,5384.000,5394.000,12768,372192
2026-04-02 22:30:00,5394.000,5394.000,5388.000,5389.000,4337,372582
2026-04-02 22:45:00,5388.000,5391.000,5379.000,5380.000,9306,372835
2026-04-02 23:00:00,5380.000,5388.000,5379.000,5385.000,6436,372234
2026-04-03 09:15:00,5381.000,5381.000,5353.000,5354.000,44289,377914
2026-04-03 09:30:00,5354.000,5355.000,5346.000,5350.000,20874,379390
2026-04-03 09:45:00,5350.000,5354.000,5344.000,5349.000,12281,381323
2026-04-03 10:00:00,5349.000,5352.000,5340.000,5342.000,11101,383222
2026-04-03 10:15:00,5342.000,5344.000,5337.000,5342.000,13433,385343
2026-04-03 10:45:00,5346.000,5350.000,5341.000,5342.000,3707,386413
2026-04-03 11:00:00,5341.000,5346.000,5340.000,5345.000,5470,387230
2026-04-03 11:15:00,5346.000,5347.000,5341.000,5342.000,4878,387994
2026-04-03 11:30:00,5341.000,5343.000,5337.000,5337.000,8932,389604
2026-04-03 13:45:00,5338.000,5345.000,5336.000,5339.000,11452,391309
2026-04-03 14:00:00,5340.000,5343.000,5338.000,5342.000,5352,391890
2026-04-03 14:15:00,5342.000,5350.000,5342.000,5346.000,7126,392027
2026-04-03 14:30:00,5345.000,5346.000,5335.000,5336.000,10263,393327
2026-04-03 14:45:00,5335.000,5340.000,5335.000,5338.000,7816,394566
2026-04-03 15:00:00,5338.000,5340.000,5332.000,5338.000,54,394480
2026-04-07 09:15:00,5342.000,5357.000,5326.000,5334.000,39455,400331
2026-04-07 09:30:00,5334.000,5337.000,5328.000,5331.000,15794,403155
2026-04-07 09:45:00,5330.000,5333.000,5326.000,5330.000,12224,403514
2026-04-07 10:00:00,5329.000,5331.000,5322.000,5324.000,10821,404950
2026-04-07 10:15:00,5324.000,5330.000,5321.000,5327.000,12027,406039
2026-04-07 10:45:00,5326.000,5347.000,5323.000,5344.000,19029,405803
2026-04-07 11:00:00,5344.000,5344.000,5330.000,5331.000,11181,406531
2026-04-07 11:15:00,5330.000,5337.000,5330.000,5332.000,7701,407035
2026-04-07 11:30:00,5332.000,5333.000,5325.000,5330.000,7347,407782
2026-04-07 13:45:00,5330.000,5341.000,5329.000,5335.000,11859,409074
2026-04-07 14:00:00,5336.000,5336.000,5329.000,5330.000,8349,411010
2026-04-07 14:15:00,5330.000,5335.000,5329.000,5330.000,4381,411987
2026-04-07 14:30:00,5330.000,5339.000,5330.000,5336.000,6208,411989
2026-04-07 14:45:00,5336.000,5340.000,5333.000,5333.000,4407,412202
2026-04-07 15:00:00,5333.000,5334.000,5329.000,5329.000,5156,412602
2026-04-07 21:15:00,5324.000,5325.000,5310.000,5311.000,33405,418482
2026-04-07 21:30:00,5311.000,5313.000,5306.000,5310.000,17184,421297
2026-04-07 21:45:00,5309.000,5322.000,5309.000,5321.000,11448,422511
2026-04-07 22:00:00,5321.000,5324.000,5315.000,5319.000,6997,422917
2026-04-07 22:15:00,5318.000,5319.000,5315.000,5317.000,4739,422780
2026-04-07 22:30:00,5317.000,5317.000,5308.000,5309.000,7546,423188
2026-04-07 22:45:00,5308.000,5315.000,5308.000,5311.000,4090,423668
2026-04-07 23:00:00,5312.000,5315.000,5310.000,5313.000,1469,423067
2026-04-08 09:15:00,5300.000,5300.000,5271.000,5290.000,249,426990
2026-04-08 09:30:00,5290.000,5296.000,5283.000,5292.000,1859,430094
2026-04-08 09:45:00,5292.000,5303.000,5292.000,5294.000,211,430476
2026-04-08 10:00:00,5295.000,5295.000,5288.000,5293.000,343,431343
2026-04-08 10:15:00,5293.000,5303.000,5293.000,5303.000,1387,431884
2026-04-08 10:45:00,5303.000,5309.000,5296.000,5297.000,54,432252
2026-04-08 11:00:00,5296.000,5300.000,5295.000,5299.000,385,432459
2026-04-08 11:15:00,5298.000,5298.000,5292.000,5292.000,13,433104
2026-04-08 11:30:00,5292.000,5301.000,5292.000,5300.000,592,433628
2026-04-08 13:45:00,5300.000,5305.000,5296.000,5296.000,392,434888
2026-04-08 14:00:00,5296.000,5298.000,5292.000,5293.000,77,435691
2026-04-08 14:15:00,5293.000,5301.000,5290.000,5291.000,3102,436795
2026-04-08 14:30:00,5291.000,5296.000,5290.000,5293.000,2279,438043
2026-04-08 14:45:00,5293.000,5295.000,5292.000,5294.000,13,438204
2026-04-08 15:00:00,5294.000,5294.000,5290.000,5291.000,1067,437390
2026-04-08 21:15:00,5284.000,5284.000,5259.000,5262.000,60921,440464
2026-04-08 21:30:00,5262.000,5267.000,5260.000,5263.000,14334,441777
2026-04-08 21:45:00,5262.000,5273.000,5262.000,5270.000,12540,441882
2026-04-08 22:00:00,5270.000,5273.000,5268.000,5271.000,7755,441654
2026-04-08 22:15:00,5272.000,5274.000,5271.000,5272.000,5565,441593
2026-04-08 22:30:00,5271.000,5275.000,5271.000,5275.000,6831,441658
2026-04-08 22:45:00,5275.000,5278.000,5274.000,5277.000,7080,441149
2026-04-08 23:00:00,5277.000,5282.000,5276.000,5279.000,7406,440223
2026-04-09 09:15:00,5280.000,5281.000,5270.000,5273.000,17563,441950
2026-04-09 09:30:00,5271.000,5272.000,5266.000,5270.000,11022,442796
2026-04-09 09:45:00,5270.000,5279.000,5268.000,5279.000,7106,442527
2026-04-09 10:00:00,5279.000,5281.000,5275.000,5276.000,203,443768
2026-04-09 10:15:00,5282.000,5282.000,5276.000,5280.000,6987,443912
2026-04-09 10:45:00,5280.000,5280.000,5275.000,5279.000,5553,445107
2026-04-09 11:00:00,5279.000,5281.000,5276.000,5281.000,4045,445874
2026-04-09 11:15:00,5281.000,5282.000,5275.000,5278.000,3590,446172
2026-04-09 11:30:00,5279.000,5282.000,5277.000,5281.000,3859,446149
2026-04-09 13:45:00,5281.000,5295.000,5279.000,5292.000,18119,447185
2026-04-09 14:00:00,5292.000,5303.000,5292.000,5301.000,22283,451010
2026-04-09 14:15:00,5302.000,5316.000,5301.000,5308.000,31618,451909
2026-04-09 14:30:00,5308.000,5335.000,5305.000,5318.000,42815,455436
2026-04-09 14:45:00,5318.000,5324.000,5313.000,5319.000,15009,456009
2026-04-09 15:00:00,5319.000,5320.000,5316.000,5317.000,1342,455616
2026-04-09 21:15:00,5301.000,5313.000,5301.000,5303.000,36879,460164
2026-04-09 21:30:00,5302.000,5303.000,5295.000,5296.000,20084,462807
2026-04-09 21:45:00,5297.000,5310.000,5296.000,5310.000,20905,466980
2026-04-09 22:00:00,5310.000,5320.000,5310.000,5315.000,23679,470287
2026-04-09 22:15:00,5315.000,5316.000,5307.000,5312.000,12541,470813
2026-04-09 22:30:00,5312.000,5315.000,5309.000,5310.000,7338,470790
2026-04-09 22:45:00,5309.000,5313.000,5306.000,5312.000,6632,470862
2026-04-09 23:00:00,5311.000,5312.000,5305.000,5308.000,7158,469650
2026-04-10 09:15:00,5305.000,5317.000,5305.000,5308.000,21166,470620
2026-04-10 09:30:00,5309.000,5312.000,5299.000,5306.000,13773,471995
2026-04-10 09:45:00,5305.000,5305.000,5297.000,5301.000,9427,473434
2026-04-10 10:00:00,5301.000,5305.000,5298.000,5301.000,7686,474294
2026-04-10 10:15:00,5301.000,5325.000,5301.000,5317.000,20385,476330
2026-04-10 10:45:00,5317.000,5318.000,5310.000,5311.000,9585,477793
2026-04-10 11:00:00,5311.000,5315.000,5306.000,5306.000,8281,478002
2026-04-10 11:15:00,5306.000,5314.000,5304.000,5313.000,7944,478837
2026-04-10 11:30:00,5314.000,5318.000,5309.000,5317.000,7006,479524
2026-04-10 13:45:00,5317.000,5323.000,5310.000,5314.000,15863,481349
2026-04-10 14:00:00,5313.000,5319.000,5312.000,5317.000,7861,483734
2026-04-10 14:15:00,5317.000,5319.000,5312.000,5317.000,680,485952
2026-04-10 14:30:00,5317.000,5325.000,5314.000,5323.000,606,488676
2026-04-10 14:45:00,5323.000,5327.000,5319.000,5325.000,1904,490230
2026-04-10 15:00:00,5325.000,5329.000,5324.000,5325.000,5350,489603
2026-04-10 21:15:00,5323.000,5326.000,5315.000,5316.000,29230,493322
2026-04-10 21:30:00,5316.000,5321.000,5311.000,5311.000,13267,493574
2026-04-10 21:45:00,5312.000,5320.000,5307.000,5318.000,12896,494077
2026-04-10 22:00:00,5318.000,5320.000,5313.000,5313.000,7372,494953
2026-04-10 22:15:00,5313.000,5315.000,5308.000,5315.000,8327,495533
2026-04-10 22:30:00,5314.000,5318.000,5308.000,5311.000,41,495103
2026-04-10 22:45:00,5311.000,5314.000,5305.000,5306.000,72,494742
2026-04-10 23:00:00,5306.000,5311.000,5306.000,5309.000,126,492793
2026-04-13 09:15:00,5318.000,5333.000,5317.000,5321.000,132771,495195
2026-04-13 09:30:00,5321.000,5327.000,5314.000,5314.000,15140,496536
2026-04-13 09:45:00,5314.000,5315.000,5305.000,5306.000,27192,498599
2026-04-13 10:00:00,5306.000,5311.000,5305.000,5310.000,940,498629
2026-04-13 10:15:00,5311.000,5312.000,5305.000,5312.000,7739,499689
2026-04-13 10:45:00,5312.000,5317.000,5311.000,5313.000,6816,498778
2026-04-13 11:00:00,5313.000,5315.000,5308.000,5308.000,4181,499349
2026-04-13 11:15:00,5308.000,5314.000,5306.000,5313.000,5101,499609
2026-04-13 11:30:00,5313.000,5313.000,5309.000,5310.000,4225,500029
2026-04-13 13:45:00,5311.000,5314.000,5307.000,5312.000,8669,501066
2026-04-13 14:00:00,5312.000,5318.000,5310.000,5317.000,9746,501927
2026-04-13 14:15:00,5318.000,5323.000,5317.000,5322.000,12275,502542
2026-04-13 14:30:00,5323.000,5327.000,5317.000,5319.000,18230,503598
2026-04-13 14:45:00,5319.000,5319.000,5313.000,5319.000,1713,504706
2026-04-13 15:00:00,5319.000,5319.000,5315.000,5319.000,386,504529
2026-04-13 21:15:00,5317.000,5317.000,5297.000,5310.000,43427,510955
2026-04-13 21:30:00,5308.000,5313.000,5299.000,5300.000,16965,513481
2026-04-13 21:45:00,5300.000,5309.000,5297.000,5307.000,12884,514952
2026-04-13 22:00:00,5307.000,5308.000,5288.000,5288.000,25497,517226
2026-04-13 22:15:00,5289.000,5297.000,5288.000,5296.000,17079,517409
2026-04-13 22:30:00,5296.000,5296.000,5289.000,5292.000,8733,517181
2026-04-13 22:45:00,5291.000,5292.000,5287.000,5288.000,9301,516663
2026-04-13 23:00:00,5288.000,5297.000,5288.000,5297.000,10589,513835
2026-04-14 09:15:00,5288.000,5297.000,5284.000,5290.000,21350,516031
2026-04-14 09:30:00,5289.000,5300.000,5288.000,5291.000,15694,517146
2026-04-14 09:45:00,5291.000,5295.000,5290.000,5292.000,7881,519402
2026-04-14 10:00:00,5292.000,5298.000,5291.000,5294.000,3593,520500
2026-04-14 10:15:00,5294.000,5296.000,5287.000,5292.000,461,521302
2026-04-14 10:45:00,5291.000,5292.000,5289.000,5292.000,12,521666
2026-04-14 11:00:00,5292.000,5296.000,5291.000,5292.000,1625,522130
2026-04-14 11:15:00,5292.000,5293.000,5289.000,5293.000,197,522975
2026-04-14 11:30:00,5292.000,5297.000,5292.000,5296.000,1126,523333
2026-04-14 13:45:00,5296.000,5296.000,5288.000,5294.000,429,524127
2026-04-14 14:00:00,5294.000,5295.000,5289.000,5291.000,1028,525002
2026-04-14 14:15:00,5291.000,5299.000,5290.000,5293.000,5149,526522
2026-04-14 14:30:00,5293.000,5296.000,5290.000,5291.000,74,526965
2026-04-14 14:45:00,5290.000,5293.000,5288.000,5288.000,3099,527929
2026-04-14 15:00:00,5288.000,5290.000,5286.000,5287.000,5702,528003
2026-04-14 21:15:00,5298.000,5309.000,5293.000,5307.000,43890,532857
2026-04-14 21:30:00,5307.000,5316.000,5305.000,5307.000,26269,534785
2026-04-14 21:45:00,5306.000,5306.000,5296.000,5297.000,22262,536115
2026-04-14 22:00:00,5297.000,5298.000,5291.000,5295.000,15936,536579
2026-04-14 22:15:00,5295.000,5296.000,5290.000,5294.000,10631,536353
2026-04-14 22:30:00,5294.000,5305.000,5293.000,5301.000,12594,537084
2026-04-14 22:45:00,5302.000,5304.000,5298.000,5303.000,10812,537782
2026-04-14 23:00:00,5303.000,5306.000,5301.000,5304.000,9705,536929
2026-04-15 09:15:00,5322.000,5330.000,5294.000,5308.000,38549,535022
2026-04-15 09:30:00,5309.000,5313.000,5304.000,5311.000,12143,536255
2026-04-15 09:45:00,5311.000,5313.000,5308.000,5310.000,8537,537141
2026-04-15 10:00:00,5311.000,5314.000,5309.000,5312.000,3650,537330
2026-04-15 10:15:00,5306.000,5313.000,5305.000,5306.000,7931,537831
2026-04-15 10:45:00,5307.000,5315.000,5306.000,5311.000,591,537894
2026-04-15 11:00:00,5311.000,5319.000,5311.000,5318.000,222,537861
2026-04-15 11:15:00,5316.000,5320.000,5315.000,5318.000,4430,538508
2026-04-15 11:30:00,5320.000,5321.000,5318.000,5320.000,110,538519
2026-04-15 13:45:00,5320.000,5322.000,5313.000,5313.000,7,537216
2026-04-15 14:00:00,5314.000,5315.000,5310.000,5310.000,1320,536601
2026-04-15 14:15:00,5310.000,5314.000,5307.000,5312.000,861,536937
2026-04-15 14:30:00,5313.000,5317.000,5311.000,5315.000,1311,537592
2026-04-15 14:45:00,5314.000,5319.000,5314.000,5315.000,47,538015
2026-04-15 15:00:00,5315.000,5315.000,5310.000,5311.000,2994,537467
2026-04-15 21:15:00,5298.000,5301.000,5289.000,5301.000,38773,541803
2026-04-15 21:30:00,5301.000,5302.000,5292.000,5294.000,15682,542752
2026-04-15 21:45:00,5295.000,5297.000,5290.000,5293.000,12000,543180
2026-04-15 22:00:00,5293.000,5298.000,5293.000,5294.000,6978,543100
2026-04-15 22:15:00,5294.000,5297.000,5294.000,5296.000,4446,542684
2026-04-15 22:30:00,5297.000,5298.000,5294.000,5296.000,4214,542771
2026-04-15 22:45:00,5295.000,5301.000,5295.000,5297.000,5417,542020
2026-04-15 23:00:00,5297.000,5299.000,5296.000,5297.000,4676,540942
2026-04-16 09:15:00,5295.000,5300.000,5289.000,5298.000,21646,541473
2026-04-16 09:30:00,5297.000,5312.000,5297.000,5311.000,19725,541673
2026-04-16 09:45:00,5311.000,5313.000,5306.000,5311.000,13126,541787
2026-04-16 10:00:00,5312.000,5319.000,5309.000,5318.000,2868,542903
2026-04-16 10:15:00,5318.000,5319.000,5312.000,5315.000,13007,541843
2026-04-16 10:45:00,5316.000,5318.000,5311.000,5311.000,8038,542659
2026-04-16 11:00:00,5311.000,5320.000,5310.000,5318.000,9296,541346
2026-04-16 11:15:00,5317.000,5321.000,5316.000,5317.000,11475,540298
2026-04-16 11:30:00,5317.000,5329.000,5315.000,5329.000,16712,538851
2026-04-16 13:45:00,5330.000,5344.000,5328.000,5332.000,50521,541406
2026-04-16 14:00:00,5332.000,5340.000,5330.000,5339.000,19155,542319
2026-04-16 14:15:00,5339.000,5351.000,5336.000,5348.000,29093,543590
2026-04-16 14:30:00,5349.000,5361.000,5348.000,5358.000,6280,546464
2026-04-16 14:45:00,5359.000,5371.000,5358.000,5366.000,39716,547327
2026-04-16 15:00:00,5366.000,5381.000,5364.000,5377.000,564,545478
2026-04-16 21:15:00,5373.000,5373.000,5358.000,5371.000,176,547155
2026-04-16 21:30:00,5371.000,5378.000,5367.000,5371.000,8,547379
2026-04-16 21:45:00,5371.000,5381.000,5368.000,5375.000,22,548779
2026-04-16 22:00:00,5376.000,5376.000,5368.000,5368.000,51,548410
2026-04-16 22:15:00,5369.000,5373.000,5364.000,5371.000,9,548592
2026-04-16 22:30:00,5372.000,5373.000,5370.000,5371.000,178,549071
2026-04-16 22:45:00,5371.000,5373.000,5369.000,5371.000,418,548349
2026-04-16 23:00:00,5371.000,5374.000,5368.000,5372.000,195,546899
2026-04-17 09:15:00,5372.000,5376.000,5364.000,5368.000,107,545947
2026-04-17 09:30:00,5368.000,5369.000,5359.000,5365.000,43,544372
2026-04-17 09:45:00,5364.000,5366.000,5360.000,5364.000,2735,543605
2026-04-17 10:00:00,5363.000,5367.000,5362.000,5364.000,21,543087
2026-04-17 10:15:00,5364.000,5368.000,5363.000,5367.000,911,542469
2026-04-17 10:45:00,5366.000,5366.000,5353.000,5360.000,6871,542505
2026-04-17 11:00:00,5361.000,5363.000,5357.000,5359.000,1803,542325
2026-04-17 11:15:00,5358.000,5359.000,5354.000,5357.000,101,540808
2026-04-17 11:30:00,5357.000,5359.000,5351.000,5354.000,76,538965
2026-04-17 13:45:00,5353.000,5354.000,5349.000,5350.000,6080,538117
2026-04-17 14:00:00,5350.000,5353.000,5347.000,5350.000,930,538492
2026-04-17 14:15:00,5351.000,5353.000,5346.000,5347.000,4571,538553
2026-04-17 14:30:00,5347.000,5350.000,5344.000,5344.000,9218,538006
2026-04-17 14:45:00,5344.000,5348.000,5339.000,5342.000,4387,535899
2026-04-17 15:00:00,5342.000,5352.000,5339.000,5352.000,239,532649
2026-04-17 21:15:00,5330.000,5330.000,5301.000,5315.000,74436,538155
2026-04-17 21:30:00,5315.000,5316.000,5302.000,5304.000,25827,541038
2026-04-17 21:45:00,5303.000,5308.000,5303.000,5307.000,15972,543472
2026-04-17 22:00:00,5307.000,5308.000,5294.000,5299.000,29673,545404
2026-04-17 22:15:00,5298.000,5302.000,5293.000,5298.000,18138,547066
2026-04-17 22:30:00,5297.000,5299.000,5291.000,5299.000,14491,549803
2026-04-17 22:45:00,5299.000,5301.000,5297.000,5301.000,11117,550662
2026-04-17 23:00:00,5300.000,5305.000,5300.000,5305.000,512,548040
2026-04-20 09:15:00,5315.000,5324.000,5312.000,5324.000,248245,547558
2026-04-20 09:30:00,5324.000,5326.000,5320.000,5325.000,16887,546332
2026-04-20 09:45:00,5324.000,5326.000,5322.000,5325.000,10179,547441
2026-04-20 10:00:00,5326.000,5329.000,5322.000,5326.000,11959,546710
2026-04-20 10:15:00,5326.000,5329.000,5323.000,5328.000,3940,547164
2026-04-20 10:45:00,5326.000,5328.000,5317.000,5318.000,13853,546135
2026-04-20 11:00:00,5318.000,5319.000,5311.000,5312.000,14750,547641
2026-04-20 11:15:00,5311.000,5315.000,5309.000,5315.000,8939,548885
2026-04-20 11:30:00,5315.000,5315.000,5310.000,5315.000,6883,549740
2026-04-20 13:45:00,5315.000,5322.000,5315.000,5317.000,12606,550568
2026-04-20 14:00:00,5316.000,5321.000,5316.000,5319.000,8401,551176
2026-04-20 14:15:00,5319.000,5324.000,5319.000,5324.000,8192,552132
2026-04-20 14:30:00,5323.000,5324.000,5317.000,5323.000,7093,553516
2026-04-20 14:45:00,5323.000,5324.000,5320.000,5324.000,112,553584
2026-04-20 15:00:00,5324.000,5324.000,5321.000,5321.000,447,551752
2026-04-20 21:15:00,5318.000,5328.000,5310.000,5319.000,40703,558486
2026-04-20 21:30:00,5320.000,5336.000,5319.000,5325.000,34208,563015
2026-04-20 21:45:00,5325.000,5329.000,5322.000,5325.000,14065,563711
2026-04-20 22:00:00,5324.000,5328.000,5323.000,5328.000,7336,564156
2026-04-20 22:15:00,5327.000,5333.000,5326.000,5332.000,9702,564814
2026-04-20 22:30:00,5332.000,5333.000,5324.000,5327.000,10251,565285
2026-04-20 22:45:00,5327.000,5330.000,5325.000,5328.000,6966,565836
2026-04-20 23:00:00,5328.000,5329.000,5320.000,5321.000,10216,564717
2026-04-21 09:15:00,5321.000,5338.000,5321.000,5334.000,28698,566482
2026-04-21 09:30:00,5334.000,5350.000,5334.000,5342.000,31596,570679
2026-04-21 09:45:00,5343.000,5344.000,5336.000,5339.000,14975,570444
2026-04-21 10:00:00,5339.000,5340.000,5336.000,5338.000,1584,570566
2026-04-21 10:15:00,5338.000,5355.000,5337.000,5353.000,27571,573116
2026-04-21 10:45:00,5353.000,5353.000,5344.000,5347.000,10850,573540
2026-04-21 11:00:00,5347.000,5350.000,5342.000,5345.000,8871,573751
2026-04-21 11:15:00,5345.000,5348.000,5343.000,5347.000,6193,573193
2026-04-21 11:30:00,5346.000,5349.000,5343.000,5344.000,8821,573388
2026-04-21 13:45:00,5345.000,5355.000,5344.000,5355.000,8771,576661
2026-04-21 14:00:00,5355.000,5369.000,5353.000,5368.000,4880,580174
2026-04-21 14:15:00,5367.000,5369.000,5358.000,5361.000,10129,580083
2026-04-21 14:30:00,5362.000,5363.000,5357.000,5361.000,1362,579778
2026-04-21 14:45:00,5361.000,5366.000,5359.000,5363.000,5867,581104
2026-04-21 15:00:00,5364.000,5371.000,5361.000,5371.000,140,581833
2026-04-21 21:15:00,5381.000,5406.000,5380.000,5386.000,99939,586738
2026-04-21 21:30:00,5386.000,5392.000,5378.000,5383.000,32110,589108
2026-04-21 21:45:00,5383.000,5395.000,5383.000,5390.000,24736,590800
2026-04-21 22:00:00,5391.000,5392.000,5387.000,5392.000,10338,590318
2026-04-21 22:15:00,5392.000,5394.000,5387.000,5392.000,10096,590547
2026-04-21 22:30:00,5392.000,5395.000,5390.000,5393.000,11408,590413
2026-04-21 22:45:00,5393.000,5394.000,5387.000,5388.000,10243,589883
2026-04-21 23:00:00,5389.000,5392.000,5387.000,5388.000,11153,586943
2026-04-22 09:15:00,5388.000,5400.000,5388.000,5400.000,24560,589449
2026-04-22 09:30:00,5400.000,5405.000,5394.000,5394.000,28976,595337
