d,o,h,l,c,v,p
2026-03-31 22:15:00,6724.000,6732.000,6702.000,6710.000,31289,876857
2026-03-31 22:30:00,6712.000,6754.000,6712.000,6744.000,23110,874594
2026-03-31 22:45:00,6746.000,6816.000,6742.000,6794.000,59509,875979
2026-03-31 23:00:00,6796.000,6826.000,6794.000,6812.000,38810,868914
2026-04-01 09:15:00,6810.000,6810.000,6610.000,6664.000,145350,867959
2026-04-01 09:30:00,6664.000,6716.000,6646.000,6686.000,61399,869988
2026-04-01 09:45:00,6688.000,6724.000,6686.000,6696.000,36959,870151
2026-04-01 10:00:00,6696.000,6720.000,6678.000,6704.000,18863,869350
2026-04-01 10:15:00,6698.000,6706.000,6560.000,6582.000,89245,873983
2026-04-01 10:45:00,6576.000,6638.000,6572.000,6622.000,55182,875761
2026-04-01 11:00:00,6624.000,6702.000,6608.000,6700.000,48593,875105
2026-04-01 11:15:00,6700.000,6700.000,6640.000,6650.000,54927,875645
2026-04-01 11:30:00,6650.000,6790.000,6648.000,6774.000,116560,877969
2026-04-01 13:45:00,6736.000,6746.000,6568.000,6572.000,129604,868500
2026-04-01 14:00:00,6568.000,6586.000,6502.000,6528.000,124704,868188
2026-04-01 14:15:00,6524.000,6546.000,6484.000,6500.000,81263,867557
2026-04-01 14:30:00,6500.000,6526.000,6448.000,6452.000,66308,864360
2026-04-01 14:45:00,6448.000,6452.000,6382.000,6400.000,118006,852701
2026-04-01 15:00:00,6396.000,6414.000,6366.000,6366.000,6111,840810
2026-04-01 21:15:00,6482.000,6538.000,6460.000,6500.000,147499,844927
2026-04-01 21:30:00,6500.000,6518.000,6476.000,6496.000,67559,846100
2026-04-01 21:45:00,6496.000,6510.000,6462.000,6498.000,71880,845882
2026-04-01 22:00:00,6498.000,6508.000,6472.000,6494.000,33910,843710
2026-04-01 22:15:00,6492.000,6510.000,6472.000,6476.000,31824,842044
2026-04-01 22:30:00,6476.000,6512.000,6466.000,6500.000,30643,840757
2026-04-01 22:45:00,6496.000,6544.000,6494.000,6516.000,44469,840514
2026-04-01 23:00:00,6518.000,6534.000,6498.000,6510.000,30302,833203
2026-04-02 09:15:00,6490.000,6602.000,6462.000,6576.000,177387,839313
2026-04-02 09:30:00,6576.000,6736.000,6572.000,6726.000,174871,854480
2026-04-02 09:45:00,6726.000,6776.000,6702.000,6746.000,114227,854092
2026-04-02 10:00:00,6746.000,6792.000,6724.000,6770.000,85450,864628
2026-04-02 10:15:00,6770.000,6806.000,6746.000,6796.000,3552,861341
