datetime,A2509
2024-09-18,4132.0
2024-09-19,4120.0
2024-09-20,4110.0
2024-09-23,4079.0
2024-09-24,4096.0
2024-09-25,4088.0
2024-09-26,4117.0
2024-09-27,4138.0
2024-09-30,4162.0
2024-10-08,4057.0
2024-10-09,4056.0
2024-10-10,4053.0
2024-10-11,4033.0
2024-10-14,4043.0
2024-10-15,4047.0
2024-10-16,4037.0
2024-10-17,4015.0
2024-10-18,4024.0
2024-10-21,4016.0
2024-10-22,4024.0
2024-10-23,4050.0
2024-10-24,4061.0
2024-10-25,3999.0
2024-10-28,4017.0
2024-10-29,4026.0
2024-10-30,4045.0
2024-10-31,4052.0
2024-11-01,4056.0
2024-11-04,4051.0
2024-11-05,4043.0
2024-11-06,4056.0
2024-11-07,4130.0
2024-11-08,4091.0
2024-11-11,4116.0
2024-11-12,4090.0
2024-11-13,4063.0
2024-11-14,4061.0
2024-11-15,3978.0
2024-11-18,3997.0
2024-11-19,4005.0
2024-11-20,3997.0
2024-11-21,4000.0
2024-11-22,3987.0
2024-11-25,3994.0
2024-11-26,3989.0
2024-11-27,3988.0
2024-11-28,3988.0
2024-11-29,3982.0
2024-12-02,3977.0
2024-12-03,3968.0
2024-12-04,3918.0
2024-12-05,3916.0
2024-12-06,3933.0
2024-12-09,3930.0
2024-12-10,3934.0
2024-12-11,3924.0
2024-12-12,3925.0
2024-12-13,3912.0
2024-12-16,3881.0
2024-12-17,3859.0
2024-12-18,3835.0
2024-12-19,3820.0
2024-12-20,3861.0
2024-12-23,3886.0
2024-12-24,3910.0
2024-12-25,3973.0
2024-12-26,3966.0
2024-12-27,3971.0
2024-12-30,3963.0
2024-12-31,3978.0
2025-01-02,3975.0
2025-01-03,3959.0
2025-01-06,3938.0
2025-01-07,3890.0
2025-01-08,3875.0
2025-01-09,3884.0
2025-01-10,3917.0
2025-01-13,3951.0
2025-01-14,3970.0
2025-01-15,3995.0
2025-01-16,4002.0
2025-01-17,4034.0
2025-01-20,4024.0
2025-01-21,4039.0
2025-01-22,4048.0
2025-01-23,4011.0
2025-01-24,4022.0
2025-01-27,4012.0
2025-02-05,4073.0
2025-02-06,4069.0
2025-02-07,4080.0
2025-02-10,4065.0
