datetime,B2109
2020-09-16,3522.0
2020-09-17,3537.0
2020-09-21,3660.0
2020-09-22,3556.0
2020-09-23,3518.0
2020-09-24,3507.0
2020-09-25,3490.0
2020-09-28,3520.0
2020-09-29,3510.0
2020-09-30,3460.0
2020-10-09,3625.0
2020-10-12,3681.0
2020-10-13,3629.0
2020-10-14,3595.0
2020-10-15,3586.0
2020-10-16,3597.0
2020-10-19,3600.0
2020-10-20,3634.0
2020-10-21,3658.0
2020-10-22,3623.0
2020-10-23,3632.0
2020-10-26,3646.0
2020-10-27,3668.0
2020-10-28,3642.0
2020-10-29,3588.0
2020-10-30,3620.0
2020-11-02,3561.0
2020-11-03,3590.0
2020-11-04,3607.0
2020-11-05,3710.0
2020-11-06,3670.0
2020-11-09,3663.0
2020-11-10,3650.0
2020-11-11,3760.0
2020-11-12,3731.0
2020-11-13,3730.0
2020-11-16,3727.0
2020-11-17,3753.0
2020-11-18,3742.0
2020-11-19,3800.0
2020-11-20,3820.0
2020-11-23,3851.0
2020-11-24,3793.0
2020-11-25,3809.0
2020-11-26,3803.0
2020-11-27,3790.0
2020-11-30,3824.0
2020-12-01,3726.0
2020-12-02,3661.0
2020-12-03,3683.0
2020-12-04,3695.0
2020-12-07,3697.0
2020-12-08,3690.0
2020-12-09,3698.0
2020-12-10,3710.0
2020-12-11,3695.0
2020-12-15,3668.0
2020-12-16,3739.0
2020-12-17,3740.0
2020-12-18,3820.0
2020-12-21,3891.0
2020-12-22,3905.0
2020-12-23,3896.0
2020-12-24,3932.0
2020-12-25,3939.0
2020-12-28,3932.0
2020-12-29,3871.0
2020-12-30,3983.0
2020-12-31,4045.0
2021-01-04,4104.0
2021-01-05,4053.0
2021-01-06,4111.0
2021-01-07,4140.0
2021-01-08,4096.0
2021-01-11,4163.0
2021-01-12,4118.0
2021-01-13,4224.0
2021-01-14,4202.0
2021-01-15,4160.0
2021-01-18,4152.0
2021-01-19,4135.0
2021-01-20,4037.0
2021-01-21,4070.0
2021-01-22,3970.0
2021-01-25,3922.0
2021-01-26,3959.0
2021-01-27,4044.0
2021-01-28,4012.0
2021-01-29,4009.0
2021-02-01,3994.0
2021-02-02,3967.0
2021-02-03,3945.0
2021-02-04,4018.0
2021-02-05,4049.0
2021-02-08,4004.0
2021-02-09,4084.0
2021-02-10,4034.0
2021-02-18,4085.0
2021-02-19,4066.0
2021-02-22,4125.0
2021-02-23,4212.0
2021-02-24,4224.0
2021-02-25,4219.0
2021-02-26,4092.0
2021-03-01,4147.0
2021-03-02,4051.0
2021-03-03,4096.0
2021-03-04,4119.0
2021-03-05,4124.0
2021-03-08,4245.0
2021-03-09,4162.0
2021-03-10,4124.0
2021-03-11,4061.0
2021-03-12,4086.0
2021-03-15,4095.0
2021-03-16,4111.0
2021-03-17,4105.0
2021-03-18,4075.0
2021-03-19,4025.0
2021-03-22,4071.0
2021-03-23,4119.0
2021-03-24,4172.0
2021-03-25,4175.0
2021-03-26,4099.0
2021-03-29,4016.0
2021-03-30,3996.0
2021-03-31,4009.0
2021-04-01,4185.0
2021-04-02,4173.0
2021-04-06,4172.0
2021-04-07,4219.0
2021-04-08,4164.0
2021-04-09,4164.0
2021-04-12,4087.0
2021-04-13,4103.0
2021-04-14,4090.0
2021-04-15,4141.0
2021-04-16,4195.0
2021-04-19,4187.0
2021-04-20,4226.0
2021-04-21,4251.0
2021-04-22,4318.0
2021-04-23,4345.0
2021-04-26,4323.0
2021-04-27,4371.0
2021-04-28,4300.0
2021-04-29,4290.0
2021-04-30,4239.0
2021-05-06,4393.0
2021-05-07,4455.0
2021-05-10,4404.0
2021-05-11,4387.0
2021-05-12,4528.0
2021-05-13,4472.0
2021-05-14,4366.0
2021-05-17,4357.0
2021-05-18,4408.0
2021-05-19,4337.0
2021-05-20,4321.0
2021-05-21,4224.0
2021-05-24,4213.0
2021-05-25,4228.0
2021-05-26,4219.0
2021-05-27,4155.0
2021-05-28,4281.0
2021-05-31,4232.0
2021-06-01,4258.0
2021-06-02,4323.0
2021-06-03,4421.0
2021-06-04,4337.0
2021-06-07,4435.0
2021-06-08,4384.0
2021-06-09,4376.0
2021-06-10,4415.0
2021-06-11,4360.0
2021-06-15,4162.0
2021-06-16,4095.0
2021-06-17,4073.0
2021-06-18,3953.0
2021-06-21,4024.0
2021-06-22,4045.0
2021-06-23,4061.0
2021-06-24,4061.0
2021-06-25,4087.0
2021-06-28,4111.0
2021-06-29,4126.0
2021-06-30,4185.0
2021-07-01,4347.0
2021-07-02,4400.0
2021-07-05,4363.0
2021-07-06,4375.0
2021-07-07,4305.0
2021-07-08,4324.0
2021-07-09,4340.0
2021-07-12,4348.0
2021-07-13,4393.0
2021-07-14,4433.0
2021-07-15,4453.0
2021-07-16,4457.0
2021-07-19,4506.0
2021-07-20,4521.0
2021-07-21,4464.0
2021-07-22,4404.0
2021-07-23,4378.0
2021-07-26,4315.0
2021-07-27,4372.0
2021-07-28,4331.0
2021-07-29,4420.0
2021-07-30,4436.0
2021-08-02,4346.0
2021-08-03,4336.0
2021-08-04,4339.0
2021-08-05,4306.0
2021-08-06,4342.0
2021-08-09,4422.0
2021-08-10,4438.0
2021-08-11,4488.0
2021-08-12,4419.0
2021-08-13,4496.0
2021-08-16,4539.0
2021-08-17,4525.0
2021-08-18,4469.0
2021-08-19,4401.0
2021-08-20,4418.0
2021-08-23,4373.0
2021-08-24,4431.0
2021-08-25,4450.0
2021-08-26,4436.0
2021-08-27,4408.0
2021-08-30,4397.0
2021-08-31,4471.0
2021-09-01,4621.0
2021-09-02,4555.0
2021-09-07,4601.0
2021-09-13,4400.0
