d,c
2018-09-17,2058.0
2018-09-18,2065.0
2018-09-19,2066.0
2018-09-20,2068.0
2018-09-21,2064.0
2018-09-25,2046.0
2018-09-26,2033.0
2018-09-27,2026.0
2018-09-28,2023.0
2018-10-08,2044.0
2018-10-09,2042.0
2018-10-10,2029.0
2018-10-11,2046.0
2018-10-12,2048.0
2018-10-15,2036.0
2018-10-16,2036.0
2018-10-17,2039.0
2018-10-18,2044.0
2018-10-19,2052.0
2018-10-22,2063.0
2018-10-23,2056.0
2018-10-24,2059.0
2018-10-25,2065.0
2018-10-26,2064.0
2018-10-29,2076.0
2018-10-30,2095.0
2018-10-31,2073.0
2018-11-01,2073.0
2018-11-02,2056.0
2018-11-05,2066.0
2018-11-06,2062.0
2018-11-07,2061.0
2018-11-08,2069.0
2018-11-09,2076.0
2018-11-12,2079.0
2018-11-13,2059.0
2018-11-14,2051.0
2018-11-15,2028.0
2018-11-16,2036.0
2018-11-19,2037.0
2018-11-20,2014.0
2018-11-21,1999.0
2018-11-22,1993.0
2018-11-23,1992.0
2018-11-26,1989.0
2018-11-27,1993.0
2018-11-28,1997.0
2018-11-29,1984.0
2018-11-30,1981.0
2018-12-03,1930.0
2018-12-04,1900.0
2018-12-05,1901.0
2018-12-06,1906.0
2018-12-07,1887.0
2018-12-10,1898.0
2018-12-11,1904.0
2018-12-12,1905.0
2018-12-13,1904.0
2018-12-14,1906.0
2018-12-17,1898.0
2018-12-18,1887.0
2018-12-19,1902.0
2018-12-20,1903.0
2018-12-21,1895.0
2018-12-24,1865.0
2018-12-25,1879.0
2018-12-26,1880.0
2018-12-27,1876.0
2018-12-28,1889.0
2019-01-02,1886.0
2019-01-03,1895.0
2019-01-04,1891.0
2019-01-07,1890.0
2019-01-08,1875.0
2019-01-09,1884.0
2019-01-10,1877.0
2019-01-11,1864.0
2019-01-14,1845.0
2019-01-15,1845.0
2019-01-16,1858.0
2019-01-17,1850.0
2019-01-18,1854.0
2019-01-21,1867.0
2019-01-22,1874.0
2019-01-23,1868.0
2019-01-24,1867.0
2019-01-25,1893.0
2019-01-28,1883.0
2019-01-29,1891.0
2019-01-30,1898.0
2019-01-31,1895.0
2019-02-01,1898.0
2019-02-11,1897.0
2019-02-12,1892.0
2019-02-13,1878.0
2019-02-14,1863.0
2019-02-15,1862.0
2019-02-18,1846.0
2019-02-19,1854.0
2019-02-20,1840.0
2019-02-21,1841.0
2019-02-22,1842.0
2019-02-25,1821.0
2019-02-26,1826.0
2019-02-27,1828.0
2019-02-28,1842.0
2019-03-01,1838.0
2019-03-04,1832.0
2019-03-05,1845.0
2019-03-06,1837.0
2019-03-07,1858.0
2019-03-08,1862.0
2019-03-11,1878.0
2019-03-12,1881.0
2019-03-13,1865.0
2019-03-14,1874.0
2019-03-15,1878.0
2019-03-18,1893.0
2019-03-19,1886.0
2019-03-20,1863.0
2019-03-21,1858.0
2019-03-22,1842.0
2019-03-25,1839.0
2019-03-26,1847.0
2019-03-27,1842.0
2019-03-28,1833.0
2019-03-29,1844.0
2019-04-01,1843.0
2019-04-02,1852.0
2019-04-03,1858.0
2019-04-04,1886.0
2019-04-08,1879.0
2019-04-09,1867.0
2019-04-10,1876.0
2019-04-11,1881.0
2019-04-12,1897.0
2019-04-15,1909.0
2019-04-16,1912.0
2019-04-17,1904.0
2019-04-18,1895.0
2019-04-19,1908.0
2019-04-23,1919.0
2019-04-24,1914.0
2019-04-25,1914.0
2019-04-26,1902.0
2019-04-29,1917.0
2019-04-30,1916.0
2019-05-06,1923.0
2019-05-07,1928.0
2019-05-08,1920.0
2019-05-09,1929.0
2019-05-10,1925.0
2019-05-13,1949.0
2019-05-14,1947.0
2019-05-15,1960.0
2019-05-16,1978.0
2019-05-17,1996.0
2019-05-20,2008.0
2019-05-21,1995.0
2019-05-22,1986.0
2019-05-23,1982.0
2019-05-24,1985.0
2019-05-27,2007.0
2019-05-28,1994.0
2019-05-29,2004.0
2019-05-30,1986.0
2019-05-31,1971.0
2019-06-03,1963.0
2019-06-04,1974.0
2019-06-05,1964.0
2019-06-06,1955.0
2019-06-10,1966.0
2019-06-11,1963.0
2019-06-12,1957.0
2019-06-13,1963.0
2019-06-14,1947.0
2019-06-17,1953.0
2019-06-18,1949.0
2019-06-19,1943.0
2019-06-20,1937.0
2019-06-21,1953.0
2019-06-24,1952.0
2019-06-25,1949.0
2019-06-26,1940.0
2019-06-27,1940.0
2019-06-28,1948.0
2019-07-01,1936.0
2019-07-02,1934.0
2019-07-03,1939.0
2019-07-04,1934.0
2019-07-05,1934.0
2019-07-08,1933.0
2019-07-09,1921.0
2019-07-10,1911.0
2019-07-11,1914.0
2019-07-12,1918.0
2019-07-15,1928.0
2019-07-16,1927.0
2019-07-17,1925.0
2019-07-18,1934.0
2019-07-19,1920.0
2019-07-22,1915.0
2019-07-23,1918.0
2019-07-24,1927.0
2019-07-25,1927.0
2019-07-26,1924.0
2019-07-29,1930.0
2019-07-30,1924.0
2019-07-31,1930.0
2019-08-01,1933.0
2019-08-02,1926.0
2019-08-05,1922.0
2019-08-06,1920.0
2019-08-07,1917.0
2019-08-08,1896.0
2019-08-09,1878.0
2019-08-12,1871.0
2019-08-13,1860.0
2019-08-14,1874.0
2019-08-15,1874.0
2019-08-16,1872.0
2019-08-19,1849.0
