d,c
2023-01-17,3113.0
2023-01-18,3110.0
2023-01-19,3072.0
2023-01-20,3062.0
2023-01-30,3099.0
2023-01-31,3086.0
2023-02-01,3092.0
2023-02-02,3090.0
2023-02-03,3076.0
2023-02-06,3052.0
2023-02-07,3068.0
2023-02-08,3073.0
2023-02-09,3052.0
2023-02-10,3049.0
2023-02-13,3090.0
2023-02-14,3093.0
2023-02-15,3085.0
2023-02-16,3092.0
2023-02-17,3099.0
2023-02-20,3100.0
2023-02-21,3098.0
2023-02-22,3100.0
2023-02-23,3077.0
2023-02-24,3086.0
2023-02-27,3069.0
2023-02-28,3058.0
2023-03-01,3068.0
2023-03-02,3066.0
2023-03-03,3058.0
2023-03-06,3058.0
2023-03-07,3069.0
2023-03-08,3090.0
2023-03-09,3070.0
2023-03-10,3083.0
2023-03-13,3077.0
2023-03-14,3071.0
2023-03-15,3098.0
2023-03-16,3073.0
2023-03-17,3091.0
2023-03-20,3080.0
2023-03-21,3030.0
2023-03-22,3017.0
2023-03-23,3017.0
2023-03-24,3012.0
2023-03-27,2960.0
2023-03-28,2990.0
2023-03-29,2987.0
2023-03-30,2984.0
2023-03-31,2983.0
2023-04-03,2981.0
2023-04-04,2986.0
2023-04-06,2980.0
2023-04-07,2985.0
2023-04-10,3020.0
2023-04-11,3026.0
2023-04-12,3007.0
2023-04-13,2982.0
2023-04-14,2990.0
2023-04-17,2973.0
2023-04-18,2975.0
2023-04-19,2967.0
2023-04-20,2948.0
2023-04-21,2928.0
2023-04-24,2916.0
2023-04-25,2914.0
2023-04-26,2921.0
2023-04-27,2888.0
2023-04-28,2876.0
2023-05-04,2852.0
2023-05-05,2845.0
2023-05-08,2870.0
2023-05-09,2848.0
2023-05-10,2794.0
2023-05-11,2761.0
2023-05-12,2804.0
2023-05-15,2784.0
2023-05-16,2769.0
2023-05-17,2775.0
2023-05-18,2794.0
2023-05-19,2802.0
2023-05-22,2812.0
2023-05-23,2832.0
2023-05-24,2807.0
2023-05-25,2801.0
2023-05-26,2828.0
2023-05-29,2836.0
2023-05-30,2830.0
2023-05-31,2823.0
2023-06-01,2838.0
2023-06-02,2827.0
2023-06-05,2823.0
2023-06-06,2813.0
2023-06-07,2813.0
2023-06-08,2825.0
2023-06-09,2834.0
2023-06-12,2810.0
2023-06-13,2831.0
2023-06-14,2828.0
2023-06-15,2865.0
2023-06-16,2897.0
2023-06-19,2885.0
2023-06-20,2895.0
2023-06-21,2901.0
2023-06-26,2900.0
2023-06-27,2929.0
2023-06-28,2925.0
2023-06-29,2943.0
2023-06-30,2948.0
2023-07-03,2898.0
2023-07-04,2908.0
2023-07-05,2930.0
2023-07-06,2943.0
2023-07-07,2933.0
2023-07-10,2918.0
2023-07-11,2905.0
2023-07-12,2898.0
2023-07-13,2900.0
2023-07-14,2895.0
2023-07-17,2917.0
2023-07-18,2883.0
2023-07-19,2904.0
2023-07-20,2927.0
2023-07-21,2905.0
2023-07-24,2898.0
2023-07-25,2903.0
2023-07-26,2901.0
2023-07-27,2900.0
2023-07-28,2914.0
2023-07-31,2901.0
2023-08-01,2891.0
2023-08-02,2894.0
2023-08-03,2921.0
2023-08-04,2959.0
2023-08-07,3008.0
2023-08-08,3031.0
2023-08-09,3047.0
2023-08-10,3040.0
2023-08-11,3003.0
2023-08-14,2987.0
2023-08-15,2986.0
2023-08-16,2940.0
2023-08-17,2911.0
2023-08-18,2912.0
2023-08-21,2922.0
2023-08-22,2921.0
2023-08-23,2945.0
2023-08-24,2957.0
2023-08-25,2977.0
2023-08-28,2968.0
2023-08-29,2996.0
2023-08-30,3008.0
2023-08-31,3011.0
2023-09-01,2989.0
2023-09-04,2947.0
2023-09-05,2951.0
2023-09-06,2957.0
2023-09-07,2949.0
2023-09-08,2931.0
2023-09-11,2923.0
2023-09-12,2906.0
2023-09-13,2895.0
2023-09-14,2912.0
2023-09-15,2945.0
2023-09-18,2901.0
2023-09-19,2889.0
2023-09-20,2905.0
2023-09-21,2913.0
2023-09-22,2908.0
2023-09-25,2889.0
2023-09-26,2865.0
2023-09-27,2866.0
2023-09-28,2880.0
2023-10-09,2858.0
2023-10-10,2863.0
2023-10-11,2857.0
2023-10-12,2883.0
2023-10-13,2892.0
2023-10-16,2893.0
2023-10-17,2848.0
2023-10-18,2814.0
2023-10-19,2828.0
2023-10-20,2826.0
2023-10-23,2848.0
2023-10-24,2863.0
2023-10-25,2868.0
2023-10-26,2849.0
2023-10-27,2858.0
2023-10-30,2882.0
2023-10-31,2876.0
2023-11-01,2887.0
2023-11-02,2897.0
2023-11-03,2920.0
2023-11-06,2947.0
2023-11-07,2923.0
2023-11-08,2926.0
2023-11-09,2916.0
2023-11-10,2891.0
2023-11-13,2901.0
2023-11-14,2933.0
2023-11-15,2939.0
2023-11-16,2966.0
2023-11-17,2957.0
2023-11-20,2983.0
2023-11-21,2984.0
2023-11-22,2959.0
2023-11-23,2948.0
2023-11-24,2949.0
2023-11-27,2920.0
2023-11-28,2902.0
2023-11-29,2897.0
2023-11-30,2909.0
2023-12-01,2883.0
2023-12-04,2885.0
2023-12-05,2862.0
2023-12-06,2876.0
2023-12-07,2869.0
2023-12-08,2889.0
2023-12-11,2897.0
2023-12-12,2882.0
2023-12-13,2865.0
2023-12-14,2866.0
2023-12-15,2858.0
2023-12-18,2865.0
2023-12-19,2849.0
2023-12-20,2864.0
2023-12-21,2868.0
2023-12-22,2871.0
2023-12-25,2867.0
2023-12-26,2866.0
2023-12-27,2900.0
2023-12-28,2890.0
2023-12-29,2878.0
2024-01-02,2865.0
2024-01-03,2870.0
2024-01-04,2860.0
2024-01-05,2840.0
2024-01-08,2920.0
2024-01-12,2899.0
