datetime,CY2001
2019-04-15,24215.0
2019-04-16,24140.0
2019-04-17,24420.0
2019-04-18,24460.0
2019-04-19,24990.0
2019-04-23,24880.0
2019-04-24,24830.0
2019-04-25,24910.0
2019-04-26,24850.0
2019-04-29,24880.0
2019-04-30,24980.0
2019-05-06,24735.0
2019-05-07,24935.0
2019-05-08,24800.0
2019-05-09,24515.0
2019-05-10,24595.0
2019-05-13,23570.0
2019-05-14,22165.0
2019-05-15,22920.0
2019-05-16,23240.0
2019-05-17,23075.0
2019-05-20,22370.0
2019-05-21,22410.0
2019-05-22,21930.0
2019-05-23,21820.0
2019-05-24,21925.0
2019-05-27,21860.0
2019-05-28,22030.0
2019-05-29,22060.0
2019-05-30,21680.0
2019-05-31,21705.0
2019-06-03,21095.0
2019-06-04,21135.0
2019-06-05,21045.0
2019-06-06,20770.0
2019-06-10,20955.0
2019-06-11,21205.0
2019-06-12,21295.0
2019-06-13,21375.0
2019-06-14,21310.0
2019-06-17,21255.0
2019-06-18,21215.0
2019-06-19,21775.0
2019-06-20,21725.0
2019-06-21,21500.0
2019-06-24,21450.0
2019-06-25,21570.0
2019-06-26,21775.0
2019-06-27,21915.0
2019-06-28,21850.0
2019-07-01,22365.0
2019-07-02,22275.0
2019-07-03,22080.0
2019-07-04,22055.0
2019-07-05,22190.0
2019-07-08,22195.0
2019-07-09,21295.0
2019-07-10,21310.0
2019-07-11,21260.0
2019-07-12,21215.0
2019-07-15,21350.0
2019-07-16,21315.0
2019-07-18,21360.0
2019-07-19,21230.0
2019-07-22,21390.0
2019-07-23,21235.0
2019-07-24,21415.0
2019-07-25,21450.0
2019-07-26,21515.0
2019-07-29,21425.0
2019-07-30,21440.0
2019-07-31,21305.0
2019-08-01,21335.0
2019-08-02,20915.0
2019-08-05,20395.0
2019-08-06,20505.0
2019-08-07,20390.0
2019-08-08,20345.0
2019-08-09,20345.0
2019-08-12,20380.0
2019-08-13,20410.0
2019-08-14,20660.0
2019-08-15,20510.0
2019-08-16,20515.0
2019-08-19,20600.0
2019-08-20,20565.0
2019-08-21,20400.0
2019-08-22,20555.0
2019-08-23,20435.0
2019-08-26,20100.0
2019-08-27,20190.0
2019-08-28,20320.0
2019-08-29,20205.0
2019-08-30,20310.0
2019-09-02,20190.0
2019-09-03,20300.0
2019-09-04,20415.0
2019-09-05,20465.0
2019-09-06,20840.0
2019-09-09,20820.0
2019-09-10,21110.0
2019-09-11,21100.0
2019-09-12,21250.0
2019-09-16,21310.0
2019-09-17,21235.0
2019-09-18,20850.0
2019-09-19,20760.0
2019-09-20,20935.0
2019-09-23,20815.0
2019-09-24,20535.0
2019-09-25,20510.0
2019-09-26,20395.0
2019-09-27,20110.0
2019-09-30,20055.0
2019-10-08,20115.0
2019-10-09,20335.0
2019-10-10,20435.0
2019-10-11,20400.0
2019-10-14,20795.0
2019-10-15,20605.0
2019-10-16,20585.0
2019-10-17,20575.0
2019-10-18,20595.0
2019-10-21,20430.0
2019-10-22,20480.0
2019-10-23,20520.0
2019-10-24,20695.0
2019-10-25,20840.0
2019-10-28,20985.0
2019-10-29,21060.0
2019-10-30,21100.0
2019-10-31,21150.0
2019-11-01,21080.0
2019-11-04,20960.0
2019-11-05,21110.0
2019-11-06,21125.0
2019-11-07,20980.0
2019-11-08,20995.0
2019-11-11,20635.0
2019-11-12,20600.0
2019-11-13,20910.0
2019-11-14,21050.0
2019-11-15,21005.0
2019-11-18,20950.0
2019-11-19,20710.0
2019-11-20,20865.0
2019-11-21,20645.0
2019-11-22,20555.0
2019-11-25,20655.0
2019-11-26,20870.0
2019-11-27,20800.0
2019-11-28,20695.0
2019-11-29,20790.0
2019-12-02,20640.0
2019-12-03,20545.0
2019-12-04,20645.0
2019-12-05,20725.0
2019-12-06,20815.0
2019-12-09,20855.0
2019-12-10,20845.0
2019-12-11,20665.0
2019-12-12,20645.0
2019-12-13,20620.0
2019-12-16,20370.0
2019-12-17,19655.0
2019-12-18,19480.0
2019-12-19,19585.0
2019-12-20,19580.0
2019-12-23,19735.0
2019-12-24,19585.0
2019-12-25,19555.0
2019-12-26,19380.0
2019-12-27,19545.0
2019-12-30,19150.0
2019-12-31,19290.0
2020-01-02,19705.0
2020-01-03,19930.0
2020-01-06,19510.0
