datetime,FG2409
2023-09-15,1552.0
2023-09-18,1555.0
2023-09-19,1568.0
2023-09-20,1570.0
2023-09-21,1548.0
2023-09-22,1579.0
2023-09-25,1547.0
2023-09-26,1541.0
2023-09-27,1535.0
2023-09-28,1526.0
2023-10-09,1543.0
2023-10-10,1487.0
2023-10-11,1493.0
2023-10-12,1507.0
2023-10-13,1496.0
2023-10-16,1515.0
2023-10-17,1507.0
2023-10-18,1510.0
2023-10-19,1546.0
2023-10-20,1519.0
2023-10-23,1481.0
2023-10-24,1494.0
2023-10-25,1505.0
2023-10-26,1509.0
2023-10-27,1520.0
2023-10-30,1529.0
2023-10-31,1529.0
2023-11-01,1521.0
2023-11-02,1538.0
2023-11-03,1568.0
2023-11-06,1569.0
2023-11-07,1583.0
2023-11-08,1593.0
2023-11-09,1593.0
2023-11-10,1629.0
2023-11-13,1576.0
2023-11-14,1560.0
2023-11-15,1560.0
2023-11-16,1575.0
2023-11-17,1584.0
2023-11-20,1618.0
2023-11-21,1623.0
2023-11-22,1598.0
2023-11-23,1638.0
2023-11-24,1679.0
2023-11-27,1710.0
2023-11-28,1702.0
2023-11-29,1766.0
2023-11-30,1777.0
2023-12-01,1855.0
2023-12-04,1870.0
2023-12-05,1839.0
2023-12-06,1865.0
2023-12-07,1951.0
2023-12-08,1913.0
2023-12-11,1861.0
2023-12-12,1838.0
2023-12-13,1783.0
2023-12-14,1779.0
2023-12-15,1769.0
2023-12-18,1724.0
2023-12-19,1741.0
2023-12-20,1767.0
2023-12-21,1833.0
2023-12-22,1852.0
2023-12-25,1827.0
2023-12-26,1824.0
2023-12-27,1834.0
2023-12-28,1835.0
2023-12-29,1853.0
2024-01-02,1822.0
2024-01-03,1889.0
2024-01-04,1841.0
2024-01-05,1779.0
2024-01-08,1726.0
2024-01-09,1742.0
2024-01-10,1658.0
2024-01-11,1678.0
2024-01-12,1638.0
2024-01-15,1633.0
2024-01-16,1652.0
2024-01-17,1640.0
2024-01-18,1666.0
2024-01-19,1671.0
2024-01-22,1711.0
2024-01-23,1697.0
2024-01-24,1731.0
2024-01-25,1732.0
2024-01-26,1718.0
2024-01-29,1722.0
2024-01-30,1712.0
2024-01-31,1719.0
2024-02-01,1662.0
2024-02-02,1648.0
2024-02-05,1665.0
2024-02-06,1679.0
2024-02-07,1697.0
2024-02-08,1690.0
2024-02-19,1644.0
2024-02-20,1602.0
2024-02-21,1593.0
2024-02-22,1600.0
2024-02-23,1603.0
2024-02-26,1584.0
2024-02-27,1611.0
2024-02-28,1573.0
2024-02-29,1577.0
2024-03-01,1581.0
2024-03-04,1576.0
2024-03-05,1564.0
2024-03-06,1572.0
2024-03-07,1556.0
2024-03-08,1571.0
2024-03-11,1546.0
2024-03-12,1554.0
2024-03-13,1546.0
2024-03-14,1541.0
2024-03-15,1549.0
2024-03-18,1503.0
2024-03-19,1514.0
2024-03-20,1504.0
2024-03-21,1524.0
2024-03-22,1513.0
2024-03-25,1475.0
2024-03-26,1468.0
2024-03-27,1441.0
2024-03-28,1418.0
2024-03-29,1423.0
2024-04-01,1441.0
2024-04-02,1425.0
2024-04-03,1431.0
2024-04-08,1491.0
2024-04-09,1514.0
2024-04-10,1518.0
2024-04-11,1493.0
2024-04-12,1500.0
2024-04-15,1473.0
2024-04-16,1458.0
2024-04-17,1468.0
2024-04-18,1512.0
2024-04-19,1503.0
2024-04-22,1527.0
2024-04-23,1515.0
2024-04-24,1552.0
2024-04-25,1574.0
2024-04-26,1581.0
2024-04-29,1569.0
2024-04-30,1533.0
2024-05-06,1597.0
2024-05-07,1604.0
2024-05-08,1588.0
2024-05-09,1612.0
2024-05-10,1614.0
2024-05-13,1613.0
2024-05-14,1574.0
2024-05-15,1574.0
2024-05-16,1591.0
2024-05-17,1636.0
2024-05-20,1638.0
2024-05-21,1657.0
2024-05-22,1674.0
2024-05-23,1659.0
2024-05-24,1716.0
2024-05-27,1709.0
2024-05-28,1688.0
2024-05-29,1756.0
2024-05-30,1713.0
2024-05-31,1694.0
2024-06-03,1663.0
2024-06-04,1676.0
2024-06-05,1682.0
2024-06-06,1739.0
2024-06-07,1717.0
2024-06-11,1667.0
2024-06-12,1666.0
2024-06-13,1641.0
2024-06-14,1641.0
2024-06-17,1592.0
2024-06-18,1573.0
2024-06-19,1587.0
2024-06-20,1587.0
2024-06-21,1579.0
2024-06-24,1534.0
2024-06-25,1551.0
2024-06-26,1557.0
2024-06-27,1529.0
2024-06-28,1560.0
2024-07-01,1551.0
2024-07-02,1578.0
2024-07-03,1583.0
2024-07-04,1574.0
2024-07-05,1524.0
2024-07-08,1494.0
