d,c
2021-10-18,5359.0
2021-10-19,5367.0
2021-10-20,5220.0
2021-10-21,4962.0
2021-10-22,4937.0
2021-10-25,4851.0
2021-10-26,4850.0
2021-10-27,4660.0
2021-10-28,4657.0
2021-10-29,4585.0
2021-11-01,4440.0
2021-11-02,4260.0
2021-11-03,4461.0
2021-11-04,4300.0
2021-11-05,4265.0
2021-11-08,4254.0
2021-11-09,4126.0
2021-11-10,4049.0
2021-11-11,4310.0
2021-11-12,4178.0
2021-11-15,4092.0
2021-11-16,4055.0
2021-11-17,4040.0
2021-11-18,3894.0
2021-11-19,4091.0
2021-11-22,4034.0
2021-11-23,4082.0
2021-11-24,4254.0
2021-11-25,4291.0
2021-11-26,4162.0
2021-11-29,4194.0
2021-11-30,4201.0
2021-12-01,4358.0
2021-12-02,4355.0
2021-12-03,4435.0
2021-12-06,4388.0
2021-12-07,4468.0
2021-12-08,4385.0
2021-12-09,4299.0
2021-12-10,4296.0
2021-12-13,4386.0
2021-12-14,4402.0
2021-12-15,4467.0
2021-12-16,4557.0
2021-12-17,4522.0
2021-12-20,4474.0
2021-12-21,4445.0
2021-12-22,4393.0
2021-12-23,4418.0
2021-12-24,4453.0
2021-12-27,4262.0
2021-12-28,4287.0
2021-12-29,4300.0
2021-12-30,4249.0
2021-12-31,4275.0
2022-01-04,4351.0
2022-01-05,4421.0
2022-01-06,4496.0
2022-01-07,4520.0
2022-01-10,4476.0
2022-01-11,4562.0
2022-01-12,4601.0
2022-01-13,4591.0
2022-01-14,4618.0
2022-01-17,4520.0
2022-01-18,4565.0
2022-01-19,4679.0
2022-01-20,4682.0
2022-01-21,4689.0
2022-01-24,4642.0
2022-01-25,4706.0
2022-01-26,4670.0
2022-01-27,4666.0
2022-01-28,4804.0
2022-02-07,4830.0
2022-02-08,4904.0
2022-02-09,4822.0
2022-02-10,4905.0
2022-02-11,4884.0
2022-02-14,4774.0
2022-02-15,4693.0
2022-02-16,4787.0
2022-02-17,4676.0
2022-02-18,4756.0
2022-02-21,4815.0
2022-02-22,4709.0
2022-02-23,4777.0
2022-02-24,4666.0
2022-02-25,4663.0
2022-02-28,4796.0
2022-03-01,4914.0
2022-03-02,4938.0
2022-03-03,5026.0
2022-03-04,4986.0
2022-03-07,5157.0
2022-03-08,5018.0
2022-03-09,4942.0
2022-03-10,4927.0
2022-03-11,4975.0
2022-03-14,4828.0
2022-03-15,4827.0
2022-03-16,4971.0
2022-03-17,4958.0
2022-03-18,5033.0
2022-03-21,5031.0
2022-03-22,5045.0
2022-03-23,5084.0
2022-03-24,5078.0
2022-03-25,5177.0
2022-03-28,5241.0
2022-03-29,5200.0
2022-03-30,5220.0
2022-03-31,5218.0
2022-04-01,5319.0
2022-04-06,5268.0
2022-04-07,5228.0
2022-04-08,5195.0
2022-04-11,5038.0
2022-04-12,5180.0
2022-04-13,5086.0
2022-04-14,5160.0
2022-04-15,5198.0
2022-04-18,5186.0
2022-04-19,5164.0
2022-04-20,5223.0
2022-04-21,5152.0
2022-04-22,5074.0
2022-04-25,4889.0
2022-04-26,4907.0
2022-04-27,4948.0
2022-04-28,4950.0
2022-04-29,4996.0
2022-05-05,5015.0
2022-05-06,4830.0
2022-05-09,4748.0
2022-05-10,4698.0
2022-05-11,4775.0
2022-05-12,4730.0
2022-05-13,4767.0
2022-05-16,4774.0
2022-05-17,4770.0
2022-05-18,4676.0
2022-05-19,4715.0
2022-05-20,4770.0
2022-05-23,4731.0
2022-05-24,4609.0
2022-05-25,4673.0
2022-05-26,4632.0
2022-05-27,4698.0
2022-05-30,4733.0
2022-05-31,4789.0
2022-06-01,4816.0
2022-06-02,4879.0
2022-06-06,4845.0
2022-06-07,4810.0
2022-06-08,4868.0
2022-06-09,4873.0
2022-06-10,4880.0
2022-06-13,4780.0
2022-06-14,4697.0
2022-06-15,4653.0
2022-06-16,4609.0
2022-06-17,4453.0
2022-06-20,4220.0
2022-06-21,4291.0
2022-06-22,4195.0
2022-06-23,4285.0
2022-06-24,4251.0
2022-06-27,4339.0
2022-06-28,4399.0
2022-06-29,4382.0
2022-06-30,4412.0
2022-07-01,4311.0
2022-07-04,4186.0
2022-07-05,4262.0
2022-07-06,4238.0
2022-07-07,4202.0
2022-07-08,4206.0
2022-07-11,4049.0
2022-07-12,3916.0
2022-07-13,3917.0
2022-07-14,3792.0
2022-07-15,3576.0
2022-07-18,3785.0
2022-07-19,3755.0
2022-07-20,3821.0
2022-07-21,3810.0
2022-07-22,3821.0
2022-07-25,3857.0
2022-07-26,3874.0
2022-07-27,3874.0
2022-07-28,4019.0
2022-07-29,3969.0
2022-08-01,4042.0
2022-08-02,4053.0
2022-08-03,4020.0
2022-08-04,3957.0
2022-08-05,4005.0
2022-08-08,4099.0
2022-08-09,4049.0
2022-08-10,4028.0
2022-08-11,4056.0
2022-08-12,4087.0
2022-08-15,4039.0
2022-08-16,4050.0
2022-08-17,3905.0
2022-08-18,3916.0
2022-08-19,3827.0
2022-08-22,3903.0
2022-08-23,3951.0
2022-08-24,4008.0
2022-08-25,4000.0
2022-08-26,4061.0
2022-08-29,3961.0
2022-08-30,3885.0
2022-08-31,3928.0
2022-09-01,3895.0
2022-09-02,3874.0
2022-09-05,3891.0
2022-09-06,3908.0
2022-09-07,3910.0
2022-09-08,3930.0
2022-09-09,3959.0
2022-09-13,3987.0
2022-09-14,3930.0
2022-09-15,3917.0
2022-09-16,3906.0
2022-09-19,3888.0
2022-09-20,3857.0
2022-09-21,3866.0
2022-09-22,3939.0
2022-09-23,3947.0
2022-09-26,3934.0
2022-09-27,3973.0
2022-09-28,3966.0
2022-09-29,3968.0
2022-09-30,3850.0
2022-10-10,3960.0
2022-10-11,3865.0
2022-10-12,3875.0
2022-10-13,3820.0
2022-10-14,3873.0
2022-10-17,3805.0
