d,c
2019-05-20,610.5
2019-05-21,619.5
2019-05-22,625.5
2019-05-23,629.0
2019-05-24,629.5
2019-05-27,654.0
2019-05-28,652.5
2019-05-29,640.5
2019-05-30,631.5
2019-05-31,621.5
2019-06-03,603.0
2019-06-04,608.0
2019-06-05,605.5
2019-06-06,595.0
2019-06-10,601.5
2019-06-11,631.0
2019-06-12,628.5
2019-06-13,647.0
2019-06-14,645.0
2019-06-17,624.0
2019-06-18,630.0
2019-06-19,637.5
2019-06-20,644.5
2019-06-21,639.0
2019-06-24,659.0
2019-06-25,650.5
2019-06-26,648.5
2019-06-27,650.0
2019-06-28,663.5
2019-07-01,696.0
2019-07-02,706.0
2019-07-03,722.5
2019-07-04,692.0
2019-07-05,661.5
2019-07-08,678.5
2019-07-09,700.0
2019-07-10,693.5
2019-07-11,678.5
2019-07-12,680.0
2019-07-15,695.5
2019-07-16,711.0
2019-07-17,695.0
2019-07-18,685.0
2019-07-19,707.0
2019-07-22,673.5
2019-07-23,673.0
2019-07-24,654.5
2019-07-25,657.0
2019-07-26,669.5
2019-07-29,655.0
2019-07-30,667.5
2019-07-31,665.0
2019-08-01,650.5
2019-08-02,633.5
2019-08-05,614.0
2019-08-06,638.5
2019-08-07,611.0
2019-08-08,604.5
2019-08-09,589.0
2019-08-12,588.0
2019-08-13,579.5
2019-08-14,581.0
2019-08-15,571.0
2019-08-16,572.5
2019-08-19,557.5
2019-08-20,553.0
2019-08-21,537.0
2019-08-22,552.5
2019-08-23,564.0
2019-08-26,545.0
2019-08-27,539.5
2019-08-28,542.0
2019-08-29,538.5
2019-08-30,561.5
2019-09-02,583.0
2019-09-03,581.5
2019-09-04,580.0
2019-09-05,582.0
2019-09-06,563.5
2019-09-09,580.0
2019-09-10,578.5
2019-09-11,583.5
2019-09-12,594.5
2019-09-16,594.5
2019-09-17,590.0
2019-09-18,586.0
2019-09-19,564.0
2019-09-20,559.5
2019-09-23,571.0
2019-09-24,556.5
2019-09-25,556.5
2019-09-26,563.5
2019-09-27,567.0
2019-09-30,577.0
2019-10-08,576.0
2019-10-09,562.5
2019-10-10,577.0
2019-10-11,580.0
2019-10-14,564.0
2019-10-15,576.0
2019-10-16,560.0
2019-10-17,557.5
2019-10-18,559.0
2019-10-21,552.5
2019-10-22,553.5
2019-10-23,557.0
2019-10-24,564.5
2019-10-25,570.0
2019-10-28,566.0
2019-10-29,563.5
2019-10-30,568.0
2019-10-31,565.0
2019-11-01,570.0
2019-11-04,563.5
2019-11-05,568.0
2019-11-06,567.0
2019-11-07,560.0
2019-11-08,551.0
2019-11-11,548.0
2019-11-12,559.0
2019-11-13,557.5
2019-11-14,568.5
2019-11-15,581.0
2019-11-18,576.5
2019-11-19,580.0
2019-11-20,582.5
2019-11-21,587.5
2019-11-22,597.5
2019-11-25,612.0
2019-11-26,606.0
2019-11-27,593.5
2019-11-28,599.5
2019-11-29,596.0
2019-12-02,602.5
2019-12-03,606.0
2019-12-04,619.5
2019-12-05,620.5
2019-12-06,620.5
2019-12-09,653.0
2019-12-10,649.5
2019-12-11,658.5
2019-12-12,651.0
2019-12-13,653.5
2019-12-16,645.5
2019-12-17,634.5
2019-12-18,635.0
2019-12-19,648.0
2019-12-20,635.0
2019-12-23,638.5
2019-12-24,642.5
2019-12-25,638.5
2019-12-26,639.5
2019-12-27,642.5
2019-12-30,641.5
2019-12-31,648.5
2020-01-02,655.5
2020-01-03,666.0
2020-01-06,668.0
2020-01-07,666.5
2020-01-08,679.5
2020-01-09,657.0
2020-01-10,659.0
2020-01-13,657.0
2020-01-14,671.5
2020-01-15,664.0
2020-01-16,658.5
2020-01-17,669.5
2020-01-20,670.0
2020-01-21,671.0
2020-01-22,673.0
2020-01-23,649.5
2020-02-03,606.5
2020-02-04,591.0
2020-02-05,578.0
2020-02-06,590.0
2020-02-07,587.0
2020-02-10,581.5
2020-02-11,605.5
2020-02-12,619.5
2020-02-13,624.5
2020-02-14,628.5
2020-02-17,639.5
2020-02-18,639.5
2020-02-19,645.5
2020-02-20,667.0
2020-02-21,675.5
2020-02-24,674.0
2020-02-25,672.5
2020-02-26,646.5
2020-02-27,633.0
2020-02-28,616.5
2020-03-02,653.0
2020-03-03,644.5
2020-03-04,660.0
2020-03-05,665.5
2020-03-06,650.0
2020-03-09,640.0
2020-03-10,662.5
2020-03-11,653.5
2020-03-12,663.0
2020-03-13,676.5
2020-03-16,661.5
2020-03-17,671.0
2020-03-18,676.0
2020-03-19,678.0
2020-03-20,661.5
2020-03-23,629.0
2020-03-24,639.5
2020-03-25,665.0
2020-03-26,662.0
2020-03-27,659.0
2020-03-30,645.5
2020-03-31,650.5
2020-04-01,638.5
2020-04-02,647.0
2020-04-03,647.0
2020-04-07,631.0
2020-04-08,651.0
2020-04-09,666.0
2020-04-10,673.0
2020-04-13,667.0
2020-04-14,675.0
2020-04-15,686.0
2020-04-16,683.0
2020-04-17,690.5
2020-04-20,693.5
2020-04-21,676.0
2020-04-22,680.0
2020-04-23,674.0
2020-04-24,678.0
2020-04-27,678.0
2020-04-28,681.5
2020-04-29,683.5
2020-04-30,691.5
2020-05-06,679.0
2020-05-07,679.5
2020-05-08,688.5
2020-05-11,687.5
2020-05-12,695.0
2020-05-13,704.0
2020-05-14,710.0
2020-05-15,729.0
2020-05-18,768.0
2020-05-19,707.5
