datetime,J2201
2021-01-18,2478.0
2021-01-19,2419.0
2021-01-20,2450.0
2021-01-21,2507.0
2021-01-22,2482.0
2021-01-25,2441.0
2021-01-26,2380.0
2021-01-27,2415.0
2021-01-28,2354.5
2021-01-29,2311.5
2021-02-01,2308.0
2021-02-02,2255.5
2021-02-03,2257.0
2021-02-04,2285.0
2021-02-05,2285.0
2021-02-08,2345.0
2021-02-09,2366.0
2021-02-10,2355.5
2021-02-18,2442.0
2021-02-19,2406.0
2021-02-22,2362.0
2021-02-23,2317.0
2021-02-24,2335.0
2021-02-25,2361.0
2021-02-26,2292.0
2021-03-01,2249.0
2021-03-02,2296.0
2021-03-03,2303.5
2021-03-04,2277.5
2021-03-05,2216.0
2021-03-08,2204.0
2021-03-09,2178.5
2021-03-10,2201.0
2021-03-11,2242.0
2021-03-12,2150.0
2021-03-15,2152.5
2021-03-16,2185.5
2021-03-17,2224.0
2021-03-18,2236.0
2021-03-19,2176.5
2021-03-22,2129.0
2021-03-23,2143.0
2021-03-24,2142.0
2021-03-25,2156.0
2021-03-26,2198.0
2021-03-29,2277.0
2021-03-30,2271.0
2021-03-31,2304.0
2021-04-01,2312.0
2021-04-02,2351.5
2021-04-06,2355.5
2021-04-07,2370.0
2021-04-08,2366.0
2021-04-09,2355.0
2021-04-12,2364.0
2021-04-13,2403.5
2021-04-14,2457.0
2021-04-15,2435.0
2021-04-16,2505.0
2021-04-19,2489.0
2021-04-20,2527.5
2021-04-21,2526.0
2021-04-22,2546.0
2021-04-23,2538.5
2021-04-26,2626.0
2021-04-27,2639.5
2021-04-28,2635.0
2021-04-29,2656.5
2021-04-30,2582.5
2021-05-06,2742.0
2021-05-07,2777.0
2021-05-10,2912.0
2021-05-11,2809.0
2021-05-12,2853.0
2021-05-13,2743.0
2021-05-14,2631.5
2021-05-17,2638.0
2021-05-18,2663.0
2021-05-19,2575.5
2021-05-20,2475.0
2021-05-21,2350.0
2021-05-24,2331.0
2021-05-25,2328.5
2021-05-26,2316.0
2021-05-27,2381.0
2021-05-28,2402.0
2021-05-31,2440.5
2021-06-01,2531.5
2021-06-02,2536.0
2021-06-03,2650.0
2021-06-04,2506.0
2021-06-07,2467.0
2021-06-08,2516.0
2021-06-09,2567.0
2021-06-10,2530.0
2021-06-11,2649.5
2021-06-15,2633.5
2021-06-16,2594.0
2021-06-17,2648.0
2021-06-18,2597.0
2021-06-21,2525.0
2021-06-22,2585.5
2021-06-23,2639.5
2021-06-24,2639.5
2021-06-25,2660.0
2021-06-28,2572.5
2021-06-29,2533.0
2021-06-30,2543.5
2021-07-01,2517.0
2021-07-02,2533.0
2021-07-05,2575.0
2021-07-06,2526.0
2021-07-07,2539.0
2021-07-08,2415.5
2021-07-09,2441.0
2021-07-12,2455.0
2021-07-13,2453.0
2021-07-14,2484.0
2021-07-15,2557.0
2021-07-16,2631.5
2021-07-19,2597.5
2021-07-20,2664.0
2021-07-21,2661.0
2021-07-22,2674.0
2021-07-23,2700.0
2021-07-26,2751.5
2021-07-27,2725.0
2021-07-28,2766.0
2021-07-29,2796.0
2021-07-30,2794.0
2021-08-02,2727.0
2021-08-03,2639.5
2021-08-04,2720.0
2021-08-05,2725.0
2021-08-06,2757.0
2021-08-09,2809.0
2021-08-10,2893.0
2021-08-11,2973.0
2021-08-12,2869.0
2021-08-13,2885.0
2021-08-16,2906.0
2021-08-17,2947.0
2021-08-18,2845.0
2021-08-19,2874.5
2021-08-20,2830.5
2021-08-23,3053.5
2021-08-24,3150.5
2021-08-25,3293.0
2021-08-26,3215.5
2021-08-27,3164.5
2021-08-30,3187.0
2021-08-31,3159.0
2021-09-01,3197.0
2021-09-02,3359.0
2021-09-03,3336.5
2021-09-06,3489.5
2021-09-07,3655.5
2021-09-08,3594.0
2021-09-09,3787.5
2021-09-10,3508.0
2021-09-13,3397.0
2021-09-14,3341.5
2021-09-15,3373.0
2021-09-16,3189.0
2021-09-17,3218.0
2021-09-22,3417.0
2021-09-23,3482.0
2021-09-24,3197.5
2021-09-27,3173.5
2021-09-28,3410.0
2021-09-29,3364.5
2021-09-30,3551.0
2021-10-08,3505.0
2021-10-11,3716.0
2021-10-12,3779.0
2021-10-13,3863.0
2021-10-14,3858.0
2021-10-15,4105.5
2021-10-18,4343.5
2021-10-19,4402.0
2021-10-20,4039.0
2021-10-21,3663.5
2021-10-22,3564.0
2021-10-25,3741.0
2021-10-26,3790.0
2021-10-27,3430.0
2021-10-28,3201.0
2021-10-29,2978.0
2021-11-01,2897.5
2021-11-02,3001.0
2021-11-03,3215.0
2021-11-04,3034.5
2021-11-05,3046.0
2021-11-08,3075.5
2021-11-09,3012.5
2021-11-10,2920.0
2021-11-11,3090.5
2021-11-12,2952.0
2021-11-15,2708.0
2021-11-16,2684.5
2021-11-17,2777.0
2021-11-18,2770.0
2021-11-19,2801.5
2021-11-22,2866.0
2021-11-23,2880.5
2021-11-24,3050.0
2021-11-25,3044.0
2021-11-26,2857.0
2021-11-29,2820.0
2021-11-30,2828.5
2021-12-01,2877.5
2021-12-02,2876.0
2021-12-03,2905.0
2021-12-06,2908.0
2021-12-07,2997.5
2021-12-08,2985.5
2021-12-09,2985.5
2021-12-10,2967.5
2021-12-13,2995.0
2021-12-14,2970.0
2021-12-15,2987.0
2021-12-16,3021.5
2021-12-17,3035.5
2021-12-20,2980.0
2021-12-21,2999.0
2021-12-22,2980.5
2021-12-23,3002.0
2021-12-24,3048.5
2021-12-27,2919.0
2021-12-28,2898.0
2021-12-29,2903.0
2021-12-30,2940.0
2021-12-31,2963.5
2022-01-04,3035.0
2022-01-05,3180.0
2022-01-06,3093.5
2022-01-07,3100.0
2022-01-10,3100.0
2022-01-11,3253.5
2022-01-12,3125.0
2022-01-17,3000.0
