datetime,JM2109
2020-09-15,1185.0
2020-09-16,1174.0
2020-09-17,1177.5
2020-09-18,1189.5
2020-09-21,1185.0
2020-09-22,1181.0
2020-09-23,1190.0
2020-09-24,1170.0
2020-09-25,1162.0
2020-09-28,1163.0
2020-09-29,1181.0
2020-09-30,1185.0
2020-10-09,1212.5
2020-10-12,1215.0
2020-10-13,1211.0
2020-10-14,1212.0
2020-10-15,1196.0
2020-10-16,1212.0
2020-10-19,1190.0
2020-10-20,1198.0
2020-10-22,1216.5
2020-10-26,1201.0
2020-10-27,1228.5
2020-10-28,1227.5
2020-10-30,1210.0
2020-11-02,1205.5
2020-11-03,1227.5
2020-11-04,1245.5
2020-11-05,1250.0
2020-11-06,1273.0
2020-11-09,1257.5
2020-11-10,1244.0
2020-11-11,1268.5
2020-11-12,1278.0
2020-11-13,1274.5
2020-11-16,1257.0
2020-11-17,1266.0
2020-11-18,1275.5
2020-11-20,1281.0
2020-11-23,1286.0
2020-11-24,1314.5
2020-11-25,1309.0
2020-11-26,1338.5
2020-11-27,1339.0
2020-11-30,1360.0
2020-12-01,1387.5
2020-12-02,1403.5
2020-12-03,1391.5
2020-12-04,1400.0
2020-12-07,1400.0
2020-12-08,1403.0
2020-12-09,1460.5
2020-12-10,1478.5
2020-12-11,1435.0
2020-12-14,1436.5
2020-12-15,1457.5
2020-12-16,1495.0
2020-12-17,1491.5
2020-12-18,1542.0
2020-12-21,1613.0
2020-12-22,1528.0
2020-12-23,1526.5
2020-12-24,1539.0
2020-12-25,1606.0
2020-12-28,1632.0
2020-12-29,1563.5
2020-12-30,1552.0
2020-12-31,1548.5
2021-01-04,1599.5
2021-01-05,1633.0
2021-01-06,1634.0
2021-01-07,1665.5
2021-01-08,1699.5
2021-01-11,1693.0
2021-01-12,1645.0
2021-01-13,1581.5
2021-01-14,1569.0
2021-01-15,1622.0
2021-01-18,1613.0
2021-01-19,1570.0
2021-01-20,1545.5
2021-01-21,1576.0
2021-01-22,1556.0
2021-01-25,1560.0
2021-01-26,1520.0
2021-01-27,1546.0
2021-01-28,1511.0
2021-01-29,1468.0
2021-02-01,1452.0
2021-02-02,1415.5
2021-02-03,1412.0
2021-02-04,1455.5
2021-02-05,1459.5
2021-02-08,1458.5
2021-02-09,1483.5
2021-02-10,1473.5
2021-02-18,1532.0
2021-02-19,1511.5
2021-02-22,1469.0
2021-02-23,1435.0
2021-02-24,1454.0
2021-02-25,1507.5
2021-02-26,1465.0
2021-03-01,1413.5
2021-03-02,1477.5
2021-03-03,1505.5
2021-03-04,1473.0
2021-03-05,1464.0
2021-03-08,1474.0
2021-03-09,1434.0
2021-03-10,1459.5
2021-03-11,1485.5
2021-03-12,1452.0
2021-03-15,1458.0
2021-03-16,1497.5
2021-03-17,1550.0
2021-03-18,1532.5
2021-03-19,1518.0
2021-03-22,1518.0
2021-03-23,1531.5
2021-03-24,1559.5
2021-03-25,1562.0
2021-03-26,1578.5
2021-03-29,1648.0
2021-03-30,1672.5
2021-03-31,1660.0
2021-04-01,1632.0
2021-04-02,1638.5
2021-04-06,1667.0
2021-04-07,1644.0
2021-04-08,1613.0
2021-04-09,1609.0
2021-04-12,1639.0
2021-04-13,1658.0
2021-04-14,1672.5
2021-04-15,1681.5
2021-04-16,1740.0
2021-04-19,1731.0
2021-04-20,1739.5
2021-04-21,1710.5
2021-04-22,1752.0
2021-04-23,1744.5
2021-04-26,1789.0
2021-04-27,1784.0
2021-04-28,1757.0
2021-04-29,1766.5
2021-04-30,1773.0
2021-05-06,1912.0
2021-05-07,1939.5
2021-05-10,2062.0
2021-05-11,2027.5
2021-05-12,2111.5
2021-05-13,1988.0
2021-05-14,1922.0
2021-05-17,1967.0
2021-05-18,1967.5
2021-05-19,1927.0
2021-05-20,1782.5
2021-05-21,1701.0
2021-05-24,1723.0
2021-05-25,1758.0
2021-05-26,1744.5
2021-05-27,1787.5
2021-05-28,1801.0
2021-05-31,1767.0
2021-06-01,1872.0
2021-06-02,1859.0
2021-06-03,1878.5
2021-06-04,1850.0
2021-06-07,1803.0
2021-06-08,1852.5
2021-06-09,1871.0
2021-06-10,1865.0
2021-06-11,1982.5
2021-06-15,1955.5
2021-06-16,1952.5
2021-06-17,2009.5
2021-06-18,1955.0
2021-06-21,1937.5
2021-06-22,1968.5
2021-06-23,2037.0
2021-06-24,2045.5
2021-06-25,2045.0
2021-06-28,1978.0
2021-06-29,1943.5
2021-06-30,1944.5
2021-07-01,1910.0
2021-07-02,1942.5
2021-07-05,1970.5
2021-07-06,1949.0
2021-07-07,1932.0
2021-07-08,1830.5
2021-07-09,1856.5
2021-07-12,1882.5
2021-07-13,1959.5
2021-07-14,1996.5
2021-07-15,1986.5
2021-07-16,2035.0
2021-07-19,2040.5
2021-07-20,2074.0
2021-07-21,2090.0
2021-07-22,2085.0
2021-07-23,2115.5
2021-07-26,2153.5
2021-07-27,2135.0
2021-07-28,2199.0
2021-07-29,2256.0
2021-07-30,2317.0
2021-08-02,2289.0
2021-08-03,2222.0
2021-08-04,2313.5
2021-08-05,2325.5
2021-08-06,2374.5
2021-08-09,2371.5
2021-08-10,2344.0
2021-08-11,2361.0
2021-08-12,2371.5
2021-08-13,2389.0
2021-08-16,2408.0
2021-08-17,2465.0
2021-08-18,2550.5
2021-08-19,2723.0
2021-08-20,2866.0
2021-08-23,2865.5
2021-08-24,2769.0
2021-08-25,2861.0
2021-08-26,2832.5
2021-08-27,2839.5
2021-08-30,2823.0
2021-08-31,2992.0
2021-09-01,3039.5
2021-09-02,3191.0
2021-09-03,3170.0
2021-09-06,3400.0
2021-09-07,3245.0
2021-09-08,3169.5
2021-09-09,3380.0
2021-09-10,3150.0
2021-09-13,2950.0
2021-09-14,3050.0
