datetime,L2505
2024-05-20,8612.0
2024-05-21,8599.0
2024-05-22,8599.0
2024-05-23,8528.0
2024-05-24,8552.0
2024-05-27,8645.0
2024-05-28,8650.0
2024-05-29,8639.0
2024-05-30,8663.0
2024-05-31,8657.0
2024-06-03,8530.0
2024-06-04,8516.0
2024-06-05,8492.0
2024-06-06,8521.0
2024-06-07,8530.0
2024-06-11,8557.0
2024-06-12,8600.0
2024-06-13,8589.0
2024-06-14,8535.0
2024-06-17,8469.0
2024-06-18,8498.0
2024-06-19,8546.0
2024-06-20,8545.0
2024-06-21,8501.0
2024-06-24,8462.0
2024-06-25,8507.0
2024-06-26,8496.0
2024-06-27,8482.0
2024-06-28,8535.0
2024-07-01,8547.0
2024-07-02,8589.0
2024-07-03,8587.0
2024-07-04,8560.0
2024-07-05,8503.0
2024-07-08,8460.0
2024-07-09,8445.0
2024-07-10,8381.0
2024-07-11,8385.0
2024-07-12,8371.0
2024-07-15,8351.0
2024-07-16,8342.0
2024-07-17,8349.0
2024-07-18,8362.0
2024-07-19,8325.0
2024-07-22,8295.0
2024-07-23,8258.0
2024-07-24,8255.0
2024-07-25,8217.0
2024-07-26,8229.0
2024-07-29,8168.0
2024-07-30,8109.0
2024-07-31,8198.0
2024-08-01,8196.0
2024-08-02,8224.0
2024-08-05,8140.0
2024-08-06,8117.0
2024-08-07,8107.0
2024-08-08,8071.0
2024-08-09,8081.0
2024-08-12,8069.0
2024-08-13,8093.0
2024-08-14,8076.0
2024-08-15,8038.0
2024-08-16,7978.0
2024-08-19,7979.0
2024-08-20,7947.0
2024-08-21,7977.0
2024-08-22,7987.0
2024-08-23,7934.0
2024-08-26,8063.0
2024-08-27,8111.0
2024-08-28,8084.0
2024-08-29,8082.0
2024-08-30,8096.0
2024-09-02,7971.0
2024-09-03,7968.0
2024-09-04,7867.0
2024-09-05,7820.0
2024-09-06,7820.0
2024-09-09,7814.0
2024-09-10,7770.0
2024-09-11,7750.0
2024-09-12,7832.0
2024-09-13,7759.0
2024-09-18,7723.0
2024-09-19,7821.0
2024-09-20,7805.0
2024-09-23,7710.0
2024-09-24,7837.0
2024-09-25,7861.0
2024-09-26,7847.0
2024-09-27,7925.0
2024-09-30,8096.0
2024-10-08,8198.0
2024-10-09,8165.0
2024-10-10,8148.0
2024-10-11,8187.0
2024-10-14,8192.0
2024-10-15,8099.0
2024-10-16,8110.0
2024-10-17,8009.0
2024-10-18,8053.0
2024-10-21,7991.0
2024-10-22,8006.0
2024-10-23,8026.0
2024-10-24,8050.0
2024-10-25,8068.0
2024-10-28,8095.0
2024-10-29,8017.0
2024-10-30,7961.0
2024-10-31,8008.0
2024-11-01,8020.0
2024-11-04,8041.0
2024-11-05,8068.0
2024-11-06,8027.0
2024-11-07,8099.0
2024-11-08,8074.0
2024-11-11,8045.0
2024-11-12,8048.0
2024-11-13,8052.0
2024-11-14,8090.0
2024-11-15,8073.0
2024-11-18,8040.0
2024-11-19,8087.0
2024-11-20,8125.0
2024-11-21,8079.0
2024-11-22,8091.0
2024-11-25,8095.0
2024-11-26,8154.0
2024-11-27,8160.0
2024-11-28,8131.0
2024-11-29,8152.0
2024-12-02,8224.0
2024-12-03,8159.0
2024-12-04,8151.0
2024-12-05,8109.0
2024-12-06,8093.0
2024-12-09,8095.0
2024-12-10,8101.0
2024-12-11,8139.0
2024-12-12,8150.0
2024-12-13,8130.0
2024-12-16,8191.0
2024-12-17,8169.0
2024-12-18,8173.0
2024-12-19,8143.0
2024-12-20,8086.0
2024-12-23,8089.0
2024-12-24,8099.0
2024-12-25,8080.0
2024-12-26,8117.0
2024-12-27,8079.0
2024-12-30,8103.0
2024-12-31,8178.0
2025-01-02,8164.0
2025-01-03,8083.0
2025-01-06,7943.0
2025-01-07,7893.0
2025-01-08,7867.0
2025-01-09,7877.0
2025-01-10,7911.0
2025-01-13,7917.0
2025-01-14,7862.0
2025-01-15,7880.0
2025-01-16,7852.0
2025-01-17,7879.0
2025-01-20,7831.0
2025-01-21,7808.0
2025-01-22,7777.0
2025-01-23,7740.0
2025-01-24,7739.0
2025-01-27,7785.0
2025-02-05,7714.0
2025-02-06,7729.0
2025-02-07,7776.0
2025-02-10,7781.0
2025-02-11,7840.0
2025-02-12,7854.0
2025-02-13,7774.0
2025-02-14,7819.0
2025-02-17,7859.0
2025-02-18,7837.0
2025-02-19,7872.0
2025-02-20,7900.0
2025-02-21,7884.0
2025-02-24,7857.0
2025-02-25,7846.0
2025-02-26,7830.0
2025-02-27,7912.0
2025-02-28,7913.0
2025-03-03,7926.0
2025-03-04,7905.0
2025-03-05,7878.0
2025-03-06,7920.0
2025-03-07,7883.0
2025-03-10,7862.0
2025-03-11,7867.0
2025-03-12,7801.0
2025-03-13,7773.0
2025-03-14,7790.0
2025-03-17,7732.0
2025-03-18,7708.0
2025-03-19,7693.0
2025-03-20,7669.0
2025-03-21,7655.0
2025-03-24,7735.0
2025-03-25,7693.0
2025-03-26,7677.0
2025-03-27,7714.0
2025-03-28,7701.0
2025-03-31,7669.0
2025-04-01,7690.0
2025-04-02,7711.0
2025-04-03,7690.0
2025-04-07,7320.0
2025-04-08,7326.0
2025-04-09,7242.0
2025-04-10,7329.0
2025-04-11,7351.0
2025-04-14,7379.0
2025-04-15,7336.0
2025-04-16,7281.0
2025-04-17,7303.0
2025-04-18,7311.0
2025-04-21,7361.0
2025-04-22,7308.0
2025-04-23,7384.0
2025-04-24,7370.0
2025-04-25,7363.0
2025-04-28,7353.0
2025-04-29,7322.0
2025-04-30,7273.0
2025-05-06,7230.0
2025-05-07,7263.0
2025-05-08,7290.0
2025-05-09,7230.0
2025-05-12,7282.0
2025-05-13,7337.0
2025-05-14,7480.0
2025-05-15,7500.0
2025-05-16,7520.0
2025-05-19,7330.0
