d,c
2024-09-18,3001.0
2024-09-19,2961.0
2024-09-20,2956.0
2024-09-23,2929.0
2024-09-24,2967.0
2024-09-25,2946.0
2024-09-26,2964.0
2024-09-27,2936.0
2024-09-30,3001.0
2024-10-08,2921.0
2024-10-09,2908.0
2024-10-10,2911.0
2024-10-11,2868.0
2024-10-14,2867.0
2024-10-15,2866.0
2024-10-16,2871.0
2024-10-17,2845.0
2024-10-18,2874.0
2024-10-21,2869.0
2024-10-22,2874.0
2024-10-23,2910.0
2024-10-24,2917.0
2024-10-25,2902.0
2024-10-28,2917.0
2024-10-29,2917.0
2024-10-30,2918.0
2024-10-31,2915.0
2024-11-01,2910.0
2024-11-04,2904.0
2024-11-05,2883.0
2024-11-06,2904.0
2024-11-07,2975.0
2024-11-08,2945.0
2024-11-11,3011.0
2024-11-12,3024.0
2024-11-13,3038.0
2024-11-14,3012.0
2024-11-15,2928.0
2024-11-18,2942.0
2024-11-19,2943.0
2024-11-20,2932.0
2024-11-21,2938.0
2024-11-22,2884.0
2024-11-25,2906.0
2024-11-26,2918.0
2024-11-27,2914.0
2024-11-28,2909.0
2024-11-29,2910.0
2024-12-02,2897.0
2024-12-03,2873.0
2024-12-04,2824.0
2024-12-05,2785.0
2024-12-06,2796.0
2024-12-09,2823.0
2024-12-10,2809.0
2024-12-11,2789.0
2024-12-12,2794.0
2024-12-13,2801.0
2024-12-16,2810.0
2024-12-17,2779.0
2024-12-18,2733.0
2024-12-19,2740.0
2024-12-20,2799.0
2024-12-23,2776.0
2024-12-24,2785.0
2024-12-25,2794.0
2024-12-26,2808.0
2024-12-27,2821.0
2024-12-30,2818.0
2024-12-31,2833.0
2025-01-02,2854.0
2025-01-03,2828.0
2025-01-06,2850.0
2025-01-07,2798.0
2025-01-08,2800.0
2025-01-09,2770.0
2025-01-10,2798.0
2025-01-13,2873.0
2025-01-14,2894.0
2025-01-15,2910.0
2025-01-16,2901.0
2025-01-17,2919.0
2025-01-20,2946.0
2025-01-21,2968.0
2025-01-22,2961.0
2025-01-23,2954.0
2025-01-24,2958.0
2025-01-27,2941.0
2025-02-05,3011.0
2025-02-06,3002.0
2025-02-07,2991.0
2025-02-10,2979.0
2025-02-11,2996.0
2025-02-12,2961.0
2025-02-13,2952.0
2025-02-14,2974.0
2025-02-17,2948.0
2025-02-18,2954.0
2025-02-19,2992.0
2025-02-20,3015.0
2025-02-21,3023.0
2025-02-24,2998.0
2025-02-25,3000.0
2025-02-26,2985.0
2025-02-27,3019.0
2025-02-28,3006.0
2025-03-03,3062.0
2025-03-04,3063.0
2025-03-05,2974.0
2025-03-06,2995.0
2025-03-07,2974.0
2025-03-10,3014.0
2025-03-11,2959.0
2025-03-12,2952.0
2025-03-13,2981.0
2025-03-14,3000.0
2025-03-17,2991.0
2025-03-18,3003.0
2025-03-19,2997.0
2025-03-20,2960.0
2025-03-21,2955.0
2025-03-24,2955.0
2025-03-25,2959.0
2025-03-26,2939.0
2025-03-27,2948.0
2025-03-28,2942.0
2025-03-31,2989.0
2025-04-01,2951.0
2025-04-02,2983.0
2025-04-03,3039.0
2025-04-07,3056.0
2025-04-08,3164.0
2025-04-09,3119.0
2025-04-10,3074.0
2025-04-11,3082.0
2025-04-14,3104.0
2025-04-15,3066.0
2025-04-16,3013.0
2025-04-17,3020.0
2025-04-18,3021.0
2025-04-21,3045.0
2025-04-22,3054.0
2025-04-23,3048.0
2025-04-24,3059.0
2025-04-25,3031.0
2025-04-28,2985.0
2025-04-29,2964.0
2025-04-30,2920.0
2025-05-06,2915.0
2025-05-07,2920.0
2025-05-08,2919.0
2025-05-09,2899.0
2025-05-12,2908.0
2025-05-13,2886.0
2025-05-14,2914.0
2025-05-15,2923.0
2025-05-16,2899.0
2025-05-19,2886.0
2025-05-20,2889.0
2025-05-21,2934.0
2025-05-22,2939.0
2025-05-23,2952.0
2025-05-26,2950.0
2025-05-27,2966.0
2025-05-28,2961.0
2025-05-29,2962.0
2025-05-30,2968.0
2025-06-03,2935.0
2025-06-04,2939.0
2025-06-05,2958.0
2025-06-06,3010.0
2025-06-09,3019.0
