datetime,MA1909
2018-09-19,2951.0
2018-09-20,2971.0
2018-09-21,2985.0
2018-09-25,2988.0
2018-09-26,2921.0
2018-09-27,2910.0
2018-09-28,2909.0
2018-10-08,2960.0
2018-10-09,3066.0
2018-10-10,3058.0
2018-10-11,3019.0
2018-10-12,3078.0
2018-10-15,3046.0
2018-10-16,2986.0
2018-10-17,2997.0
2018-10-18,2992.0
2018-10-19,2959.0
2018-10-22,2918.0
2018-10-23,2895.0
2018-10-24,2890.0
2018-10-25,2806.0
2018-10-26,2816.0
2018-10-29,2738.0
2018-10-30,2741.0
2018-10-31,2719.0
2018-11-01,2686.0
2018-11-02,2694.0
2018-11-05,2709.0
2018-11-06,2655.0
2018-11-07,2623.0
2018-11-08,2629.0
2018-11-09,2608.0
2018-11-12,2594.0
2018-11-13,2594.0
2018-11-14,2573.0
2018-11-15,2591.0
2018-11-16,2647.0
2018-11-19,2626.0
2018-11-20,2618.0
2018-11-21,2573.0
2018-11-22,2568.0
2018-11-23,2500.0
2018-11-26,2409.0
2018-11-27,2446.0
2018-11-28,2473.0
2018-11-29,2467.0
2018-11-30,2426.0
2018-12-03,2417.0
2018-12-04,2523.0
2018-12-05,2566.0
2018-12-06,2526.0
2018-12-07,2548.0
2018-12-10,2517.0
2018-12-11,2439.0
2018-12-12,2459.0
2018-12-13,2480.0
2018-12-14,2514.0
2018-12-17,2527.0
2018-12-18,2497.0
2018-12-19,2506.0
2018-12-20,2511.0
2018-12-21,2480.0
2018-12-24,2451.0
2018-12-25,2360.0
2018-12-26,2370.0
2018-12-27,2415.0
2018-12-28,2422.0
2019-01-02,2424.0
2019-01-03,2465.0
2019-01-04,2508.0
2019-01-07,2503.0
2019-01-08,2486.0
2019-01-09,2507.0
2019-01-10,2517.0
2019-01-11,2528.0
2019-01-14,2525.0
2019-01-15,2535.0
2019-01-16,2548.0
2019-01-17,2516.0
2019-01-18,2549.0
2019-01-21,2619.0
2019-01-22,2566.0
2019-01-23,2557.0
2019-01-24,2545.0
2019-01-25,2561.0
2019-01-28,2518.0
2019-01-29,2487.0
2019-01-30,2529.0
2019-01-31,2556.0
2019-02-01,2563.0
2019-02-11,2572.0
2019-02-12,2593.0
2019-02-13,2567.0
2019-02-14,2610.0
2019-02-15,2530.0
2019-02-18,2496.0
2019-02-19,2528.0
2019-02-20,2538.0
2019-02-21,2569.0
2019-02-22,2583.0
2019-02-25,2565.0
2019-02-26,2595.0
2019-02-27,2576.0
2019-02-28,2578.0
2019-03-01,2684.0
2019-03-04,2712.0
2019-03-05,2682.0
2019-03-06,2688.0
2019-03-07,2630.0
2019-03-08,2616.0
2019-03-11,2623.0
2019-03-12,2660.0
2019-03-13,2654.0
2019-03-14,2625.0
2019-03-15,2567.0
2019-03-18,2533.0
2019-03-19,2525.0
2019-03-20,2564.0
2019-03-21,2562.0
2019-03-22,2569.0
2019-03-25,2558.0
2019-03-26,2546.0
2019-03-27,2518.0
2019-03-28,2465.0
2019-03-29,2467.0
2019-04-01,2508.0
2019-04-02,2493.0
2019-04-03,2505.0
2019-04-04,2513.0
2019-04-08,2580.0
2019-04-09,2560.0
2019-04-10,2566.0
2019-04-11,2555.0
2019-04-12,2530.0
2019-04-15,2497.0
2019-04-16,2471.0
2019-04-17,2476.0
2019-04-18,2415.0
2019-04-19,2439.0
2019-04-23,2459.0
2019-04-24,2444.0
2019-04-25,2459.0
2019-04-26,2391.0
2019-04-29,2408.0
2019-04-30,2398.0
2019-05-06,2418.0
2019-05-07,2449.0
2019-05-08,2463.0
2019-05-09,2449.0
2019-05-10,2455.0
2019-05-13,2420.0
2019-05-14,2374.0
2019-05-15,2397.0
2019-05-16,2442.0
2019-05-17,2447.0
2019-05-20,2508.0
2019-05-21,2535.0
2019-05-22,2538.0
2019-05-23,2465.0
2019-05-24,2426.0
2019-05-27,2443.0
2019-05-28,2445.0
