datetime,OI2405
2023-05-18,7810.0
2023-05-19,7911.0
2023-05-22,7595.0
2023-05-23,7582.0
2023-05-24,7587.0
2023-05-25,7673.0
2023-05-26,7736.0
2023-05-29,7700.0
2023-05-30,7676.0
2023-05-31,7408.0
2023-06-01,7536.0
2023-06-02,7617.0
2023-06-05,7646.0
2023-06-06,7639.0
2023-06-07,7584.0
2023-06-08,7565.0
2023-06-09,7801.0
2023-06-12,7739.0
2023-06-13,7827.0
2023-06-14,7950.0
2023-06-15,8032.0
2023-06-16,8316.0
2023-06-19,8344.0
2023-06-20,8428.0
2023-06-21,8278.0
2023-06-26,8370.0
2023-06-27,8370.0
2023-06-28,8385.0
2023-06-29,8373.0
2023-06-30,8449.0
2023-07-03,8910.0
2023-07-04,8785.0
2023-07-05,8745.0
2023-07-06,8888.0
2023-07-07,8742.0
2023-07-10,8853.0
2023-07-11,8933.0
2023-07-12,9005.0
2023-07-13,9092.0
2023-07-14,9153.0
2023-07-17,9065.0
2023-07-18,9139.0
2023-07-19,9203.0
2023-07-20,9364.0
2023-07-21,9346.0
2023-07-24,9183.0
2023-07-25,9173.0
2023-07-26,9289.0
2023-07-27,9236.0
2023-07-28,9178.0
2023-07-31,8983.0
2023-08-01,9059.0
2023-08-02,9039.0
2023-08-03,8857.0
2023-08-04,8900.0
2023-08-07,8914.0
2023-08-08,8789.0
2023-08-09,8871.0
2023-08-10,8729.0
2023-08-11,8647.0
2023-08-14,8653.0
2023-08-15,8758.0
2023-08-16,8722.0
2023-08-17,8886.0
2023-08-18,8856.0
2023-08-21,8977.0
2023-08-22,8868.0
2023-08-23,8843.0
2023-08-24,9011.0
2023-08-25,9060.0
2023-08-28,9039.0
2023-08-29,9161.0
2023-08-30,9204.0
2023-08-31,9236.0
2023-09-01,9280.0
2023-09-04,9080.0
2023-09-05,9060.0
2023-09-06,9060.0
2023-09-07,8898.0
2023-09-08,8771.0
2023-09-11,8814.0
2023-09-12,8784.0
2023-09-13,8606.0
2023-09-14,8766.0
2023-09-15,8892.0
2023-09-18,8826.0
2023-09-19,8603.0
2023-09-20,8640.0
2023-09-21,8427.0
2023-09-22,8573.0
2023-09-25,8545.0
2023-09-26,8490.0
2023-09-27,8609.0
2023-09-28,8756.0
2023-10-09,8626.0
2023-10-10,8492.0
2023-10-11,8492.0
2023-10-12,8611.0
2023-10-13,8800.0
2023-10-16,8811.0
2023-10-17,8818.0
2023-10-18,8763.0
2023-10-19,8697.0
2023-10-20,8479.0
2023-10-23,8496.0
2023-10-24,8304.0
2023-10-25,8280.0
2023-10-26,8444.0
2023-10-27,8396.0
2023-10-30,8414.0
2023-10-31,8347.0
2023-11-01,8361.0
2023-11-02,8416.0
2023-11-03,8507.0
2023-11-06,8531.0
2023-11-07,8443.0
2023-11-08,8462.0
2023-11-09,8394.0
2023-11-10,8466.0
2023-11-13,8560.0
2023-11-14,8664.0
2023-11-15,8766.0
2023-11-16,8675.0
2023-11-17,8524.0
2023-11-20,8566.0
2023-11-21,8515.0
2023-11-22,8627.0
2023-11-23,8463.0
2023-11-24,8415.0
2023-11-27,8473.0
2023-11-28,8538.0
2023-11-29,8476.0
2023-11-30,8588.0
2023-12-01,8402.0
2023-12-04,8350.0
2023-12-05,8294.0
2023-12-06,8109.0
2023-12-07,8068.0
2023-12-08,8252.0
2023-12-11,8207.0
2023-12-12,8234.0
2023-12-13,8097.0
2023-12-14,8065.0
2023-12-15,8056.0
2023-12-18,8065.0
2023-12-19,8040.0
2023-12-20,8006.0
2023-12-21,8067.0
2023-12-22,8036.0
2023-12-25,8076.0
2023-12-26,8074.0
2023-12-27,8145.0
2023-12-28,8129.0
2023-12-29,7965.0
