d,c
2025-05-20,8058.0
2025-05-21,8060.0
2025-05-22,7950.0
2025-05-23,7954.0
2025-05-26,7920.0
2025-05-27,7980.0
2025-05-28,8000.0
2025-05-29,8082.0
2025-05-30,7934.0
2025-06-03,8016.0
2025-06-04,7976.0
2025-06-05,7984.0
2025-06-06,7966.0
2025-06-09,8036.0
2025-06-10,7998.0
2025-06-11,7898.0
2025-06-12,7904.0
2025-06-13,7976.0
2025-06-16,8258.0
2025-06-17,8284.0
2025-06-18,8350.0
2025-06-19,8386.0
2025-06-20,8382.0
2025-06-23,8380.0
2025-06-24,8208.0
2025-06-25,8230.0
2025-06-26,8240.0
2025-06-27,8260.0
2025-06-30,8218.0
2025-07-01,8256.0
2025-07-02,8314.0
2025-07-03,8334.0
2025-07-04,8332.0
2025-07-07,8336.0
2025-07-08,8432.0
2025-07-09,8430.0
2025-07-10,8420.0
2025-07-11,8438.0
2025-07-14,8492.0
2025-07-15,8472.0
2025-07-16,8490.0
2025-07-17,8548.0
2025-07-18,8644.0
2025-07-21,8572.0
2025-07-22,8606.0
2025-07-23,8654.0
2025-07-24,8736.0
2025-07-25,8658.0
2025-07-28,8706.0
2025-07-29,8772.0
2025-07-30,8784.0
2025-07-31,8736.0
2025-08-01,8744.0
2025-08-04,8638.0
2025-08-05,8832.0
2025-08-06,8778.0
2025-08-07,8762.0
2025-08-08,8794.0
2025-08-11,8986.0
2025-08-12,9078.0
2025-08-13,9170.0
2025-08-14,9086.0
2025-08-15,9180.0
2025-08-18,9284.0
2025-08-19,9332.0
2025-08-20,9248.0
2025-08-21,9204.0
2025-08-22,9294.0
2025-08-25,9290.0
2025-08-26,9238.0
2025-08-27,9248.0
2025-08-28,9154.0
2025-08-29,9078.0
2025-09-01,9134.0
2025-09-02,9176.0
2025-09-03,9148.0
2025-09-04,9174.0
2025-09-05,9294.0
2025-09-08,9254.0
2025-09-09,9266.0
2025-09-10,9040.0
2025-09-11,9114.0
2025-09-12,9062.0
2025-09-15,9174.0
2025-09-16,9252.0
2025-09-17,9212.0
2025-09-18,9108.0
2025-09-19,9114.0
2025-09-22,9154.0
2025-09-23,8856.0
2025-09-24,8944.0
2025-09-25,9030.0
2025-09-26,9052.0
2025-09-29,9060.0
2025-09-30,9036.0
2025-10-09,9360.0
2025-10-10,9266.0
2025-10-13,9224.0
2025-10-14,9222.0
2025-10-15,9238.0
2025-10-16,9258.0
2025-10-17,9264.0
2025-10-20,9296.0
2025-10-21,9282.0
2025-10-22,9138.0
2025-10-23,9108.0
2025-10-24,9104.0
2025-10-27,9080.0
2025-10-28,8980.0
2025-10-29,8890.0
2025-10-30,8874.0
2025-10-31,8814.0
2025-11-03,8722.0
2025-11-04,8696.0
2025-11-05,8696.0
2025-11-06,8798.0
2025-11-07,8730.0
2025-11-10,8792.0
2025-11-11,8854.0
2025-11-12,8834.0
2025-11-13,8854.0
2025-11-14,8760.0
2025-11-17,8796.0
2025-11-18,8822.0
2025-11-19,8942.0
2025-11-20,8772.0
2025-11-21,8668.0
2025-11-24,8576.0
2025-11-25,8442.0
2025-11-26,8498.0
2025-11-27,8590.0
2025-11-28,8678.0
2025-12-01,8698.0
2025-12-02,8742.0
2025-12-03,8764.0
2025-12-04,8696.0
2025-12-05,8762.0
2025-12-08,8702.0
2025-12-09,8628.0
2025-12-10,8528.0
2025-12-11,8642.0
2025-12-12,8552.0
2025-12-15,8492.0
2025-12-16,8410.0
2025-12-17,8342.0
2025-12-18,8368.0
2025-12-19,8292.0
2025-12-22,8414.0
2025-12-23,8486.0
2025-12-24,8488.0
2025-12-25,8542.0
2025-12-26,8568.0
2025-12-29,8512.0
2025-12-30,8658.0
2025-12-31,8584.0
2026-01-05,8488.0
2026-01-06,8500.0
2026-01-07,8562.0
2026-01-08,8612.0
2026-01-09,8682.0
2026-01-12,8724.0
2026-01-13,8778.0
2026-01-14,8748.0
2026-01-15,8578.0
2026-01-16,8674.0
2026-01-19,8648.0
2026-01-20,8748.0
2026-01-21,8832.0
2026-01-22,8944.0
2026-01-23,8910.0
2026-01-26,9092.0
2026-01-27,9238.0
2026-01-28,9270.0
2026-01-29,9362.0
2026-01-30,9240.0
2026-02-02,9014.0
2026-02-03,9094.0
2026-02-04,9138.0
2026-02-05,9042.0
2026-02-06,9026.0
2026-02-09,9014.0
2026-02-10,8940.0
2026-02-11,8906.0
2026-02-12,8782.0
2026-02-13,8698.0
2026-02-24,8824.0
2026-02-25,8848.0
2026-02-26,8714.0
2026-02-27,8780.0
2026-03-02,8898.0
2026-03-03,8994.0
2026-03-04,9002.0
2026-03-05,9070.0
2026-03-06,9218.0
2026-03-09,9720.0
2026-03-10,9462.0
2026-03-11,9526.0
2026-03-12,9684.0
2026-03-13,9768.0
2026-03-16,10010.0
2026-03-17,9954.0
2026-03-18,9692.0
2026-03-19,9796.0
2026-03-20,9718.0
2026-03-23,9942.0
2026-03-24,9644.0
2026-03-25,9510.0
2026-03-26,9614.0
2026-03-27,9768.0
2026-03-30,9930.0
2026-03-31,9866.0
2026-04-01,9780.0
2026-04-02,9974.0
2026-04-03,9938.0
2026-04-07,9912.0
2026-04-08,9498.0
2026-04-09,9560.0
2026-04-10,9540.0
2026-04-13,9482.0
2026-04-14,9367.0
2026-04-15,9337.0
2026-04-16,9334.0
2026-04-17,9385.0
2026-04-20,9341.0
2026-04-21,9553.0
2026-04-22,9625.0
2026-04-23,9537.0
2026-04-24,9558.0
2026-04-27,9518.0
2026-04-28,9475.0
2026-04-29,9503.0
2026-04-30,9524.0
