datetime,PF2109
2020-10-12,5832.0
2020-10-13,6026.0
2020-10-14,6030.0
2020-10-15,6168.0
2020-10-16,6324.0
2020-10-19,6446.0
2020-10-20,6414.0
2020-10-21,6370.0
2020-10-22,6162.0
2020-10-23,6132.0
2020-10-26,6144.0
2020-10-27,6050.0
2020-10-28,6094.0
2020-10-29,6002.0
2020-10-30,5974.0
2020-11-02,6040.0
2020-11-03,6042.0
2020-11-04,6030.0
2020-11-05,5970.0
2020-11-06,5860.0
2020-11-09,5898.0
2020-11-10,5968.0
2020-11-11,6034.0
2020-11-12,6010.0
2020-11-13,5944.0
2020-11-16,5980.0
2020-11-17,5980.0
2020-11-18,6004.0
2020-11-19,6000.0
2020-11-20,6018.0
2020-11-23,6054.0
2020-11-24,6098.0
2020-11-25,6108.0
2020-11-26,6084.0
2020-11-27,6130.0
2020-11-30,6058.0
2020-12-01,6056.0
2020-12-02,5986.0
2020-12-03,6034.0
2020-12-04,6124.0
2020-12-07,6264.0
2020-12-08,6200.0
2020-12-09,6198.0
2020-12-10,6186.0
2020-12-11,6246.0
2020-12-14,6354.0
2020-12-15,6304.0
2020-12-16,6304.0
2020-12-17,6360.0
2020-12-18,6342.0
2020-12-21,6304.0
2020-12-22,6248.0
2020-12-23,6256.0
2020-12-24,6312.0
2020-12-25,6344.0
2020-12-28,6282.0
2020-12-29,6234.0
2020-12-30,6310.0
2020-12-31,6446.0
2021-01-04,6562.0
2021-01-05,6624.0
2021-01-06,6740.0
2021-01-07,6866.0
2021-01-08,6838.0
2021-01-11,6630.0
2021-01-12,6700.0
2021-01-13,6782.0
2021-01-14,6662.0
2021-01-15,6650.0
2021-01-18,6684.0
2021-01-19,6702.0
2021-01-20,6710.0
2021-01-21,6672.0
2021-01-22,6548.0
2021-01-25,6574.0
2021-01-26,6510.0
2021-01-27,6578.0
2021-01-28,6524.0
2021-01-29,6674.0
2021-02-01,6748.0
2021-02-02,6756.0
2021-02-03,6704.0
2021-02-04,6786.0
2021-02-05,6740.0
2021-02-08,6900.0
2021-02-09,6970.0
2021-02-10,6992.0
2021-02-18,7396.0
2021-02-19,7382.0
2021-02-22,7744.0
2021-02-23,7758.0
2021-02-24,7802.0
2021-02-25,8244.0
2021-02-26,8104.0
2021-03-01,7836.0
2021-03-02,7646.0
2021-03-03,7646.0
2021-03-04,7602.0
2021-03-05,7664.0
2021-03-08,7848.0
2021-03-09,7570.0
2021-03-10,7340.0
2021-03-11,7488.0
2021-03-12,7486.0
2021-03-15,7414.0
2021-03-16,7312.0
2021-03-17,7346.0
2021-03-18,7392.0
2021-03-19,7150.0
2021-03-22,7332.0
2021-03-23,7334.0
2021-03-24,7278.0
2021-03-25,7182.0
2021-03-26,7202.0
2021-03-29,7092.0
2021-03-30,7138.0
2021-03-31,7130.0
2021-04-01,7086.0
2021-04-02,7360.0
2021-04-06,7390.0
2021-04-07,7344.0
2021-04-08,7210.0
2021-04-09,7164.0
2021-04-12,7036.0
2021-04-13,7014.0
2021-04-14,7142.0
2021-04-15,7258.0
2021-04-16,7318.0
2021-04-19,7258.0
2021-04-20,7308.0
2021-04-21,7080.0
2021-04-22,7092.0
2021-04-23,7214.0
2021-04-26,7046.0
2021-04-27,7106.0
2021-04-28,7150.0
2021-04-29,7286.0
2021-04-30,7212.0
2021-05-06,7382.0
2021-05-07,7404.0
2021-05-10,7396.0
2021-05-11,7252.0
2021-05-12,7416.0
2021-05-13,7152.0
2021-05-14,6908.0
2021-05-17,6976.0
2021-05-18,7050.0
2021-05-19,6962.0
2021-05-20,6910.0
2021-05-21,6906.0
2021-05-24,6952.0
2021-05-25,6990.0
2021-05-26,6926.0
2021-05-27,6782.0
2021-05-28,6868.0
2021-05-31,6972.0
2021-06-01,7100.0
2021-06-02,7018.0
2021-06-03,7102.0
2021-06-04,6988.0
2021-06-07,6922.0
2021-06-08,6888.0
2021-06-09,6936.0
2021-06-10,6878.0
2021-06-11,6980.0
2021-06-15,6974.0
2021-06-16,7076.0
2021-06-17,7056.0
2021-06-18,6890.0
2021-06-21,6888.0
2021-06-22,7048.0
2021-06-23,7098.0
2021-06-24,7242.0
2021-06-25,7322.0
2021-06-28,7326.0
2021-06-29,7190.0
2021-06-30,7194.0
2021-07-01,7198.0
2021-07-02,7238.0
2021-07-05,7444.0
2021-07-06,7520.0
2021-07-07,7256.0
2021-07-08,7166.0
2021-07-09,7210.0
2021-07-12,7198.0
2021-07-13,7322.0
2021-07-14,7312.0
2021-07-15,7190.0
2021-07-16,7226.0
2021-07-19,7278.0
2021-07-20,7098.0
2021-07-21,7276.0
2021-07-22,7388.0
2021-07-23,7362.0
2021-07-26,7280.0
2021-07-27,7276.0
2021-07-28,7232.0
2021-07-29,7300.0
2021-07-30,7422.0
2021-08-02,7450.0
2021-08-03,7382.0
2021-08-04,7350.0
2021-08-05,7144.0
2021-08-06,7232.0
2021-08-09,7166.0
2021-08-10,7206.0
2021-08-11,7184.0
2021-08-12,7114.0
2021-08-13,7038.0
2021-08-16,6952.0
2021-08-17,6852.0
2021-08-18,6874.0
2021-08-19,6864.0
2021-08-20,6896.0
2021-08-23,6894.0
2021-08-24,6956.0
2021-08-25,6854.0
2021-08-26,6760.0
2021-08-27,6764.0
2021-08-30,6724.0
2021-08-31,6612.0
2021-09-01,6646.0
2021-09-02,6676.0
2021-09-03,6762.0
2021-09-06,6776.0
2021-09-07,6732.0
2021-09-08,6558.0
2021-09-09,6580.0
2021-09-10,6622.0
2021-09-13,6706.0
2021-09-14,6782.0
