datetime,PP2201
2021-01-18,8000.0
2021-01-19,7941.0
2021-01-20,7880.0
2021-01-21,7910.0
2021-01-22,7964.0
2021-01-25,7844.0
2021-01-26,7848.0
2021-01-27,7899.0
2021-01-28,8000.0
2021-01-29,7978.0
2021-02-01,7995.0
2021-02-02,7971.0
2021-02-03,8030.0
2021-02-04,8111.0
2021-02-05,8159.0
2021-02-08,8120.0
2021-02-09,8050.0
2021-02-10,7982.0
2021-02-18,8388.0
2021-02-19,8480.0
2021-02-22,8741.0
2021-02-23,8624.0
2021-02-24,8625.0
2021-02-25,8750.0
2021-02-26,8719.0
2021-03-01,8680.0
2021-03-02,8652.0
2021-03-03,8641.0
2021-03-04,8690.0
2021-03-05,8710.0
2021-03-08,8964.0
2021-03-09,8815.0
2021-03-10,8637.0
2021-03-11,8736.0
2021-03-12,8835.0
2021-03-15,8870.0
2021-03-16,8912.0
2021-03-17,8816.0
2021-03-18,8719.0
2021-03-19,8569.0
2021-03-22,8600.0
2021-03-23,8435.0
2021-03-24,8432.0
2021-03-25,8477.0
2021-03-26,8480.0
2021-03-29,8440.0
2021-03-30,8402.0
2021-03-31,8344.0
2021-04-01,8453.0
2021-04-02,8534.0
2021-04-06,8520.0
2021-04-07,8554.0
2021-04-08,8460.0
2021-04-09,8369.0
2021-04-12,8311.0
2021-04-13,8259.0
2021-04-14,8305.0
2021-04-15,8419.0
2021-04-16,8486.0
2021-04-19,8410.0
2021-04-20,8418.0
2021-04-21,8208.0
2021-04-22,8240.0
2021-04-23,8260.0
2021-04-26,8300.0
2021-04-27,8420.0
2021-04-28,8447.0
2021-04-29,8451.0
2021-04-30,8330.0
2021-05-06,8597.0
2021-05-07,8747.0
2021-05-10,8668.0
2021-05-11,8621.0
2021-05-12,8843.0
2021-05-13,8775.0
2021-05-14,8668.0
2021-05-17,8639.0
2021-05-18,8674.0
2021-05-19,8559.0
2021-05-20,8350.0
2021-05-21,8260.0
2021-05-24,8290.0
2021-05-25,8280.0
2021-05-26,8388.0
2021-05-27,8230.0
2021-05-28,8207.0
2021-05-31,8220.0
2021-06-01,8335.0
2021-06-02,8281.0
2021-06-03,8266.0
2021-06-04,8165.0
2021-06-07,8006.0
2021-06-08,8002.0
2021-06-09,8048.0
2021-06-10,8043.0
2021-06-11,8077.0
2021-06-15,8101.0
2021-06-16,8150.0
2021-06-17,8148.0
2021-06-18,8118.0
2021-06-21,8153.0
2021-06-22,8264.0
2021-06-23,8328.0
2021-06-24,8333.0
2021-06-25,8443.0
2021-06-28,8473.0
2021-06-29,8386.0
2021-06-30,8399.0
2021-07-01,8443.0
2021-07-02,8451.0
2021-07-05,8539.0
2021-07-06,8540.0
2021-07-07,8350.0
2021-07-08,8339.0
2021-07-09,8468.0
2021-07-12,8510.0
2021-07-13,8504.0
2021-07-14,8451.0
2021-07-15,8343.0
2021-07-16,8399.0
2021-07-19,8564.0
2021-07-20,8541.0
2021-07-21,8574.0
2021-07-22,8584.0
2021-07-23,8579.0
2021-07-26,8422.0
2021-07-27,8360.0
2021-07-28,8431.0
2021-07-29,8517.0
2021-07-30,8573.0
2021-08-02,8412.0
2021-08-03,8272.0
2021-08-04,8316.0
2021-08-05,8256.0
2021-08-06,8287.0
2021-08-09,8250.0
2021-08-10,8389.0
2021-08-11,8437.0
2021-08-12,8471.0
2021-08-13,8474.0
2021-08-16,8480.0
2021-08-17,8489.0
2021-08-18,8482.0
2021-08-19,8271.0
2021-08-20,8251.0
2021-08-23,8315.0
2021-08-24,8370.0
2021-08-25,8318.0
2021-08-26,8120.0
2021-08-27,8163.0
2021-08-30,8189.0
2021-08-31,8134.0
2021-09-01,8184.0
2021-09-02,8349.0
2021-09-03,8394.0
2021-09-06,8356.0
2021-09-07,8502.0
2021-09-08,8533.0
2021-09-09,8484.0
2021-09-10,8493.0
2021-09-13,8545.0
2021-09-14,8602.0
2021-09-15,9036.0
2021-09-16,9003.0
2021-09-17,8880.0
2021-09-22,9109.0
2021-09-23,9345.0
2021-09-24,9304.0
2021-09-27,9509.0
2021-09-28,9834.0
2021-09-29,9729.0
2021-09-30,10152.0
2021-10-08,10056.0
2021-10-11,10301.0
2021-10-12,10068.0
2021-10-13,9795.0
2021-10-14,9706.0
2021-10-15,9791.0
2021-10-18,9756.0
2021-10-19,9643.0
2021-10-20,9202.0
2021-10-21,9265.0
2021-10-22,9023.0
2021-10-25,8852.0
2021-10-26,8864.0
2021-10-27,8560.0
2021-10-28,8658.0
2021-10-29,8679.0
2021-11-01,8644.0
2021-11-02,8550.0
2021-11-03,8766.0
2021-11-04,8534.0
2021-11-05,8604.0
2021-11-08,8573.0
2021-11-09,8587.0
2021-11-10,8584.0
2021-11-11,8677.0
2021-11-12,8673.0
2021-11-15,8374.0
2021-11-16,8304.0
2021-11-17,8353.0
2021-11-18,8315.0
2021-11-19,8363.0
2021-11-22,8258.0
2021-11-23,8295.0
2021-11-24,8420.0
2021-11-25,8306.0
2021-11-26,8195.0
2021-11-29,8136.0
2021-11-30,7963.0
2021-12-01,8107.0
2021-12-02,8006.0
2021-12-03,7992.0
2021-12-06,8102.0
2021-12-07,8111.0
2021-12-08,8020.0
2021-12-09,8012.0
2021-12-10,7918.0
2021-12-13,8183.0
2021-12-14,8164.0
2021-12-15,8032.0
2021-12-16,8115.0
2021-12-17,8196.0
2021-12-20,8159.0
2021-12-21,8149.0
2021-12-22,8132.0
2021-12-23,8195.0
2021-12-24,8250.0
2021-12-27,8015.0
2021-12-28,8040.0
2021-12-29,8172.0
2021-12-30,8192.0
2021-12-31,8172.0
2022-01-04,8265.0
2022-01-05,8247.0
2022-01-06,8245.0
2022-01-07,8280.0
2022-01-10,8150.0
2022-01-11,8178.0
2022-01-12,8240.0
2022-01-13,8236.0
2022-01-14,8350.0
2022-01-17,8220.0
