datetime,PR2605
2025-05-20,5940.0
2025-05-23,5934.0
2025-05-27,5846.0
2025-05-30,5830.0
2025-06-03,5854.0
2025-06-06,5762.0
2025-06-13,5904.0
2025-06-16,5962.0
2025-06-17,5890.0
2025-06-18,5972.0
2025-06-19,5964.0
2025-06-20,5958.0
2025-06-23,6060.0
2025-06-24,5866.0
2025-06-25,5880.0
2025-06-26,5870.0
2025-06-27,5850.0
2025-07-02,5906.0
2025-07-03,5892.0
2025-07-07,5874.0
2025-07-08,5876.0
2025-07-09,5886.0
2025-07-10,5952.0
2025-07-11,5910.0
2025-07-14,5948.0
2025-07-15,5914.0
2025-07-16,5890.0
2025-07-17,5890.0
2025-07-18,5940.0
2025-07-21,5978.0
2025-07-23,5994.0
2025-07-24,6016.0
2025-07-25,6050.0
2025-07-28,6024.0
2025-07-30,6096.0
2025-07-31,6036.0
2025-08-01,6024.0
2025-08-04,5992.0
2025-08-05,5990.0
2025-08-07,5978.0
2025-08-13,5992.0
2025-08-14,5930.0
2025-08-18,5942.0
2025-08-19,5964.0
2025-08-20,6012.0
2025-08-21,6116.0
2025-08-25,6086.0
2025-08-26,6096.0
2025-08-27,6058.0
2025-08-28,6022.0
2025-09-01,6002.0
2025-09-02,5992.0
2025-09-03,5964.0
2025-09-04,5906.0
2025-09-05,5912.0
2025-09-08,5918.0
2025-09-09,5916.0
2025-09-11,5920.0
2025-09-12,5860.0
2025-09-15,5890.0
2025-09-17,5928.0
2025-09-18,5926.0
2025-09-19,5836.0
2025-09-22,5828.0
2025-09-23,5786.0
2025-09-24,5856.0
2025-09-25,5904.0
2025-09-26,5870.0
2025-09-29,5920.0
2025-09-30,5846.0
2025-10-09,5770.0
2025-10-10,5762.0
2025-10-13,5740.0
2025-10-14,5650.0
2025-10-15,5620.0
2025-10-16,5640.0
2025-10-17,5610.0
2025-10-20,5566.0
2025-10-21,5588.0
2025-10-22,5658.0
2025-10-23,5696.0
2025-10-24,5698.0
2025-10-27,5794.0
2025-10-28,5780.0
2025-10-29,5782.0
2025-10-30,5720.0
2025-10-31,5746.0
2025-11-03,5758.0
2025-11-04,5728.0
2025-11-05,5720.0
2025-11-06,5774.0
2025-11-07,5760.0
2025-11-10,5816.0
2025-11-11,5752.0
2025-11-12,5764.0
2025-11-13,5762.0
2025-11-14,5808.0
2025-11-17,5786.0
2025-11-18,5782.0
2025-11-19,5814.0
2025-11-20,5760.0
2025-11-21,5738.0
2025-11-24,5782.0
2025-11-25,5792.0
2025-11-26,5772.0
2025-11-27,5738.0
2025-11-28,5792.0
2025-12-01,5840.0
2025-12-02,5824.0
2025-12-03,5792.0
2025-12-04,5802.0
2025-12-05,5742.0
2025-12-08,5760.0
2025-12-09,5706.0
2025-12-10,5678.0
2025-12-11,5666.0
2025-12-12,5628.0
2025-12-15,5646.0
2025-12-16,5636.0
2025-12-17,5638.0
2025-12-18,5698.0
2025-12-19,5776.0
2025-12-22,5892.0
2025-12-23,5920.0
2025-12-24,5984.0
2025-12-25,6048.0
2025-12-26,6158.0
2025-12-29,6038.0
2025-12-30,6056.0
2025-12-31,6022.0
2026-01-05,5944.0
2026-01-06,6060.0
2026-01-07,6064.0
2026-01-08,6010.0
2026-01-09,6030.0
2026-01-12,6080.0
2026-01-13,6088.0
2026-01-14,6102.0
2026-01-15,6016.0
2026-01-16,5970.0
2026-01-19,5976.0
2026-01-20,6062.0
2026-01-21,6076.0
2026-01-22,6274.0
2026-01-23,6438.0
2026-01-26,6426.0
2026-01-27,6256.0
2026-01-28,6334.0
2026-01-29,6322.0
2026-01-30,6246.0
2026-02-02,6064.0
2026-02-03,6120.0
2026-02-04,6178.0
2026-02-05,6114.0
2026-02-06,6134.0
2026-02-09,6152.0
2026-02-10,6176.0
2026-02-11,6214.0
2026-02-12,6156.0
2026-02-13,6140.0
2026-02-24,6266.0
2026-02-25,6236.0
2026-02-26,6174.0
2026-02-27,6164.0
2026-03-02,6490.0
2026-03-03,6556.0
2026-03-04,6644.0
2026-03-05,6778.0
2026-03-06,7038.0
2026-03-09,7344.0
2026-03-10,7282.0
2026-03-11,7836.0
2026-03-12,8242.0
2026-03-13,8306.0
2026-03-16,9068.0
2026-03-17,8738.0
2026-03-18,8550.0
2026-03-19,8628.0
2026-03-20,8262.0
2026-03-23,8668.0
2026-03-24,8186.0
2026-03-25,8108.0
2026-03-26,8104.0
2026-03-27,8320.0
2026-03-30,8326.0
2026-03-31,8190.0
2026-04-01,7846.0
2026-04-02,8388.0
2026-04-03,8468.0
2026-04-07,8498.0
2026-04-08,7842.0
2026-04-09,7998.0
2026-04-10,7792.0
2026-04-13,7900.0
2026-04-14,8004.0
2026-04-15,8122.0
2026-04-16,8284.0
2026-04-17,8358.0
2026-04-20,8294.0
2026-04-21,8364.0
2026-04-22,8450.0
2026-04-23,8492.0
2026-04-24,8482.0
2026-04-27,8650.0
2026-04-28,9138.0
2026-04-29,9096.0
2026-04-30,8994.0
2026-05-06,9162.0
2026-05-07,8712.0
2026-05-08,8654.0
2026-05-11,8850.0
2026-05-12,8850.0
