datetime,PX2509
2024-09-19,7088.0
2024-09-20,7048.0
2024-09-23,6978.0
2024-09-24,7104.0
2024-09-25,7388.0
2024-09-26,7216.0
2024-09-27,7288.0
2024-09-30,7616.0
2024-10-08,7682.0
2024-10-09,7612.0
2024-10-10,7624.0
2024-10-11,7634.0
2024-10-14,7546.0
2024-10-15,7448.0
2024-10-23,7442.0
2024-10-24,7464.0
2024-10-28,7306.0
2024-10-29,7132.0
2024-10-30,7146.0
2024-10-31,7200.0
2024-11-01,7234.0
2024-11-04,7232.0
2024-11-05,7260.0
2024-11-06,7180.0
2024-11-07,7232.0
2024-11-08,7300.0
2024-11-11,7214.0
2024-11-13,7190.0
2024-11-14,7144.0
2024-11-15,7050.0
2024-11-18,7086.0
2024-11-19,7176.0
2024-11-20,7190.0
2024-11-21,7212.0
2024-11-22,7220.0
2024-11-25,7158.0
2024-11-26,7110.0
2024-11-27,7120.0
2024-11-28,7050.0
2024-11-29,7090.0
2024-12-02,7088.0
2024-12-03,7056.0
2024-12-04,7092.0
2024-12-05,6942.0
2024-12-06,6954.0
2024-12-09,6850.0
2024-12-10,6934.0
2024-12-11,6988.0
2024-12-12,7052.0
2024-12-13,7078.0
2024-12-16,7226.0
2024-12-17,7242.0
2024-12-18,7230.0
2024-12-19,7174.0
2024-12-20,7132.0
2024-12-23,7172.0
2024-12-24,7154.0
2024-12-25,7134.0
2024-12-26,7024.0
2024-12-27,6958.0
2024-12-30,7020.0
2024-12-31,7078.0
2025-01-02,7186.0
2025-01-03,7186.0
2025-01-06,7204.0
2025-01-07,7078.0
2025-01-08,7090.0
2025-01-09,7318.0
2025-01-10,7314.0
2025-01-13,7508.0
2025-01-14,7482.0
2025-01-15,7548.0
2025-01-16,7622.0
2025-01-17,7564.0
2025-01-20,7456.0
2025-01-21,7478.0
2025-01-22,7400.0
2025-01-23,7306.0
2025-01-24,7238.0
2025-01-27,7186.0
2025-02-05,7218.0
2025-02-06,7208.0
2025-02-07,7370.0
2025-02-10,7406.0
2025-02-11,7402.0
2025-02-12,7410.0
2025-02-13,7258.0
2025-02-14,7304.0
2025-02-17,7338.0
2025-02-18,7378.0
2025-02-19,7362.0
2025-02-20,7372.0
2025-02-21,7288.0
2025-02-24,7218.0
2025-02-25,7208.0
2025-02-26,7108.0
2025-02-27,7130.0
2025-02-28,7126.0
2025-03-03,7158.0
2025-03-04,6964.0
2025-03-05,6942.0
2025-03-06,6904.0
2025-03-07,6920.0
2025-03-10,6884.0
2025-03-11,6800.0
2025-03-12,6718.0
2025-03-13,6816.0
2025-03-14,6894.0
2025-03-17,6910.0
2025-03-18,6928.0
2025-03-19,6872.0
2025-03-20,6924.0
2025-03-21,6930.0
2025-03-24,6962.0
2025-03-25,6948.0
2025-03-26,7000.0
2025-03-27,7036.0
2025-03-28,6992.0
2025-03-31,6934.0
2025-04-01,7040.0
2025-04-02,6998.0
2025-04-03,6870.0
2025-04-07,6450.0
2025-04-08,6084.0
2025-04-09,5866.0
2025-04-10,6208.0
2025-04-11,6176.0
2025-04-14,6132.0
2025-04-15,6058.0
2025-04-16,5928.0
2025-04-17,6034.0
2025-04-18,6094.0
2025-04-21,6110.0
2025-04-22,6050.0
2025-04-23,6224.0
2025-04-24,6166.0
2025-04-25,6230.0
2025-04-28,6294.0
2025-04-29,6206.0
2025-04-30,6212.0
2025-05-06,6130.0
2025-05-07,6288.0
2025-05-08,6404.0
2025-05-09,6472.0
2025-05-12,6654.0
2025-05-13,6708.0
2025-05-14,6880.0
2025-05-15,6762.0
2025-05-16,6744.0
2025-05-19,6752.0
2025-05-20,6668.0
2025-05-21,6766.0
2025-05-22,6614.0
2025-05-23,6652.0
2025-05-26,6674.0
2025-05-27,6706.0
2025-05-28,6590.0
2025-05-29,6788.0
2025-05-30,6618.0
2025-06-03,6524.0
2025-06-04,6578.0
2025-06-05,6540.0
2025-06-06,6556.0
2025-06-09,6494.0
2025-06-10,6502.0
2025-06-11,6528.0
2025-06-12,6536.0
2025-06-13,6780.0
2025-06-16,6758.0
2025-06-17,6776.0
2025-06-18,6988.0
2025-06-19,7094.0
2025-06-20,7076.0
2025-06-23,7126.0
2025-06-24,6760.0
2025-06-25,6758.0
2025-06-26,6722.0
2025-06-27,6752.0
2025-06-30,6796.0
2025-07-01,6794.0
2025-07-02,6790.0
2025-07-03,6740.0
2025-07-04,6672.0
2025-07-07,6684.0
2025-07-08,6696.0
2025-07-09,6724.0
2025-07-10,6782.0
2025-07-11,6694.0
2025-07-14,6778.0
2025-07-15,6688.0
2025-07-16,6716.0
2025-07-17,6742.0
2025-07-18,6810.0
2025-07-21,6862.0
2025-07-22,6886.0
2025-07-23,6860.0
2025-07-24,6956.0
2025-07-25,7062.0
2025-07-28,6890.0
2025-07-29,6942.0
2025-07-30,6984.0
2025-07-31,6928.0
2025-08-01,6812.0
2025-08-04,6754.0
2025-08-05,6734.0
2025-08-06,6794.0
2025-08-07,6756.0
2025-08-08,6726.0
2025-08-11,6778.0
2025-08-12,6832.0
2025-08-13,6784.0
2025-08-14,6690.0
2025-08-15,6756.0
2025-08-18,6804.0
2025-08-19,6818.0
2025-08-20,6874.0
2025-08-21,7052.0
2025-08-22,7038.0
2025-08-25,7024.0
2025-08-26,6996.0
2025-08-27,6946.0
2025-08-28,6876.0
2025-08-29,6702.0
2025-09-01,6720.0
