d,c
2020-10-16,3440.0
2020-10-19,3422.0
2020-10-20,3418.0
2020-10-21,3432.0
2020-10-22,3433.0
2020-10-23,3420.0
2020-10-26,3408.0
2020-10-27,3412.0
2020-10-28,3438.0
2020-10-29,3437.0
2020-10-30,3457.0
2020-11-02,3470.0
2020-11-03,3465.0
2020-11-04,3485.0
2020-11-05,3485.0
2020-11-06,3503.0
2020-11-09,3556.0
2020-11-10,3540.0
2020-11-11,3544.0
2020-11-12,3533.0
2020-11-13,3538.0
2020-11-16,3548.0
2020-11-17,3590.0
2020-11-18,3567.0
2020-11-19,3586.0
2020-11-20,3606.0
2020-11-23,3561.0
2020-11-24,3566.0
2020-11-25,3576.0
2020-11-26,3620.0
2020-11-27,3664.0
2020-11-30,3650.0
2020-12-01,3652.0
2020-12-02,3687.0
2020-12-03,3673.0
2020-12-04,3703.0
2020-12-07,3782.0
2020-12-08,3796.0
2020-12-09,3890.0
2020-12-10,3940.0
2020-12-11,3928.0
2020-12-14,3896.0
2020-12-15,3966.0
2020-12-16,4034.0
2020-12-17,4066.0
2020-12-18,4216.0
2020-12-21,4351.0
2020-12-22,4227.0
2020-12-23,4141.0
2020-12-24,4170.0
2020-12-25,4215.0
2020-12-28,4126.0
2020-12-29,4111.0
2020-12-30,4143.0
2020-12-31,4259.0
2021-01-04,4266.0
2021-01-05,4269.0
2021-01-06,4246.0
2021-01-07,4325.0
2021-01-08,4343.0
2021-01-11,4220.0
2021-01-12,4203.0
2021-01-13,4168.0
2021-01-14,4171.0
2021-01-15,4240.0
2021-01-18,4268.0
2021-01-19,4178.0
2021-01-20,4190.0
2021-01-21,4240.0
2021-01-22,4183.0
2021-01-25,4216.0
2021-01-26,4213.0
2021-01-27,4303.0
2021-01-28,4224.0
2021-01-29,4203.0
2021-02-01,4157.0
2021-02-02,4091.0
2021-02-03,4114.0
2021-02-04,4170.0
2021-02-05,4194.0
2021-02-08,4260.0
2021-02-09,4329.0
2021-02-10,4322.0
2021-02-18,4458.0
2021-02-19,4446.0
2021-02-22,4502.0
2021-02-23,4478.0
2021-02-24,4533.0
2021-02-25,4599.0
2021-02-26,4595.0
2021-03-01,4572.0
2021-03-02,4657.0
2021-03-03,4782.0
2021-03-04,4804.0
2021-03-05,4654.0
2021-03-08,4709.0
2021-03-09,4576.0
2021-03-10,4558.0
2021-03-11,4635.0
2021-03-12,4663.0
2021-03-15,4712.0
2021-03-16,4636.0
2021-03-17,4711.0
2021-03-18,4691.0
2021-03-19,4674.0
2021-03-22,4719.0
2021-03-23,4676.0
2021-03-24,4736.0
2021-03-25,4720.0
2021-03-26,4826.0
2021-03-29,4879.0
2021-03-30,4901.0
2021-03-31,4850.0
2021-04-01,4934.0
2021-04-02,5119.0
2021-04-06,5147.0
2021-04-07,5117.0
2021-04-08,5115.0
2021-04-09,5068.0
2021-04-12,4985.0
2021-04-13,5116.0
2021-04-14,5116.0
2021-04-15,5107.0
2021-04-16,5116.0
2021-04-19,5082.0
2021-04-20,5165.0
2021-04-21,5188.0
2021-04-22,5208.0
2021-04-23,5299.0
2021-04-26,5371.0
2021-04-27,5411.0
2021-04-28,5358.0
2021-04-29,5452.0
2021-04-30,5391.0
2021-05-06,5665.0
2021-05-07,5678.0
2021-05-10,6012.0
2021-05-11,6086.0
2021-05-12,6171.0
2021-05-13,5915.0
2021-05-14,5641.0
2021-05-17,5596.0
2021-05-18,5610.0
2021-05-19,5309.0
2021-05-20,5186.0
2021-05-21,5112.0
2021-05-24,4974.0
2021-05-25,4919.0
2021-05-26,4667.0
2021-05-27,4817.0
2021-05-28,4933.0
2021-05-31,5027.0
2021-06-01,5128.0
2021-06-02,5002.0
2021-06-03,5148.0
2021-06-04,5159.0
