d,c
2021-09-15,2826.0
2021-09-16,2830.0
2021-09-17,2835.0
2021-09-22,2792.0
2021-09-23,2806.0
2021-09-24,2790.0
2021-09-27,2807.0
2021-09-28,2784.0
2021-09-29,2763.0
2021-09-30,2751.0
2021-10-08,2674.0
2021-10-11,2687.0
2021-10-12,2689.0
2021-10-13,2646.0
2021-10-14,2644.0
2021-10-15,2646.0
2021-10-18,2625.0
2021-10-19,2632.0
2021-10-20,2642.0
2021-10-21,2636.0
2021-10-22,2650.0
2021-10-25,2661.0
2021-10-26,2649.0
2021-10-27,2643.0
2021-10-28,2659.0
2021-10-29,2671.0
2021-11-01,2602.0
2021-11-02,2593.0
2021-11-03,2560.0
2021-11-04,2579.0
2021-11-05,2517.0
2021-11-08,2543.0
2021-11-09,2554.0
2021-11-10,2588.0
2021-11-11,2610.0
2021-11-12,2630.0
2021-11-15,2651.0
2021-11-16,2675.0
2021-11-17,2670.0
2021-11-18,2691.0
2021-11-19,2719.0
2021-11-22,2693.0
2021-11-23,2729.0
2021-11-24,2733.0
2021-11-25,2716.0
2021-11-26,2685.0
2021-11-29,2699.0
2021-11-30,2661.0
2021-12-01,2657.0
2021-12-02,2667.0
2021-12-03,2708.0
2021-12-06,2688.0
2021-12-07,2661.0
2021-12-08,2652.0
2021-12-09,2707.0
2021-12-10,2736.0
2021-12-13,2729.0
2021-12-14,2706.0
2021-12-15,2750.0
2021-12-16,2785.0
2021-12-17,2805.0
2021-12-20,2798.0
2021-12-21,2789.0
2021-12-22,2801.0
2021-12-23,2849.0
2021-12-24,2873.0
2021-12-27,2843.0
2021-12-28,2867.0
2021-12-29,2834.0
2021-12-30,2841.0
2021-12-31,2807.0
2022-01-04,2868.0
2022-01-05,2890.0
2022-01-06,2810.0
2022-01-07,2824.0
2022-01-10,2823.0
2022-01-11,2817.0
2022-01-12,2829.0
2022-01-13,2822.0
2022-01-14,2777.0
2022-01-17,2757.0
2022-01-18,2757.0
2022-01-19,2780.0
2022-01-20,2838.0
2022-01-21,2851.0
2022-01-24,2856.0
2022-01-25,2853.0
2022-01-26,2875.0
2022-01-27,2950.0
2022-01-28,2964.0
2022-02-07,3214.0
2022-02-08,3187.0
2022-02-09,3201.0
2022-02-10,3218.0
2022-02-11,3186.0
2022-02-14,3180.0
2022-02-15,3177.0
2022-02-16,3184.0
2022-02-17,3232.0
2022-02-18,3235.0
2022-02-21,3246.0
2022-02-22,3304.0
2022-02-23,3337.0
2022-02-24,3428.0
2022-02-25,3314.0
2022-02-28,3279.0
2022-03-01,3311.0
2022-03-02,3327.0
2022-03-03,3325.0
2022-03-04,3326.0
2022-03-07,3489.0
2022-03-08,3622.0
2022-03-09,3754.0
2022-03-10,3775.0
2022-03-11,3824.0
2022-03-14,3772.0
2022-03-15,3595.0
2022-03-16,3691.0
2022-03-17,3650.0
2022-03-18,3769.0
2022-03-21,3841.0
2022-03-22,3981.0
2022-03-23,4000.0
2022-03-24,3959.0
2022-03-25,3940.0
2022-03-28,3906.0
2022-03-29,3911.0
2022-03-30,3831.0
2022-03-31,3848.0
2022-04-01,3624.0
2022-04-06,3660.0
2022-04-07,3709.0
2022-04-08,3745.0
2022-04-11,3765.0
2022-04-12,3735.0
2022-04-13,3687.0
2022-04-14,3771.0
2022-04-15,3760.0
2022-04-18,3803.0
2022-04-19,3866.0
2022-04-20,3836.0
2022-04-21,3862.0
2022-04-22,3749.0
2022-04-25,3597.0
2022-04-26,3667.0
2022-04-27,3728.0
2022-04-28,3825.0
2022-04-29,3835.0
2022-05-05,3799.0
2022-05-06,3645.0
2022-05-09,3551.0
2022-05-10,3611.0
2022-05-11,3609.0
2022-05-12,3597.0
2022-05-13,3685.0
2022-05-16,3761.0
2022-05-17,3759.0
2022-05-18,3752.0
2022-05-19,3730.0
2022-05-20,3796.0
2022-05-23,3755.0
2022-05-24,3629.0
2022-05-25,3664.0
2022-05-26,3653.0
2022-05-27,3712.0
2022-05-30,3763.0
2022-05-31,3781.0
2022-06-01,3671.0
2022-06-02,3710.0
2022-06-06,3734.0
2022-06-07,3655.0
2022-06-08,3767.0
2022-06-09,3748.0
2022-06-10,3851.0
2022-06-13,3721.0
2022-06-14,3687.0
2022-06-15,3662.0
2022-06-16,3661.0
2022-06-17,3744.0
2022-06-20,3648.0
2022-06-21,3621.0
2022-06-22,3554.0
2022-06-23,3425.0
2022-06-24,3327.0
2022-06-27,3356.0
2022-06-28,3415.0
2022-06-29,3399.0
2022-06-30,3428.0
2022-07-01,3388.0
2022-07-04,3338.0
2022-07-05,3331.0
2022-07-06,3277.0
2022-07-07,3368.0
2022-07-08,3388.0
2022-07-11,3441.0
2022-07-12,3399.0
2022-07-13,3371.0
2022-07-14,3412.0
2022-07-15,3350.0
2022-07-18,3435.0
2022-07-19,3365.0
2022-07-20,3281.0
2022-07-21,3276.0
2022-07-22,3213.0
2022-07-25,3225.0
2022-07-26,3283.0
2022-07-27,3285.0
2022-07-28,3349.0
2022-07-29,3332.0
2022-08-01,3350.0
2022-08-02,3306.0
2022-08-03,3305.0
2022-08-04,3329.0
2022-08-05,3466.0
2022-08-08,3445.0
2022-08-09,3410.0
2022-08-10,3456.0
2022-08-11,3453.0
2022-08-12,3489.0
2022-08-15,3434.0
2022-08-16,3438.0
2022-08-17,3440.0
2022-08-18,3418.0
2022-08-19,3467.0
2022-08-22,3473.0
2022-08-23,3594.0
2022-08-24,3630.0
2022-08-25,3603.0
2022-08-26,3536.0
2022-08-29,3472.0
2022-08-30,3460.0
2022-08-31,3530.0
2022-09-01,3495.0
2022-09-02,3455.0
2022-09-05,3612.0
2022-09-07,3883.0
2022-09-08,4080.0
2022-09-09,4300.0
2022-09-13,4250.0
