datetime,SA2605
2025-05-20,1315.0
2025-05-21,1315.0
2025-05-22,1315.0
2025-05-23,1299.0
2025-05-26,1288.0
2025-05-27,1268.0
2025-05-28,1260.0
2025-05-29,1253.0
2025-05-30,1239.0
2025-06-03,1221.0
2025-06-04,1253.0
2025-06-05,1236.0
2025-06-06,1242.0
2025-06-09,1235.0
2025-06-10,1233.0
2025-06-11,1225.0
2025-06-12,1212.0
2025-06-13,1204.0
2025-06-16,1206.0
2025-06-17,1199.0
2025-06-18,1204.0
2025-06-19,1209.0
2025-06-20,1207.0
2025-06-23,1206.0
2025-06-24,1199.0
2025-06-25,1200.0
2025-06-26,1208.0
2025-06-27,1215.0
2025-06-30,1216.0
2025-07-01,1198.0
2025-07-02,1239.0
2025-07-03,1229.0
2025-07-04,1230.0
2025-07-07,1236.0
2025-07-08,1246.0
2025-07-09,1257.0
2025-07-10,1287.0
2025-07-11,1282.0
2025-07-14,1311.0
2025-07-15,1304.0
2025-07-16,1291.0
2025-07-17,1307.0
2025-07-18,1306.0
2025-07-21,1390.0
2025-07-22,1476.0
2025-07-23,1452.0
2025-07-24,1518.0
2025-07-25,1539.0
2025-07-28,1417.0
2025-07-29,1447.0
2025-07-30,1452.0
2025-07-31,1378.0
2025-08-01,1379.0
2025-08-04,1382.0
2025-08-05,1427.0
2025-08-06,1424.0
2025-08-07,1412.0
2025-08-08,1392.0
2025-08-11,1400.0
2025-08-12,1462.0
2025-08-13,1437.0
2025-08-14,1452.0
2025-08-15,1450.0
2025-08-18,1442.0
2025-08-19,1413.0
2025-08-20,1364.0
2025-08-21,1362.0
2025-08-22,1379.0
2025-08-25,1393.0
2025-08-26,1377.0
2025-08-27,1375.0
2025-08-28,1379.0
2025-08-29,1372.0
2025-09-01,1349.0
2025-09-02,1347.0
2025-09-03,1357.0
2025-09-04,1357.0
2025-09-05,1387.0
2025-09-08,1373.0
2025-09-09,1358.0
2025-09-10,1353.0
2025-09-11,1359.0
2025-09-12,1368.0
2025-09-15,1383.0
2025-09-16,1420.0
2025-09-17,1418.0
2025-09-18,1400.0
2025-09-19,1407.0
2025-09-22,1384.0
2025-09-23,1361.0
2025-09-24,1394.0
2025-09-25,1404.0
2025-09-26,1384.0
2025-09-29,1366.0
2025-09-30,1349.0
2025-10-09,1344.0
2025-10-10,1332.0
2025-10-13,1336.0
2025-10-14,1321.0
2025-10-15,1319.0
2025-10-16,1325.0
2025-10-17,1294.0
2025-10-20,1304.0
2025-10-21,1298.0
2025-10-22,1308.0
2025-10-23,1318.0
2025-10-24,1319.0
2025-10-27,1337.0
2025-10-28,1331.0
2025-10-29,1347.0
2025-10-30,1324.0
2025-10-31,1316.0
2025-11-03,1290.0
2025-11-04,1280.0
2025-11-05,1282.0
2025-11-06,1293.0
2025-11-07,1294.0
2025-11-10,1300.0
2025-11-11,1292.0
2025-11-12,1287.0
2025-11-13,1305.0
2025-11-14,1301.0
2025-11-17,1304.0
2025-11-18,1287.0
2025-11-19,1257.0
2025-11-20,1232.0
2025-11-21,1235.0
2025-11-24,1249.0
2025-11-25,1242.0
2025-11-26,1241.0
2025-11-27,1234.0
2025-11-28,1235.0
2025-12-01,1243.0
2025-12-02,1244.0
2025-12-03,1233.0
2025-12-04,1232.0
2025-12-05,1213.0
2025-12-08,1199.0
2025-12-09,1186.0
2025-12-10,1158.0
2025-12-11,1153.0
2025-12-12,1126.0
2025-12-15,1156.0
2025-12-16,1170.0
2025-12-17,1170.0
2025-12-18,1193.0
2025-12-19,1176.0
2025-12-22,1169.0
2025-12-23,1175.0
2025-12-24,1184.0
2025-12-25,1184.0
2025-12-26,1200.0
2025-12-29,1181.0
