datetime,SF2401
2023-01-18,8430.0
2023-01-19,8476.0
2023-01-20,8468.0
2023-01-30,8364.0
2023-01-31,8232.0
2023-02-01,8098.0
2023-02-02,7982.0
2023-02-03,7986.0
2023-02-06,7968.0
2023-02-07,7928.0
2023-02-08,7916.0
2023-02-09,7998.0
2023-02-10,7846.0
2023-02-13,7710.0
2023-02-14,7788.0
2023-02-15,7784.0
2023-02-16,7808.0
2023-02-17,7730.0
2023-02-20,7784.0
2023-02-21,7916.0
2023-02-22,8030.0
2023-02-23,8072.0
2023-02-24,8050.0
2023-02-27,7902.0
2023-02-28,7868.0
2023-03-01,8000.0
2023-03-02,8000.0
2023-03-03,8008.0
2023-03-06,7816.0
2023-03-07,7812.0
2023-03-08,7790.0
2023-03-09,7780.0
2023-03-10,7672.0
2023-03-13,7722.0
2023-03-14,7702.0
2023-03-15,7698.0
2023-03-16,7658.0
2023-03-17,7742.0
2023-03-20,7716.0
2023-03-21,7702.0
2023-03-22,7712.0
2023-03-23,7776.0
2023-03-24,7906.0
2023-03-27,7884.0
2023-03-28,7868.0
2023-03-29,7796.0
2023-03-30,7762.0
2023-03-31,7774.0
2023-04-03,7762.0
2023-04-04,7746.0
2023-04-06,7642.0
2023-04-07,7684.0
2023-04-10,7620.0
2023-04-11,7630.0
2023-04-12,7636.0
2023-04-13,7610.0
2023-04-14,7656.0
2023-04-17,7570.0
2023-04-18,7700.0
2023-04-19,7728.0
2023-04-20,7626.0
2023-04-21,7480.0
2023-04-24,7444.0
2023-04-25,7372.0
2023-04-26,7368.0
2023-04-27,7322.0
2023-04-28,7316.0
2023-05-04,7244.0
2023-05-05,7256.0
2023-05-08,7292.0
2023-05-09,7234.0
2023-05-10,7252.0
2023-05-11,7200.0
2023-05-12,7276.0
2023-05-15,7294.0
2023-05-16,7198.0
2023-05-17,7224.0
2023-05-18,7282.0
2023-05-19,7294.0
2023-05-22,7088.0
2023-05-23,7048.0
2023-05-24,6970.0
2023-05-25,6966.0
2023-05-26,6942.0
2023-05-29,6984.0
2023-05-30,6922.0
2023-05-31,6776.0
2023-06-01,6838.0
2023-06-02,6922.0
2023-06-05,6914.0
2023-06-06,6880.0
2023-06-07,6768.0
2023-06-08,6764.0
2023-06-09,6914.0
2023-06-12,6768.0
2023-06-13,6856.0
2023-06-14,6918.0
2023-06-15,6930.0
2023-06-16,7030.0
2023-06-19,7050.0
2023-06-20,7060.0
2023-06-21,7106.0
2023-06-26,6936.0
2023-06-27,7040.0
2023-06-28,7022.0
2023-06-29,6990.0
2023-06-30,6916.0
2023-07-03,6902.0
2023-07-04,6894.0
2023-07-05,6842.0
2023-07-06,6856.0
2023-07-07,6856.0
2023-07-10,6844.0
2023-07-11,6940.0
2023-07-12,6954.0
2023-07-13,6952.0
2023-07-14,7020.0
2023-07-17,6846.0
2023-07-18,6874.0
2023-07-19,6988.0
2023-07-20,7028.0
2023-07-21,7016.0
2023-07-24,6966.0
2023-07-25,7016.0
2023-07-26,7070.0
2023-07-27,7050.0
2023-07-28,7022.0
2023-07-31,7084.0
2023-08-01,7084.0
2023-08-02,7208.0
2023-08-03,7098.0
2023-08-04,7180.0
2023-08-07,7158.0
2023-08-08,7184.0
2023-08-09,7242.0
2023-08-10,7198.0
2023-08-11,7204.0
2023-08-14,7086.0
2023-08-15,7046.0
2023-08-16,6972.0
2023-08-17,6992.0
2023-08-18,7034.0
2023-08-21,7038.0
2023-08-22,7080.0
2023-08-23,7114.0
2023-08-24,7074.0
2023-08-25,7114.0
2023-08-28,7060.0
2023-08-29,7006.0
2023-08-30,7102.0
2023-08-31,7188.0
2023-09-01,7238.0
2023-09-04,7288.0
2023-09-05,7240.0
2023-09-06,7278.0
2023-09-07,7248.0
2023-09-08,7148.0
2023-09-11,7242.0
2023-09-12,7276.0
2023-09-13,7208.0
2023-09-14,7316.0
2023-09-15,7410.0
2023-09-18,7486.0
2023-09-19,7494.0
2023-09-20,7548.0
2023-09-21,7466.0
2023-09-22,7482.0
2023-09-25,7452.0
2023-09-26,7466.0
2023-09-27,7496.0
2023-09-28,7452.0
2023-10-09,7310.0
2023-10-10,7216.0
2023-10-11,7134.0
2023-10-12,7110.0
2023-10-13,7038.0
2023-10-16,7030.0
2023-10-17,7010.0
2023-10-18,6924.0
2023-10-19,6932.0
2023-10-20,6904.0
2023-10-23,6968.0
2023-10-24,6996.0
2023-10-25,7028.0
2023-10-26,7024.0
2023-10-27,7044.0
2023-10-30,7076.0
2023-10-31,7000.0
2023-11-01,6978.0
2023-11-02,6964.0
2023-11-03,7034.0
2023-11-06,7016.0
2023-11-07,7136.0
2023-11-08,7136.0
2023-11-09,7156.0
2023-11-10,7196.0
2023-11-13,7170.0
2023-11-14,7200.0
2023-11-15,7208.0
2023-11-16,7216.0
2023-11-17,7134.0
2023-11-20,6984.0
2023-11-21,6898.0
2023-11-22,6866.0
2023-11-23,6874.0
2023-11-24,6894.0
2023-11-27,6906.0
2023-11-28,6876.0
2023-11-29,6852.0
2023-11-30,6834.0
2023-12-01,6766.0
2023-12-04,6770.0
2023-12-05,6660.0
2023-12-06,6682.0
2023-12-07,6768.0
2023-12-08,6928.0
2023-12-11,6850.0
2023-12-12,6842.0
2023-12-13,6750.0
2023-12-14,6800.0
2023-12-15,6896.0
2023-12-18,6884.0
2023-12-19,6802.0
2023-12-20,6830.0
2023-12-21,6890.0
2023-12-22,6880.0
2023-12-25,6872.0
2023-12-26,6752.0
2023-12-27,6742.0
2023-12-28,6682.0
2023-12-29,6666.0
2024-01-02,6700.0
2024-01-03,6790.0
2024-01-04,6640.0
2024-01-08,6212.0
2024-01-09,6594.0
2024-01-10,6582.0
2024-01-11,6620.0
2024-01-12,6604.0
2024-01-15,6602.0
