datetime,SM2301
2022-01-20,8256.0
2022-01-21,8090.0
2022-01-24,8138.0
2022-01-25,8022.0
2022-01-26,8036.0
2022-01-27,8066.0
2022-01-28,8300.0
2022-02-07,8436.0
2022-02-08,8420.0
2022-02-09,8370.0
2022-02-10,8362.0
2022-02-11,8118.0
2022-02-14,8080.0
2022-02-15,8078.0
2022-02-16,8190.0
2022-02-17,8138.0
2022-02-18,8308.0
2022-02-21,8424.0
2022-02-22,8370.0
2022-02-23,8412.0
2022-02-24,8386.0
2022-02-25,8118.0
2022-02-28,8372.0
2022-03-01,8480.0
2022-03-02,8470.0
2022-03-03,8500.0
2022-03-04,8494.0
2022-03-07,8710.0
2022-03-08,8750.0
2022-03-09,8770.0
2022-03-10,8890.0
2022-03-11,8888.0
2022-03-14,8856.0
2022-03-15,8688.0
2022-03-16,8906.0
2022-03-17,8840.0
2022-03-18,8808.0
2022-03-21,8796.0
2022-03-22,8698.0
2022-03-23,8614.0
2022-03-24,8664.0
2022-03-25,8798.0
2022-03-28,8800.0
2022-03-29,8884.0
2022-03-30,8772.0
2022-03-31,8776.0
2022-04-01,8768.0
2022-04-06,8952.0
2022-04-07,8728.0
2022-04-08,8914.0
2022-04-11,8738.0
2022-04-12,8768.0
2022-04-13,8730.0
2022-04-14,8794.0
2022-04-15,8892.0
2022-04-18,9038.0
2022-04-19,8948.0
2022-04-20,8978.0
2022-04-21,8954.0
2022-04-22,8918.0
2022-04-25,8474.0
2022-04-26,8496.0
2022-04-27,8518.0
2022-04-28,8546.0
2022-04-29,8528.0
2022-05-05,8544.0
2022-05-06,8362.0
2022-05-09,8206.0
2022-05-10,8010.0
2022-05-11,8072.0
2022-05-12,7974.0
2022-05-13,8024.0
2022-05-16,8176.0
2022-05-17,8252.0
2022-05-18,8156.0
2022-05-19,8092.0
2022-05-20,8106.0
2022-05-23,8226.0
2022-05-24,8220.0
2022-05-25,8268.0
2022-05-26,8070.0
2022-05-27,8248.0
2022-05-30,8336.0
2022-05-31,8310.0
2022-06-01,8290.0
2022-06-02,8392.0
2022-06-06,8378.0
2022-06-07,8436.0
2022-06-08,8506.0
2022-06-09,8574.0
2022-06-10,8588.0
2022-06-13,8314.0
2022-06-14,8262.0
2022-06-15,8196.0
2022-06-16,8124.0
2022-06-17,8028.0
2022-06-20,7812.0
2022-06-21,7806.0
2022-06-22,7676.0
2022-06-23,7724.0
2022-06-24,7658.0
2022-06-27,7944.0
2022-06-28,7930.0
2022-06-29,7946.0
2022-06-30,7854.0
2022-07-01,7872.0
2022-07-04,7680.0
2022-07-05,7666.0
2022-07-06,7792.0
2022-07-07,7702.0
2022-07-08,7756.0
2022-07-11,7716.0
2022-07-12,7486.0
2022-07-13,7330.0
2022-07-14,7302.0
2022-07-15,6988.0
2022-07-18,7128.0
2022-07-19,7090.0
2022-07-20,7176.0
2022-07-21,7110.0
2022-07-22,7200.0
2022-07-25,7042.0
2022-07-26,7158.0
2022-07-27,7036.0
2022-07-28,7192.0
2022-07-29,7206.0
2022-08-01,7296.0
2022-08-02,7274.0
2022-08-03,7316.0
2022-08-04,7128.0
2022-08-05,7088.0
2022-08-08,7124.0
2022-08-09,7240.0
2022-08-10,7264.0
2022-08-11,7336.0
2022-08-12,7388.0
2022-08-15,7362.0
2022-08-16,7384.0
2022-08-17,7196.0
2022-08-18,7134.0
2022-08-19,7006.0
2022-08-22,6978.0
2022-08-23,7116.0
2022-08-24,7218.0
2022-08-25,7382.0
2022-08-26,7424.0
2022-08-29,7108.0
2022-08-30,7172.0
2022-08-31,7080.0
2022-09-01,6942.0
2022-09-02,6870.0
2022-09-05,6902.0
2022-09-06,6898.0
2022-09-07,6854.0
2022-09-08,6866.0
2022-09-09,7214.0
2022-09-13,7284.0
2022-09-14,7210.0
2022-09-15,7176.0
2022-09-16,7216.0
2022-09-19,7258.0
2022-09-20,7306.0
2022-09-21,7356.0
2022-09-22,7448.0
2022-09-23,7396.0
2022-09-26,7388.0
2022-09-27,7386.0
2022-09-28,7332.0
2022-09-29,7406.0
2022-09-30,7428.0
2022-10-10,7556.0
2022-10-11,7360.0
2022-10-12,7268.0
2022-10-13,7242.0
2022-10-14,7280.0
2022-10-17,7246.0
2022-10-18,7192.0
2022-10-19,7102.0
2022-10-20,6984.0
2022-10-21,6990.0
2022-10-24,7006.0
2022-10-25,7012.0
2022-10-26,6938.0
2022-10-27,6906.0
2022-10-28,6966.0
2022-10-31,6810.0
2022-11-01,6824.0
2022-11-02,6934.0
2022-11-03,7150.0
2022-11-04,7294.0
2022-11-07,7266.0
2022-11-08,7240.0
2022-11-09,7264.0
2022-11-10,7166.0
2022-11-11,7350.0
2022-11-14,7306.0
2022-11-15,7348.0
2022-11-16,7376.0
2022-11-17,7396.0
2022-11-18,7436.0
2022-11-21,7274.0
2022-11-22,7072.0
2022-11-23,7086.0
2022-11-24,7362.0
2022-11-25,7398.0
2022-11-28,7366.0
2022-11-29,7398.0
2022-11-30,7400.0
2022-12-01,7410.0
2022-12-02,7478.0
2022-12-05,7432.0
2022-12-06,7480.0
2022-12-07,7456.0
2022-12-08,7478.0
2022-12-09,7626.0
2022-12-12,7586.0
2022-12-13,7630.0
2022-12-14,7728.0
2022-12-15,7740.0
2022-12-16,7608.0
2022-12-19,7342.0
2022-12-20,7288.0
2022-12-21,7384.0
2022-12-22,7514.0
2022-12-23,7436.0
2022-12-26,7504.0
2022-12-27,7540.0
2022-12-28,7510.0
2022-12-29,7708.0
2022-12-30,7722.0
2023-01-03,7634.0
2023-01-04,7564.0
2023-01-05,7550.0
2023-01-06,7700.0
2023-01-09,7714.0
2023-01-10,7704.0
