datetime,TA2409
2023-09-15,6280.0
2023-09-18,6240.0
2023-09-19,6236.0
2023-09-20,6220.0
2023-09-21,6128.0
2023-09-22,6180.0
2023-09-25,6130.0
2023-09-26,6034.0
2023-09-27,6068.0
2023-09-28,6084.0
2023-10-09,5856.0
2023-10-10,5784.0
2023-10-11,5748.0
2023-10-12,5702.0
2023-10-13,5712.0
2023-10-16,5752.0
2023-10-17,5710.0
2023-10-18,5730.0
2023-10-19,5708.0
2023-10-20,5714.0
2023-10-23,5666.0
2023-10-24,5790.0
2023-10-25,5774.0
2023-10-26,5808.0
2023-10-27,5830.0
2023-10-30,5876.0
2023-10-31,5886.0
2023-11-01,5858.0
2023-11-02,5832.0
2023-11-03,5902.0
2023-11-06,5832.0
2023-11-07,5792.0
2023-11-08,5782.0
2023-11-09,5768.0
2023-11-10,5790.0
2023-11-13,5772.0
2023-11-14,5836.0
2023-11-15,5862.0
2023-11-16,5952.0
2023-11-17,5938.0
2023-11-20,5950.0
2023-11-21,5768.0
2023-11-22,5738.0
2023-11-23,5738.0
2023-11-24,5742.0
2023-11-27,5658.0
2023-11-28,5632.0
2023-11-29,5630.0
2023-11-30,5762.0
2023-12-01,5672.0
2023-12-04,5652.0
2023-12-05,5664.0
2023-12-06,5688.0
2023-12-07,5662.0
2023-12-08,5716.0
2023-12-11,5714.0
2023-12-12,5732.0
2023-12-13,5574.0
2023-12-14,5544.0
2023-12-15,5650.0
2023-12-18,5702.0
2023-12-19,5700.0
2023-12-20,5808.0
2023-12-21,5864.0
2023-12-22,5878.0
2023-12-25,5856.0
2023-12-26,5846.0
2023-12-27,5924.0
2023-12-28,5942.0
2023-12-29,5888.0
2024-01-02,5898.0
2024-01-03,5838.0
2024-01-04,5856.0
2024-01-05,5860.0
2024-01-08,5734.0
2024-01-09,5668.0
2024-01-10,5698.0
2024-01-11,5690.0
2024-01-12,5732.0
2024-01-15,5702.0
2024-01-16,5746.0
2024-01-17,5734.0
2024-01-18,5744.0
2024-01-19,5808.0
2024-01-22,5834.0
2024-01-23,5880.0
2024-01-24,5910.0
2024-01-25,5896.0
2024-01-26,5938.0
2024-01-29,5924.0
2024-01-30,5920.0
2024-01-31,5870.0
2024-02-01,5780.0
2024-02-02,5758.0
2024-02-05,5760.0
2024-02-06,5790.0
2024-02-07,5804.0
2024-02-08,5808.0
2024-02-19,5900.0
2024-02-20,5844.0
2024-02-21,5840.0
2024-02-22,5870.0
2024-02-23,5840.0
2024-02-26,5794.0
2024-02-27,5864.0
2024-02-28,5870.0
2024-02-29,5884.0
2024-03-01,5856.0
2024-03-04,5870.0
2024-03-05,5802.0
2024-03-06,5838.0
2024-03-07,5820.0
2024-03-08,5832.0
2024-03-11,5806.0
2024-03-12,5814.0
2024-03-13,5832.0
2024-03-14,5920.0
2024-03-15,5962.0
2024-03-18,5978.0
2024-03-19,6006.0
2024-03-20,5976.0
2024-03-21,5888.0
2024-03-22,5910.0
2024-03-25,5914.0
2024-03-26,5906.0
2024-03-27,5940.0
2024-03-28,5976.0
2024-03-29,5978.0
2024-04-01,6054.0
2024-04-02,6086.0
2024-04-03,6090.0
2024-04-08,6054.0
2024-04-09,6026.0
2024-04-10,6032.0
2024-04-11,6006.0
2024-04-12,5976.0
2024-04-15,6014.0
2024-04-16,6062.0
2024-04-17,6070.0
2024-04-18,5980.0
2024-04-19,5980.0
2024-04-22,5970.0
2024-04-23,5960.0
2024-04-24,5964.0
2024-04-25,5912.0
2024-04-26,5936.0
2024-04-29,5934.0
2024-04-30,5908.0
2024-05-06,5854.0
2024-05-07,5858.0
2024-05-08,5826.0
2024-05-09,5820.0
2024-05-10,5816.0
2024-05-13,5776.0
2024-05-14,5766.0
2024-05-15,5792.0
2024-05-16,5834.0
2024-05-17,5858.0
2024-05-20,5926.0
2024-05-21,5916.0
2024-05-22,5896.0
2024-05-23,5884.0
2024-05-24,5922.0
2024-05-27,5944.0
2024-05-28,5918.0
2024-05-29,5954.0
2024-05-30,6024.0
2024-05-31,5990.0
2024-06-03,5910.0
2024-06-04,5848.0
2024-06-05,5866.0
2024-06-06,5864.0
2024-06-07,5888.0
2024-06-11,5946.0
2024-06-12,5962.0
2024-06-13,5946.0
2024-06-14,5938.0
2024-06-17,5862.0
2024-06-18,5880.0
2024-06-19,5942.0
2024-06-20,5946.0
2024-06-21,5922.0
2024-06-24,5942.0
2024-06-25,5988.0
2024-06-26,5964.0
2024-06-27,5956.0
2024-06-28,5998.0
2024-07-01,5982.0
2024-07-02,6000.0
2024-07-03,6096.0
2024-07-04,6016.0
2024-07-05,5972.0
2024-07-08,5944.0
2024-07-09,5918.0
2024-07-10,5894.0
2024-07-11,5924.0
