datetime,V1909
2018-09-17,6510.0
2018-09-18,6535.0
2018-09-19,6555.0
2018-09-20,6570.0
2018-09-21,6630.0
2018-09-25,6645.0
2018-09-26,6565.0
2018-09-27,6600.0
2018-09-28,6610.0
2018-10-08,6625.0
2018-10-09,6745.0
2018-10-10,6775.0
2018-10-11,6655.0
2018-10-12,6635.0
2018-10-15,6595.0
2018-10-16,6520.0
2018-10-17,6530.0
2018-10-18,6470.0
2018-10-19,6415.0
2018-10-22,6450.0
2018-10-23,6480.0
2018-10-24,6460.0
2018-10-25,6400.0
2018-10-26,6415.0
2018-10-29,6385.0
2018-10-30,6345.0
2018-10-31,6335.0
2018-11-01,6300.0
2018-11-02,6300.0
2018-11-05,6265.0
2018-11-06,6230.0
2018-11-07,6215.0
2018-11-08,6210.0
2018-11-09,6190.0
2018-11-12,6200.0
2018-11-13,6200.0
2018-11-14,6210.0
2018-11-15,6245.0
2018-11-16,6280.0
2018-11-19,6290.0
2018-11-20,6220.0
2018-11-21,6230.0
2018-11-22,6195.0
2018-11-23,6135.0
2018-11-26,6190.0
2018-11-27,6145.0
2018-11-28,6210.0
2018-11-29,6200.0
2018-11-30,6225.0
2018-12-03,6305.0
2018-12-04,6370.0
2018-12-05,6370.0
2018-12-06,6310.0
2018-12-07,6360.0
2018-12-10,6250.0
2018-12-11,6200.0
2018-12-12,6230.0
2018-12-13,6240.0
2018-12-14,6230.0
2018-12-17,6285.0
2018-12-18,6370.0
2018-12-19,6425.0
2018-12-20,6370.0
2018-12-21,6380.0
2018-12-24,6390.0
2018-12-25,6310.0
2018-12-26,6370.0
2018-12-27,6370.0
2018-12-28,6360.0
2019-01-02,6290.0
2019-01-03,6270.0
2019-01-04,6340.0
2019-01-07,6360.0
2019-01-08,6350.0
2019-01-09,6335.0
2019-01-10,6315.0
2019-01-11,6330.0
2019-01-14,6330.0
2019-01-15,6315.0
2019-01-16,6355.0
2019-01-17,6390.0
2019-01-18,6430.0
2019-01-21,6440.0
2019-01-22,6485.0
2019-01-23,6485.0
2019-01-24,6465.0
2019-01-25,6465.0
2019-01-28,6425.0
2019-01-29,6415.0
2019-01-30,6475.0
2019-01-31,6480.0
2019-02-01,6490.0
2019-02-11,6470.0
2019-02-12,6460.0
2019-02-13,6375.0
2019-02-14,6420.0
2019-02-15,6370.0
2019-02-18,6360.0
2019-02-19,6385.0
2019-02-20,6395.0
2019-02-21,6410.0
2019-02-22,6430.0
2019-02-25,6425.0
2019-02-26,6465.0
2019-02-27,6435.0
2019-02-28,6405.0
2019-03-01,6470.0
2019-03-04,6490.0
2019-03-05,6490.0
2019-03-06,6535.0
2019-03-07,6545.0
2019-03-08,6535.0
2019-03-11,6500.0
2019-03-12,6510.0
2019-03-13,6510.0
2019-03-14,6495.0
2019-03-15,6440.0
2019-03-18,6305.0
2019-03-19,6295.0
2019-03-20,6280.0
2019-03-21,6315.0
2019-03-22,6405.0
2019-03-25,6435.0
2019-03-26,6435.0
2019-03-27,6490.0
2019-03-28,6510.0
2019-03-29,6545.0
2019-04-01,6545.0
2019-04-02,6530.0
2019-04-03,6700.0
2019-04-04,6720.0
2019-04-08,6870.0
2019-04-09,6830.0
2019-04-10,6835.0
2019-04-11,6890.0
2019-04-12,6810.0
2019-04-15,6795.0
2019-04-16,6810.0
2019-04-17,6810.0
2019-04-18,6755.0
2019-04-19,6785.0
2019-04-23,6815.0
2019-04-24,6960.0
2019-04-25,6935.0
2019-04-26,6935.0
2019-04-29,6920.0
2019-04-30,7025.0
2019-05-06,7110.0
2019-05-07,7100.0
2019-05-08,7055.0
2019-05-09,6940.0
2019-05-10,6975.0
2019-05-13,6870.0
2019-05-14,6845.0
2019-05-15,6920.0
2019-05-16,6965.0
2019-05-17,6875.0
2019-05-20,6860.0
2019-05-21,6945.0
2019-05-22,6910.0
2019-05-23,6830.0
2019-05-24,6845.0
2019-05-27,6780.0
2019-05-28,6825.0
2019-05-29,6845.0
2019-05-30,6850.0
2019-05-31,6790.0
2019-06-03,6760.0
2019-06-04,6655.0
2019-06-05,6595.0
2019-06-06,6645.0
2019-06-10,6610.0
2019-06-11,6680.0
2019-06-12,6645.0
2019-06-13,6690.0
2019-06-14,6660.0
2019-06-17,6660.0
2019-06-18,6655.0
2019-06-19,6750.0
2019-06-20,6790.0
2019-06-21,6785.0
2019-06-24,6875.0
2019-06-25,6845.0
2019-06-26,6885.0
2019-06-27,6815.0
2019-06-28,6770.0
2019-07-01,6860.0
2019-07-02,6930.0
2019-07-03,6915.0
2019-07-04,6945.0
2019-07-05,6900.0
2019-07-08,6890.0
2019-07-09,6865.0
2019-07-10,6855.0
2019-07-11,6890.0
2019-07-12,6805.0
2019-07-15,6865.0
2019-07-16,6825.0
2019-07-17,6855.0
2019-07-18,6830.0
2019-07-19,6810.0
2019-07-22,6855.0
2019-07-23,6875.0
2019-07-24,6855.0
2019-07-25,6810.0
2019-07-26,6810.0
2019-07-29,6790.0
2019-07-30,6810.0
2019-07-31,6760.0
2019-08-01,6805.0
2019-08-02,6720.0
2019-08-05,6685.0
2019-08-06,6650.0
2019-08-07,6685.0
2019-08-08,6735.0
2019-08-09,6840.0
2019-08-12,6815.0
2019-08-13,6790.0
2019-08-14,6805.0
2019-08-15,6835.0
2019-08-16,6830.0
2019-08-19,6865.0
2019-08-20,6860.0
2019-08-21,6855.0
2019-08-22,6810.0
2019-08-23,6710.0
2019-08-26,6685.0
2019-08-27,6695.0
2019-08-28,6700.0
2019-08-29,6680.0
2019-08-30,6700.0
2019-09-02,6685.0
2019-09-03,6700.0
2019-09-04,6700.0
2019-09-05,6690.0
2019-09-06,6700.0
2019-09-09,6700.0
2019-09-10,6695.0
2019-09-11,6690.0
2019-09-12,6650.0
2019-09-16,6705.0
