序号,方向,开仓日,平仓日,开仓价,平仓价,收益%,持仓K线,累计净值
1,空,2013-04-11,2013-05-09,1416.0,1397.0,1.36,17,1.0136
2,多,2013-06-06,2013-06-20,1429.0,1391.0,-2.66,7,0.9866
3,空,2013-07-09,2013-08-09,1375.0,1398.0,-1.65,23,0.9704
4,空,2013-11-18,2013-11-27,1296.0,1319.0,-1.74,6,0.9535
5,空,2014-05-06,2014-07-03,1224.0,1080.0,13.33,41,1.0806
6,空,2014-07-10,2014-07-31,997.0,1029.0,-3.11,15,1.047
7,多,2015-03-23,2015-04-07,955.0,920.0,-3.66,10,1.0086
8,多,2015-05-29,2015-06-18,943.0,930.0,-1.38,14,0.9947
9,空,2015-09-24,2015-10-21,820.0,858.0,-4.43,13,0.9507
10,多,2015-11-25,2015-12-04,906.0,809.0,-10.71,7,0.8489
11,多,2016-02-04,2016-03-23,865.0,934.0,7.98,29,0.9166
12,多,2016-04-08,2016-05-05,966.0,957.0,-0.93,18,0.9081
13,多,2016-06-27,2016-08-31,1051.0,1164.0,10.75,47,1.0057
14,多,2016-11-22,2016-12-06,1285.0,1204.0,-6.3,10,0.9423
15,多,2016-12-12,2016-12-23,1331.0,1248.0,-6.24,9,0.8836
16,空,2017-04-13,2017-04-24,1237.0,1308.0,-5.43,7,0.8356
17,多,2017-06-29,2017-09-04,1357.0,1395.0,2.8,47,0.859
18,空,2017-10-26,2017-11-03,1333.0,1354.0,-1.55,6,0.8457
19,多,2017-12-22,2018-01-04,1512.0,1471.0,-2.71,8,0.8227
20,多,2018-01-09,2018-01-17,1507.0,1475.0,-2.12,6,0.8053
21,空,2018-05-11,2018-05-23,1351.0,1377.0,-1.89,8,0.7901
22,多,2018-07-12,2018-08-07,1487.0,1468.0,-1.28,18,0.78
23,空,2018-10-16,2018-11-29,1318.0,1309.0,0.69,32,0.7853
24,空,2018-12-13,2019-01-07,1283.0,1316.0,-2.51,15,0.7656
25,多,2019-06-11,2019-07-12,1463.0,1485.0,1.5,23,0.7772
26,多,2019-09-27,2019-11-13,1445.0,1480.0,2.42,28,0.796
27,空,2020-03-04,2020-05-06,1392.0,1297.0,7.32,41,0.8543
28,多,2020-07-02,2020-08-25,1497.0,1708.0,14.09,38,0.9747
29,多,2020-12-07,2020-12-28,1945.0,1851.0,-4.83,15,0.9276
30,多,2021-03-29,2021-06-04,2125.0,2683.0,26.26,45,1.1712
31,多,2021-06-25,2021-07-28,2842.0,2848.0,0.21,23,1.1736
32,空,2021-09-09,2021-10-15,2540.0,2367.0,7.31,19,1.2594
33,空,2021-10-22,2021-11-26,2062.0,1795.0,14.87,25,1.4467
34,空,2021-12-24,2022-01-10,1751.0,1894.0,-7.55,10,1.3375
35,多,2022-04-19,2022-04-26,2081.0,1834.0,-11.87,5,1.1788
36,空,2022-06-15,2022-08-04,1689.0,1550.0,8.97,36,1.2845
37,空,2022-08-18,2022-09-13,1461.0,1513.0,-3.44,17,1.2403
38,多,2023-01-20,2023-02-01,1746.0,1598.0,-8.48,3,1.1352
39,多,2023-04-14,2023-05-10,1704.0,1696.0,-0.47,15,1.1298
40,空,2023-06-26,2023-07-06,1492.0,1567.0,-4.79,8,1.0758
41,多,2023-12-29,2024-01-10,1913.0,1767.0,-7.63,7,0.9937
42,空,2024-02-02,2024-02-08,1765.0,1811.0,-2.54,4,0.9684
43,空,2024-09-03,2024-09-27,1143.0,1206.0,-5.22,16,0.9178
44,空,2025-04-10,2025-06-23,1169.0,1007.0,16.09,48,1.0655
45,多,2025-08-14,2025-09-03,1220.0,1135.0,-6.97,14,0.9913
46,空,2025-11-10,2025-12-18,1069.0,1062.0,0.66,28,0.9978
47,空,2026-06-05,2026-06-18,1010.0,978.0,3.27,9,1.0304
