direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars,pnl%
short,2023-09-08 11:00:00,2023-09-11 09:30:00,1845.5596,1853.2904,-0.004171391596265783,18,-0.42
long,2023-09-12 14:15:00,2023-09-12 21:45:00,1865.4882,1851.8522,-0.007309614716405011,6,-0.73
short,2023-09-14 21:30:00,2023-09-14 22:45:00,1817.894,1829.7405,-0.006474415361085395,5,-0.65
short,2023-09-18 09:30:00,2023-09-18 11:00:00,1804.5257,1820.3857,-0.00871243934733179,5,-0.87
long,2023-09-19 11:15:00,2023-09-20 10:00:00,1860.91,1850.7796,-0.005443788254133719,19,-0.54
short,2023-09-21 14:00:00,2023-09-21 21:45:00,1821.8776,1829.1537,-0.00397785052180144,7,-0.4
short,2023-09-26 14:30:00,2023-09-27 10:00:00,1781.6869,1788.0947,-0.0035835909585774095,14,-0.36
short,2023-10-11 13:45:00,2023-10-11 21:45:00,1761.5765,1779.0464,-0.0098198113326331,8,-0.98
short,2023-10-13 21:45:00,2023-10-16 14:45:00,1748.8574,1748.6791,0.00010196267571327411,19,0.01
short,2023-10-17 09:15:00,2023-10-17 11:00:00,1735.5941,1755.1662,-0.0111511377099216,6,-1.12
long,2023-10-17 22:15:00,2023-10-18 09:45:00,1756.1933,1747.1654,-0.005140607244088602,6,-0.51
long,2023-10-18 10:15:00,2023-10-18 14:00:00,1772.7576,1751.0141,-0.012265354270657114,6,-1.23
long,2023-10-18 21:45:00,2023-10-19 21:45:00,1761.8073,1766.2939,0.0025465895163450103,23,0.25
short,2023-10-23 09:15:00,2023-10-23 22:30:00,1718.1158,1720.1032,-0.001155395792531544,20,-0.12
short,2023-10-24 13:45:00,2023-10-24 22:45:00,1706.1095,1716.1317,-0.005839994681060778,12,-0.58
short,2023-10-25 11:30:00,2023-10-26 14:15:00,1709.1598,1692.4577,0.009868547970209196,26,0.99
short,2023-10-27 09:30:00,2023-10-27 15:00:00,1676.5079,1696.9907,-0.0120700720398762,13,-1.21
short,2023-10-27 22:00:00,2023-10-30 09:45:00,1686.1433,1696.4114,-0.0060528360042853,7,-0.61
long,2023-10-30 21:15:00,2023-10-31 11:15:00,1709.9948,1693.8447,-0.00944453164418968,15,-0.94
long,2023-10-31 14:00:00,2023-10-31 21:45:00,1706.6703,1694.0,-0.007423988101275314,7,-0.74
short,2023-11-09 10:45:00,2023-11-09 14:00:00,1673.8028,1683.7248,-0.005892887008613346,5,-0.59
long,2023-11-10 22:15:00,2023-11-13 09:45:00,1761.5492,1728.4751,-0.018775575499111685,6,-1.88
long,2023-11-16 15:00:00,2023-11-17 10:00:00,1705.1472,1703.1825,-0.0011522172396613017,12,-0.12
long,2023-11-17 11:30:00,2023-11-21 14:15:00,1718.1599,1747.0325,0.016804373097055736,49,1.68
long,2023-11-27 15:00:00,2023-11-28 11:00:00,1746.1428,1742.0935,-0.002318997048809557,15,-0.23
long,2023-11-30 14:00:00,2023-12-04 10:45:00,1785.0714,1888.0797,0.05770542287552183,41,5.77
short,2023-12-11 21:45:00,2023-12-12 10:15:00,1832.0458,1841.283,-0.00501671932016956,10,-0.5
short,2023-12-12 21:15:00,2023-12-13 21:30:00,1810.3604,1794.5638,0.008802473336417593,24,0.88
long,2023-12-21 09:15:00,2023-12-22 21:45:00,1791.0083,1832.3269,0.023070021506879757,40,2.31
short,2023-12-25 21:45:00,2023-12-26 10:15:00,1801.4368,1816.5232,-0.008305096240994958,10,-0.83
short,2023-12-26 21:30:00,2023-12-26 22:15:00,1809.0692,1817.8022,-0.0048041530591173,3,-0.48
long,2023-12-27 14:30:00,2023-12-27 22:15:00,1818.384,1810.1169,-0.004546399440382265,7,-0.45
long,2023-12-28 21:45:00,2023-12-29 10:45:00,1829.4298,1817.089,-0.006745708416906693,11,-0.67
long,2023-12-29 11:30:00,2024-01-02 10:00:00,1836.4826,1818.8616,-0.009594972476189012,10,-0.96
long,2024-01-02 14:00:00,2024-01-04 09:45:00,1835.9952,1877.6472,0.022686333820480575,38,2.27
short,2024-01-04 22:45:00,2024-01-05 21:45:00,1848.3905,1859.8721,-0.006173327725062405,19,-0.62
short,2024-01-08 09:30:00,2024-01-08 21:45:00,1825.239,1841.1395,-0.008636227727448098,16,-0.86
short,2024-01-10 11:30:00,2024-01-11 13:45:00,1819.4764,1776.8574,0.023985605147604838,24,2.4
short,2024-01-11 22:00:00,2024-01-12 11:30:00,1760.4499,1766.388,-0.0033617189428369887,13,-0.34
short,2024-01-12 15:00:00,2024-01-15 11:30:00,1735.9562,1737.0,-0.0006009211283821703,17,-0.06
short,2024-01-15 15:00:00,2024-01-15 21:45:00,1722.9593,1737.9332,-0.008615923788094948,3,-0.86
long,2024-01-19 11:15:00,2024-01-23 22:45:00,1769.9141,1820.9614,0.028841682203673003,60,2.88
long,2024-01-24 11:15:00,2024-01-25 09:45:00,1840.0243,1853.1825,0.007151101211000155,18,0.72
long,2024-01-25 13:45:00,2024-01-25 21:30:00,1871.5064,1862.8157,-0.004643692375297159,7,-0.46
short,2024-01-31 09:30:00,2024-01-31 11:00:00,1853.1338,1870.2928,-0.009174499308343576,5,-0.92
short,2024-01-31 21:30:00,2024-02-02 22:45:00,1846.0225,1817.1681,0.01587877313056496,51,1.59
long,2024-02-06 22:15:00,2024-02-07 11:15:00,1829.8991,1823.8356,-0.0033135706772029483,11,-0.33
