排名,品种,ATR总收益%,ATR夏普,ATR盈亏比,ATR回撤%,MA20总收益%,MA20夏普
1,CU0,377.7,0.73,2.79,-23.6,941.8,0.79
2,RU0,254.2,0.52,2.05,-39.7,407.9,0.51
3,TA0,111.6,0.44,1.87,-24.2,105.0,0.32
4,FG0,108.9,0.54,2.13,-21.7,-12.3,0.01
5,CF0,93.9,0.45,1.95,-19.1,165.1,0.45
6,AU0,80.0,0.52,1.94,-9.9,96.9,0.4
7,AG0,79.1,0.51,2.2,-14.3,191.8,0.54
8,JM0,70.2,0.35,1.61,-36.6,136.5,0.41
9,BU0,65.9,0.38,1.72,-26.9,-6.6,0.06
10,SN0,52.3,0.37,1.57,-19.5,110.0,0.45
11,ZN0,47.8,0.27,1.57,-27.4,33.8,0.18
12,RB0,38.9,0.25,1.51,-28.8,20.0,0.15
13,L0,35.4,0.24,1.44,-31.9,40.8,0.2
14,SM0,23.3,0.22,1.55,-22.7,-26.5,-0.07
15,SF0,23.1,0.22,1.5,-33.6,77.3,0.39
16,OI0,17.1,0.14,1.28,-23.4,19.0,0.14
17,AL0,9.8,0.1,1.24,-21.0,57.0,0.25
18,SS0,7.3,0.17,1.39,-16.1,6.0,0.13
19,SC0,6.2,0.12,1.28,-25.9,-24.5,-0.04
20,Y0,5.9,0.08,1.2,-43.0,-7.7,0.03
21,CS0,5.3,0.1,1.24,-30.4,-6.6,-0.0
22,SR0,4.0,0.06,1.19,-34.8,-28.3,-0.1
23,V0,2.6,0.06,1.23,-24.0,-14.1,-0.0
24,IH0,-1.9,0.01,1.12,-18.5,-14.0,-0.08
25,IC0,-2.7,0.01,1.13,-16.3,-30.3,-0.22
26,TF0,-3.5,-0.43,0.93,-4.3,-3.4,-0.31
27,T0,-4.4,-0.36,0.83,-6.3,-6.8,-0.45
28,IM0,-10.0,-0.29,0.84,-21.8,-13.7,-0.2
29,EG0,-10.9,-0.17,0.81,-24.7,-7.3,-0.02
30,MA0,-11.2,-0.04,1.04,-27.9,26.6,0.21
31,PP0,-15.2,-0.13,0.95,-27.2,-16.4,-0.05
32,RM0,-18.2,-0.09,0.95,-32.4,-23.4,-0.08
33,HC0,-20.2,-0.12,0.95,-41.3,18.2,0.17
34,PB0,-26.2,-0.27,0.78,-34.1,-17.8,-0.07
35,IF0,-29.0,-0.42,0.71,-34.3,-19.9,-0.14
36,C0,-30.1,-0.15,0.92,-52.1,-5.0,0.04
37,I0,-32.8,-0.13,0.95,-57.6,-77.5,-0.49
38,FU0,-35.3,-0.12,0.93,-59.6,-40.8,-0.03
39,AP0,-38.7,-0.35,0.6,-44.8,-20.3,-0.0
40,M0,-40.4,-0.18,0.87,-53.6,-47.1,-0.14
41,P0,-45.7,-0.25,0.79,-61.0,-15.8,0.01
42,NI0,-47.3,-0.37,0.71,-54.9,-48.4,-0.17
43,A0,-58.2,-0.27,0.7,-61.8,-57.7,-0.18
44,JD0,-77.8,-0.54,0.49,-77.8,-90.8,-0.76
