品种,MA20总收益%,ATR总收益%,收益改善%,MA20夏普,ATR夏普,夏普改善,MA20回撤%,ATR回撤%,MA20盈亏比,ATR盈亏比
FG0,-12.3,108.9,121.2,0.01,0.54,0.53,-46.4,-21.7,1.13,2.13
I0,-77.5,-32.8,44.7,-0.49,-0.13,0.36,-84.4,-57.6,0.45,0.95
BU0,-6.6,65.9,72.5,0.06,0.38,0.32,-46.3,-26.9,1.22,1.72
SM0,-26.5,23.3,49.7,-0.07,0.22,0.29,-47.6,-22.7,1.03,1.55
IC0,-30.3,-2.7,27.6,-0.22,0.01,0.23,-36.6,-16.3,0.8,1.13
JD0,-90.8,-77.8,13.0,-0.76,-0.54,0.22,-91.1,-77.8,0.15,0.49
SR0,-28.3,4.0,32.3,-0.1,0.06,0.17,-53.5,-34.8,0.97,1.19
SC0,-24.5,6.2,30.7,-0.04,0.12,0.16,-48.8,-25.9,1.03,1.28
AU0,96.9,80.0,-16.9,0.4,0.52,0.13,-19.3,-9.9,1.99,1.94
TA0,105.0,111.6,6.6,0.32,0.44,0.12,-26.5,-24.2,1.84,1.87
RB0,20.0,38.9,19.0,0.15,0.25,0.1,-48.6,-28.8,1.44,1.51
CS0,-6.6,5.3,11.9,-0.0,0.1,0.1,-38.1,-30.4,1.17,1.24
ZN0,33.8,47.8,14.0,0.18,0.27,0.09,-47.8,-27.4,1.5,1.57
IH0,-14.0,-1.9,12.0,-0.08,0.01,0.09,-28.2,-18.5,0.97,1.12
T0,-6.8,-4.4,2.4,-0.45,-0.36,0.08,-8.0,-6.3,0.57,0.83
V0,-14.1,2.6,16.7,-0.0,0.06,0.06,-38.7,-24.0,1.08,1.23
Y0,-7.7,5.9,13.6,0.03,0.08,0.05,-39.3,-43.0,1.14,1.2
L0,40.8,35.4,-5.4,0.2,0.24,0.03,-48.5,-31.9,1.73,1.44
SS0,6.0,7.3,1.3,0.13,0.17,0.03,-21.7,-16.1,1.39,1.39
RU0,407.9,254.2,-153.8,0.51,0.52,0.01,-38.0,-39.7,2.69,2.05
OI0,19.0,17.1,-2.0,0.14,0.14,-0.0,-34.8,-23.4,1.33,1.28
CF0,165.1,93.9,-71.3,0.45,0.45,-0.0,-22.7,-19.1,2.45,1.95
RM0,-23.4,-18.2,5.2,-0.08,-0.09,-0.01,-35.5,-32.4,0.95,0.95
AG0,191.8,79.1,-112.7,0.54,0.51,-0.03,-35.2,-14.3,2.8,2.2
M0,-47.1,-40.4,6.7,-0.14,-0.18,-0.04,-60.7,-53.6,0.92,0.87
CU0,941.8,377.7,-564.0,0.79,0.73,-0.06,-25.6,-23.6,3.73,2.79
JM0,136.5,70.2,-66.3,0.41,0.35,-0.06,-48.1,-36.6,2.17,1.61
PP0,-16.4,-15.2,1.2,-0.05,-0.13,-0.08,-41.1,-27.2,1.02,0.95
SN0,110.0,52.3,-57.7,0.45,0.37,-0.08,-34.9,-19.5,2.13,1.57
A0,-57.7,-58.2,-0.5,-0.18,-0.27,-0.09,-65.2,-61.8,0.81,0.7
IM0,-13.7,-10.0,3.7,-0.2,-0.29,-0.09,-41.2,-21.8,0.86,0.84
FU0,-40.8,-35.3,5.5,-0.03,-0.12,-0.09,-80.4,-59.6,1.14,0.93
TF0,-3.4,-3.5,-0.1,-0.31,-0.43,-0.12,-5.0,-4.3,0.84,0.93
EG0,-7.3,-10.9,-3.6,-0.02,-0.17,-0.15,-38.6,-24.7,1.12,0.81
AL0,57.0,9.8,-47.1,0.25,0.1,-0.15,-31.5,-21.0,1.61,1.24
SF0,77.3,23.1,-54.2,0.39,0.22,-0.17,-42.8,-33.6,2.23,1.5
C0,-5.0,-30.1,-25.1,0.04,-0.15,-0.19,-51.6,-52.1,1.24,0.92
NI0,-48.4,-47.3,1.1,-0.17,-0.37,-0.2,-66.7,-54.9,0.79,0.71
PB0,-17.8,-26.2,-8.4,-0.07,-0.27,-0.2,-41.7,-34.1,0.98,0.78
MA0,26.6,-11.2,-37.7,0.21,-0.04,-0.25,-38.8,-27.9,1.45,1.04
P0,-15.8,-45.7,-29.9,0.01,-0.25,-0.27,-45.3,-61.0,1.14,0.79
HC0,18.2,-20.2,-38.4,0.17,-0.12,-0.29,-48.3,-41.3,1.42,0.95
IF0,-19.9,-29.0,-9.1,-0.14,-0.42,-0.29,-40.1,-34.3,0.93,0.71
AP0,-20.3,-38.7,-18.4,-0.0,-0.35,-0.35,-58.5,-44.8,1.04,0.6
