品种,最优出场,夏普,总收益%
A0,DIF穿0轴,-0.1,-47.0
AG0,收盘<MA10,0.77,283.0
AL0,收盘<MA20,0.28,63.0
AP0,连续3根<MA20(原版),-0.0,-20.0
AU0,ATR止损k=2,0.52,80.0
BU0,LON转向,0.51,107.0
C0,连续3根<MA10,0.07,3.0
CF0,收盘<MA10,0.5,145.0
CS0,MACD柱转向,0.22,13.0
CU0,MACD死叉,0.89,854.0
EG0,MACD柱转向,0.37,20.0
FG0,ATR止损k=2,0.54,109.0
FU0,LON穿0轴,0.16,18.0
HC0,连续3根<MA20(原版),0.17,18.0
I0,MACD死叉,-0.04,-20.0
IC0,LON转向,0.17,11.0
IF0,收盘<MA60,0.15,10.0
IH0,MACD柱转向,0.04,1.0
IM0,MACD死叉,0.2,7.0
JD0,MACD柱转向,-0.49,-67.0
JM0,MACD死叉,0.56,222.0
L0,连续3根<MA10,0.4,118.0
M0,收盘<MA20,-0.07,-30.0
MA0,收盘<MA20,0.33,58.0
NI0,LON穿0轴,-0.05,-39.0
OI0,LON穿0轴,0.32,103.0
P0,连续3根<MA20(原版),0.01,-16.0
PB0,MACD死叉,0.05,0.0
PP0,MACD死叉,0.11,8.0
RB0,LON转向,0.33,56.0
RM0,收盘<MA20,-0.0,-10.0
RU0,连续3根<MA10,0.54,413.0
SC0,LON转向,0.24,22.0
SF0,LON转向,0.43,60.0
SM0,LON转向,0.28,31.0
SN0,DIF穿0轴,0.74,333.0
SR0,MACD柱转向,0.25,26.0
SS0,收盘<MA20,0.24,14.0
T0,DIF穿0轴,-0.1,-2.0
TA0,MACD柱转向,0.61,161.0
TF0,LON穿0轴,0.09,1.0
V0,MACD柱转向,0.45,58.0
Y0,收盘<MA10,0.18,26.0
ZN0,LON穿0轴,0.33,122.0
