出场方式,组合年化%,组合夏普,组合回撤%,品种夏普中位,盈利品种%,平均交易/品种,玻璃夏普
连续3根<MA10,2.6,0.49,-13.2,0.08,52.0,69.0,0.28
MACD死叉,2.3,0.48,-10.6,0.05,50.0,84.0,0.41
DIF<DEA(状态),2.3,0.48,-10.6,0.05,50.0,84.0,0.41
ATR止损k=2,1.4,0.39,-10.1,0.06,52.0,75.0,0.54
连续3根<MA20(原版) ★原版,2.3,0.38,-16.3,0.0,39.0,58.0,0.01
收盘<MA10,1.6,0.36,-13.0,0.03,45.0,80.0,0.32
收盘<MA20,1.8,0.34,-14.5,0.04,48.0,69.0,0.11
DIF穿0轴,1.7,0.27,-20.4,0.01,36.0,43.0,0.01
LON穿0轴,1.6,0.25,-24.7,0.02,34.0,37.0,0.03
LON转向,0.7,0.23,-8.7,0.05,50.0,83.0,0.24
收盘<MA60,1.3,0.21,-24.1,-0.01,36.0,44.0,-0.12
MACD柱转向,0.2,0.1,-7.2,-0.02,43.0,84.0,0.07
