买点,卖点,IS夏普,OOS夏普,全程总收益%
LON上+金叉+0轴上,连3<MA20,0.424,0.256,60.0
LON上+金叉+0轴上,连3<MA10,0.505,0.452,70.0
LON上+金叉+0轴上,收<MA10,0.392,0.283,38.0
LON上+金叉+0轴上,收<MA20,0.339,0.367,46.0
LON上+金叉+0轴上,收<MA60,0.181,0.309,30.0
LON上+金叉+0轴上,MACD死叉,0.509,0.405,60.0
LON上+金叉+0轴上,MACD柱转向,0.071,0.189,4.0
LON上+金叉+0轴上,DIF穿0,0.273,0.283,43.0
LON上+金叉+0轴上,DIF<DEA,0.509,0.405,60.0
LON上+金叉+0轴上,LON穿0,0.313,0.033,41.0
LON上+金叉+0轴上,LON转向,0.195,0.347,16.0
LON上+金叉+0轴上,ATRk2,0.402,0.354,35.0
LON上+金叉+0轴下,连3<MA20,0.146,-0.391,2.0
LON上+金叉+0轴下,连3<MA10,0.058,-0.829,-4.0
LON上+金叉+0轴下,收<MA10,-0.195,-0.603,-8.0
LON上+金叉+0轴下,收<MA20,-0.235,-0.821,-12.0
LON上+金叉+0轴下,收<MA60,-0.319,-0.769,-14.0
LON上+金叉+0轴下,MACD死叉,-0.085,-0.697,-9.0
LON上+金叉+0轴下,MACD柱转向,-0.482,-0.384,-12.0
LON上+金叉+0轴下,DIF穿0,0.116,-0.205,2.0
LON上+金叉+0轴下,DIF<DEA,-0.085,-0.697,-9.0
LON上+金叉+0轴下,LON穿0,0.362,-0.386,17.0
LON上+金叉+0轴下,LON转向,0.047,-0.185,0.0
LON上+金叉+0轴下,ATRk2,-0.268,-0.745,-12.0
LON上+金叉+不限,连3<MA20,0.414,0.042,56.0
LON上+金叉+不限,连3<MA10,0.499,0.23,68.0
LON上+金叉+不限,收<MA10,0.291,0.123,26.0
LON上+金叉+不限,收<MA20,0.243,0.197,30.0
LON上+金叉+不限,收<MA60,0.135,0.212,20.0
LON上+金叉+不限,MACD死叉,0.392,0.163,45.0
LON上+金叉+不限,MACD柱转向,-0.218,0.047,-10.0
LON上+金叉+不限,DIF穿0,0.304,0.038,37.0
LON上+金叉+不限,DIF<DEA,0.392,0.163,45.0
LON上+金叉+不限,LON穿0,0.33,-0.078,41.0
LON上+金叉+不限,LON转向,0.183,0.297,16.0
LON上+金叉+不限,ATRk2,0.216,0.125,17.0
LON上+死叉+0轴上,连3<MA20,0.39,0.081,41.0
LON上+死叉+0轴上,连3<MA10,0.079,0.226,7.0
LON上+死叉+0轴上,收<MA10,0.233,-0.063,8.0
LON上+死叉+0轴上,收<MA20,0.166,-0.134,7.0
LON上+死叉+0轴上,收<MA60,0.332,0.056,46.0
LON上+死叉+0轴上,MACD死叉,0.344,-0.457,19.0
LON上+死叉+0轴上,MACD柱转向,0.286,-0.262,5.0
LON上+死叉+0轴上,DIF穿0,0.416,0.195,73.0
LON上+死叉+0轴上,DIF<DEA,0.119,-0.518,-1.0
LON上+死叉+0轴上,LON穿0,0.502,0.055,89.0
LON上+死叉+0轴上,LON转向,0.277,0.161,11.0
LON上+死叉+0轴上,ATRk2,0.336,0.088,30.0
LON上+死叉+0轴下,连3<MA20,0.219,-1.349,6.0
LON上+死叉+0轴下,连3<MA10,0.315,-1.089,6.0
LON上+死叉+0轴下,收<MA10,0.484,-1.414,10.0
LON上+死叉+0轴下,收<MA20,0.285,-1.318,6.0
LON上+死叉+0轴下,收<MA60,0.39,-1.45,7.0
LON上+死叉+0轴下,MACD死叉,0.142,-0.091,4.0
LON上+死叉+0轴下,MACD柱转向,0.417,-1.362,8.0
LON上+死叉+0轴下,DIF穿0,0.102,0.322,8.0
LON上+死叉+0轴下,DIF<DEA,0.376,-1.309,7.0
LON上+死叉+0轴下,LON穿0,0.24,-0.168,10.0
LON上+死叉+0轴下,LON转向,0.46,-1.353,9.0
LON上+死叉+0轴下,ATRk2,0.136,-0.182,4.0
LON上+死叉+不限,连3<MA20,0.439,0.005,50.0
LON上+死叉+不限,连3<MA10,0.223,0.146,16.0
LON上+死叉+不限,收<MA10,0.444,-0.237,21.0
LON上+死叉+不限,收<MA20,0.255,-0.235,13.0
LON上+死叉+不限,收<MA60,0.371,0.037,54.0
LON上+死叉+不限,MACD死叉,0.289,-0.192,22.0
LON上+死叉+不限,MACD柱转向,0.459,-0.507,15.0
LON上+死叉+不限,DIF穿0,0.544,0.421,117.0
LON上+死叉+不限,DIF<DEA,0.397,-0.73,12.0
LON上+死叉+不限,LON穿0,0.53,0.037,101.0
LON上+死叉+不限,LON转向,0.47,-0.035,23.0
LON上+死叉+不限,ATRk2,0.455,0.094,47.0
LON下+金叉+0轴上,连3<MA20,-0.144,0.379,-3.0
LON下+金叉+0轴上,连3<MA10,-0.297,0.375,-8.0
LON下+金叉+0轴上,收<MA10,-0.318,0.323,-7.0
LON下+金叉+0轴上,收<MA20,-0.153,0.417,-2.0
LON下+金叉+0轴上,收<MA60,-0.262,0.053,-10.0
LON下+金叉+0轴上,MACD死叉,-0.253,0.533,-5.0
LON下+金叉+0轴上,MACD柱转向,-0.509,0.102,-11.0
LON下+金叉+0轴上,DIF穿0,-0.078,0.425,-0.0
LON下+金叉+0轴上,DIF<DEA,-0.253,0.533,-5.0
LON下+金叉+0轴上,LON穿0,-0.088,0.249,-4.0
LON下+金叉+0轴上,LON转向,-0.289,0.439,-7.0
LON下+金叉+0轴上,ATRk2,-0.332,0.316,-10.0
LON下+金叉+0轴下,连3<MA20,-0.024,0.077,-2.0
LON下+金叉+0轴下,连3<MA10,-0.067,0.202,-4.0
LON下+金叉+0轴下,收<MA10,-0.435,-0.321,-33.0
LON下+金叉+0轴下,收<MA20,-0.121,-0.155,-10.0
LON下+金叉+0轴下,收<MA60,-0.454,-0.42,-22.0
LON下+金叉+0轴下,MACD死叉,-0.264,-0.03,-622.0
LON下+金叉+0轴下,MACD柱转向,-0.678,-0.157,-37.0
LON下+金叉+0轴下,DIF穿0,-0.263,-0.391,-578.0
LON下+金叉+0轴下,DIF<DEA,-0.264,-0.03,-622.0
LON下+金叉+0轴下,LON穿0,-0.257,0.302,-811.0
LON下+金叉+0轴下,LON转向,-0.095,0.039,-9.0
LON下+金叉+0轴下,ATRk2,-0.269,-0.32,-549.0
