MACD,LON,MA,离场根,IS夏普均值,OOS夏普均值,IS夏普中位,OOS夏普中位,OOS盈利品种%
"(12, 26, 9)","(10, 20)",10,2,0.115,-0.094,0.157,-0.116,41.0
"(12, 26, 9)","(10, 20)",10,3,0.098,-0.076,0.111,-0.196,43.0
"(12, 26, 9)","(10, 20)",10,4,0.118,-0.098,0.066,-0.113,43.0
"(12, 26, 9)","(10, 20)",20,2,0.105,-0.111,0.103,-0.097,36.0
"(12, 26, 9)","(10, 20)",20,3,0.097,-0.114,0.08,-0.139,36.0
"(12, 26, 9)","(10, 20)",20,4,0.103,-0.133,0.062,-0.052,43.0
"(12, 26, 9)","(10, 20)",30,2,0.098,-0.127,0.073,-0.099,34.0
"(12, 26, 9)","(10, 20)",30,3,0.097,-0.108,0.111,-0.075,43.0
"(12, 26, 9)","(10, 20)",30,4,0.073,-0.089,0.05,-0.05,41.0
"(12, 26, 9)","(10, 20)",40,2,0.097,-0.095,0.081,-0.066,39.0
"(12, 26, 9)","(10, 20)",40,3,0.073,-0.108,0.074,-0.132,41.0
"(12, 26, 9)","(10, 20)",40,4,0.075,-0.095,0.067,-0.126,43.0
"(12, 26, 9)","(5, 15)",10,2,0.127,-0.114,0.119,-0.135,43.0
"(12, 26, 9)","(5, 15)",10,3,0.108,-0.096,0.082,-0.178,43.0
"(12, 26, 9)","(5, 15)",10,4,0.126,-0.106,0.076,-0.096,43.0
"(12, 26, 9)","(5, 15)",20,2,0.115,-0.133,0.096,-0.093,36.0
"(12, 26, 9)","(5, 15)",20,3,0.113,-0.127,0.075,-0.075,39.0
"(12, 26, 9)","(5, 15)",20,4,0.122,-0.15,0.085,-0.101,43.0
"(12, 26, 9)","(5, 15)",30,2,0.117,-0.142,0.134,-0.135,30.0
"(12, 26, 9)","(5, 15)",30,3,0.115,-0.118,0.11,-0.089,39.0
"(12, 26, 9)","(5, 15)",30,4,0.088,-0.094,0.078,-0.021,48.0
"(12, 26, 9)","(5, 15)",40,2,0.114,-0.106,0.121,-0.092,34.0
"(12, 26, 9)","(5, 15)",40,3,0.088,-0.104,0.098,-0.097,39.0
"(12, 26, 9)","(5, 15)",40,4,0.09,-0.091,0.097,-0.022,48.0
"(12, 26, 9)","(13, 34)",10,2,0.109,-0.065,0.089,-0.075,43.0
"(12, 26, 9)","(13, 34)",10,3,0.096,-0.058,0.066,-0.192,43.0
"(12, 26, 9)","(13, 34)",10,4,0.121,-0.082,0.118,-0.144,39.0
"(12, 26, 9)","(13, 34)",20,2,0.111,-0.088,0.073,-0.127,39.0
"(12, 26, 9)","(13, 34)",20,3,0.102,-0.096,0.1,-0.174,41.0
"(12, 26, 9)","(13, 34)",20,4,0.107,-0.124,0.084,-0.091,41.0
"(12, 26, 9)","(13, 34)",30,2,0.09,-0.097,0.068,-0.07,41.0
"(12, 26, 9)","(13, 34)",30,3,0.087,-0.085,0.068,-0.072,43.0
"(12, 26, 9)","(13, 34)",30,4,0.066,-0.077,0.021,-0.113,43.0
"(12, 26, 9)","(13, 34)",40,2,0.088,-0.075,0.099,-0.074,43.0
"(12, 26, 9)","(13, 34)",40,3,0.056,-0.089,0.034,-0.118,41.0
"(12, 26, 9)","(13, 34)",40,4,0.054,-0.087,0.063,-0.123,39.0
