品种,MACD,LON,MA,离场根,样本内夏普,样本外夏普,样本内收益%,样本外收益%
A0,"(12, 26, 9)","(10, 20)",40,4,0.03,-0.28,-24.0,-21.0
AG0,"(8, 17, 9)","(5, 15)",10,2,0.62,0.7,106.0,71.0
AL0,"(8, 17, 9)","(5, 15)",20,4,0.67,0.26,214.0,17.0
AP0,"(12, 26, 9)","(13, 34)",20,4,0.28,0.25,22.0,6.0
AU0,"(8, 17, 9)","(13, 34)",40,2,0.47,0.72,84.0,62.0
BU0,"(6, 19, 6)","(5, 15)",30,4,0.28,0.24,39.0,10.0
C0,"(8, 17, 9)","(5, 15)",40,3,0.06,0.59,-7.0,36.0
CF0,"(8, 17, 9)","(10, 20)",20,3,0.63,0.72,190.0,72.0
CS0,"(12, 26, 9)","(13, 34)",20,2,0.14,-0.31,8.0,-8.0
CU0,"(12, 26, 9)","(10, 20)",10,4,0.89,0.69,579.0,63.0
EG0,"(12, 26, 9)","(10, 20)",10,2,0.37,-1.18,21.0,-18.0
FG0,"(12, 26, 9)","(5, 15)",10,2,0.61,0.46,86.0,24.0
FU0,"(12, 26, 9)","(13, 34)",20,2,0.28,-0.18,59.0,-29.0
HC0,"(8, 17, 9)","(10, 20)",20,2,0.57,0.51,103.0,17.0
I0,"(6, 19, 6)","(5, 15)",30,2,0.13,-0.44,-2.0,-30.0
IC0,"(5, 34, 5)","(5, 15)",20,4,0.04,-0.07,-5.0,-8.0
IF0,"(12, 26, 9)","(13, 34)",40,4,0.32,-0.26,25.0,-10.0
IH0,"(8, 17, 9)","(13, 34)",10,3,0.41,-0.47,29.0,-11.0
IM0,"(6, 19, 6)","(5, 15)",20,2,0.0,-1.15,-4.0,-17.0
JD0,"(8, 17, 9)","(13, 34)",10,2,-0.17,-0.9,-42.0,-40.0
JM0,"(12, 26, 9)","(10, 20)",30,4,0.64,0.01,212.0,-11.0
L0,"(12, 26, 9)","(10, 20)",10,3,0.59,-0.2,149.0,-12.0
M0,"(8, 17, 9)","(5, 15)",10,3,0.26,-0.06,47.0,-9.0
MA0,"(8, 17, 9)","(13, 34)",20,2,0.35,-0.13,43.0,-10.0
NI0,"(6, 19, 6)","(5, 15)",10,4,0.52,-0.23,106.0,-14.0
OI0,"(8, 17, 9)","(10, 20)",20,4,0.34,-0.11,68.0,-10.0
P0,"(5, 34, 5)","(5, 15)",20,3,0.37,-0.76,86.0,-60.0
PB0,"(12, 26, 9)","(5, 15)",10,2,0.21,-0.15,19.0,-6.0
PP0,"(5, 34, 5)","(10, 20)",40,4,0.28,0.39,34.0,19.0
RB0,"(12, 26, 9)","(13, 34)",20,2,0.52,-0.18,112.0,-14.0
RM0,"(12, 26, 9)","(5, 15)",30,2,0.11,-0.13,5.0,-12.0
RU0,"(12, 26, 9)","(10, 20)",10,4,0.71,0.41,469.0,35.0
SC0,"(5, 34, 5)","(5, 15)",20,2,0.49,0.41,72.0,21.0
SF0,"(12, 26, 9)","(5, 15)",10,2,0.7,-0.72,119.0,-22.0
SM0,"(8, 17, 9)","(13, 34)",10,2,0.38,-0.5,53.0,-16.0
SN0,"(5, 34, 5)","(13, 34)",30,3,1.01,0.24,307.0,10.0
SR0,"(12, 26, 9)","(5, 15)",30,2,0.27,-0.36,43.0,-17.0
SS0,"(12, 26, 9)","(10, 20)",20,2,0.53,-1.02,33.0,-14.0
T0,"(6, 19, 6)","(13, 34)",40,2,0.12,0.71,2.0,3.0
TA0,"(12, 26, 9)","(5, 15)",10,3,0.87,0.24,321.0,17.0
TF0,"(12, 26, 9)","(13, 34)",40,4,0.2,-0.62,2.0,-2.0
V0,"(5, 34, 5)","(5, 15)",10,4,0.56,0.5,111.0,43.0
Y0,"(5, 34, 5)","(5, 15)",40,2,0.33,-0.11,74.0,-17.0
ZN0,"(6, 19, 6)","(5, 15)",40,3,0.6,-0.48,253.0,-37.0
