品种,总收益%,夏普,交易,胜率%,盈亏比,平均赢%,平均亏%
AU,0.7,0.49,11,63.6,4.59,0.25,-0.1
AG,-0.9,-0.41,5,40.0,0.57,0.4,-0.47
AL,0.5,0.66,6,83.3,9.06,0.19,-0.11
CU,0.0,0.0,0,0.0,0.0,0.0,0.0
NI,1.4,0.65,1,100.0,inf,1.46,0.0
PB,-0.3,-0.74,2,50.0,0.36,0.08,-0.23
SN,-0.2,-0.08,2,50.0,0.53,0.09,-0.17
ZN,-0.3,-1.53,2,0.0,0.0,0.0,-0.07
RB,0.3,0.62,1,100.0,inf,0.33,0.0
HC,-0.8,-0.51,4,25.0,0.37,0.3,-0.27
I,0.3,0.85,1,100.0,inf,0.34,0.0
JM,-1.1,-0.97,1,0.0,0.0,0.0,-1.01
SF,-0.2,-0.54,1,0.0,0.0,0.0,-0.18
SM,0.0,0.0,0,0.0,0.0,0.0,0.0
SS,-0.8,-0.76,4,25.0,0.21,0.15,-0.23
TA,0.3,0.28,5,60.0,1.9,0.4,-0.31
MA,-1.6,-1.01,4,25.0,0.17,0.28,-0.54
PP,0.0,0.0,0,0.0,0.0,0.0,0.0
L,0.0,0.0,0,0.0,0.0,0.0,0.0
V,-0.2,-0.88,1,0.0,0.0,0.0,-0.1
EG,-9.2,-0.65,1,0.0,0.0,0.0,-9.19
FU,-4.3,-0.86,3,33.3,0.05,0.21,-2.09
BU,0.4,1.24,2,100.0,inf,0.25,0.0
SC,-1.1,-1.23,4,0.0,0.0,0.0,-0.21
RU,1.2,1.01,1,100.0,inf,1.27,0.0
FG,0.5,0.9,1,100.0,inf,0.56,0.0
