品种,v2总收益%,v2年化%,v2夏普,v2回撤%,v2交易,v2胜率%,v2平均持仓K,v1总收益%,v1夏普
IM0,18.2,4.6,0.41,-18.4,32,46.9,4.4,-13.7,-0.2
EG0,3.7,0.5,0.1,-24.2,72,43.1,4.5,-7.3,-0.02
IF0,1.3,0.1,0.06,-23.1,97,38.1,4.1,-19.9,-0.14
SM0,1.1,0.1,0.06,-32.6,98,32.7,4.5,-26.5,-0.07
M0,0.9,0.0,0.05,-32.9,201,44.8,4.5,-47.1,-0.14
P0,-1.1,-0.1,0.05,-47.8,194,37.6,4.3,-15.8,0.01
TF0,-4.5,-0.5,-0.61,-5.1,89,39.3,4.2,-3.4,-0.31
T0,-4.8,-0.5,-0.43,-5.7,95,41.1,4.1,-6.8,-0.45
SR0,-6.3,-0.3,-0.01,-29.9,190,39.5,4.4,-28.3,-0.1
L0,-6.5,-0.4,0.0,-38.0,178,37.1,4.4,40.8,0.2
CS0,-7.6,-0.7,-0.08,-30.9,114,46.5,4.6,-6.6,-0.0
BU0,-8.1,-0.7,-0.0,-38.8,120,38.3,4.4,-6.6,0.06
I0,-11.3,-1.0,0.02,-47.5,114,38.6,4.2,-77.5,-0.49
AG0,-11.4,-0.9,-0.03,-26.6,122,41.8,4.6,191.8,0.54
SF0,-12.6,-1.2,-0.06,-35.0,115,40.0,4.1,77.3,0.39
JD0,-19.6,-1.8,-0.09,-47.0,107,41.1,4.5,-90.8,-0.76
V0,-19.9,-1.3,-0.12,-25.5,162,35.2,4.1,-14.1,-0.0
IC0,-22.5,-2.8,-0.27,-37.4,91,37.4,4.0,-30.3,-0.22
AU0,-23.7,-1.5,-0.2,-39.6,174,38.5,4.1,96.9,0.4
PB0,-24.8,-1.9,-0.27,-40.3,153,34.6,4.1,-17.8,-0.07
IH0,-26.4,-3.3,-0.4,-30.4,96,32.3,4.1,-14.0,-0.08
PP0,-28.3,-2.8,-0.28,-37.0,120,36.7,4.3,-16.4,-0.05
SS0,-29.8,-5.4,-0.66,-34.7,58,34.5,4.4,6.0,0.13
MA0,-29.9,-3.2,-0.2,-52.0,111,36.9,4.2,26.6,0.21
AP0,-30.8,-4.4,-0.38,-32.2,74,33.8,4.2,-20.3,-0.0
NI0,-31.1,-3.4,-0.21,-49.0,126,38.1,4.1,-48.4,-0.17
C0,-31.9,-1.8,-0.21,-45.7,182,41.2,4.6,-5.0,0.04
Y0,-33.2,-2.0,-0.21,-51.2,187,33.2,4.2,-7.7,0.03
A0,-34.5,-2.0,-0.11,-63.7,221,42.5,4.4,-57.7,-0.18
RB0,-35.4,-2.6,-0.23,-41.3,160,35.6,4.3,20.0,0.15
HC0,-36.2,-3.7,-0.32,-41.0,115,31.3,4.1,18.2,0.17
CF0,-36.3,-2.2,-0.25,-45.8,196,35.7,4.3,165.1,0.45
AL0,-38.0,-2.3,-0.3,-50.6,201,36.3,4.2,57.0,0.25
SN0,-38.5,-4.4,-0.37,-50.1,115,32.2,3.8,110.0,0.45
ZN0,-40.6,-2.8,-0.31,-57.8,173,37.6,4.2,33.8,0.18
JM0,-47.5,-4.9,-0.3,-50.7,123,31.7,3.9,136.5,0.41
OI0,-47.7,-3.5,-0.32,-53.0,199,38.2,4.2,19.0,0.14
SC0,-49.0,-8.2,-0.5,-56.4,82,35.4,3.8,-24.5,-0.04
FU0,-50.7,-3.4,-0.21,-52.1,158,32.3,4.3,-40.8,-0.03
RU0,-59.3,-4.3,-0.27,-71.3,207,38.2,4.3,407.9,0.51
RM0,-60.2,-6.9,-0.64,-65.8,128,34.4,4.1,-23.4,-0.08
TA0,-68.6,-6.0,-0.64,-69.9,182,33.0,4.2,105.0,0.32
CU0,-70.0,-5.7,-0.67,-72.1,208,30.8,3.8,941.8,0.79
