品种,最优规则,夏普,总收益%
A0,LON上+死叉+0轴下,0.16,30.0
AG0,LON上+金叉+0轴上,0.54,192.0
AL0,LON上+死叉+不限,0.43,141.0
AP0,LON上+金叉+不限,0.04,-15.0
AU0,LON上+金叉+不限,0.47,145.0
BU0,LON下+金叉+0轴上,0.54,78.0
C0,LON下+金叉+0轴上,0.17,21.0
CF0,LON下+死叉+0轴上,0.47,75.0
CS0,LON下+金叉+0轴下,0.09,4.0
CU0,LON上+金叉+0轴上,0.79,942.0
EG0,LON下+金叉+0轴下,0.7,142.0
FG0,LON下+金叉+0轴下,0.2,29.0
FU0,LON上+死叉+0轴下,0.11,8.0
HC0,LON上+死叉+不限,0.49,114.0
I0,LON上+死叉+0轴下,0.46,61.0
IC0,LON上+金叉+0轴下,0.08,3.0
IF0,LON下+金叉+0轴上,0.04,1.0
IH0,LON下+死叉+不限,0.22,10.0
IM0,LON上+死叉+0轴下,0.28,1.0
JD0,LON下+金叉+0轴上,0.24,26.0
JM0,LON上+金叉+0轴上,0.41,136.0
L0,LON上+金叉+不限,0.23,54.0
M0,LON下+金叉+0轴上,0.16,17.0
MA0,LON上+死叉+0轴上,0.36,69.0
NI0,LON下+金叉+0轴上,0.61,84.0
OI0,LON上+金叉+0轴上,0.14,19.0
P0,LON下+金叉+不限,0.31,100.0
PB0,LON下+死叉+0轴上,0.19,7.0
PP0,LON下+金叉+0轴上,0.28,18.0
RB0,LON下+金叉+0轴上,0.43,41.0
RM0,LON下+金叉+0轴上,0.2,19.0
RU0,LON上+金叉+0轴上,0.51,408.0
SC0,LON下+金叉+0轴下,0.51,124.0
SF0,LON上+金叉+0轴上,0.39,77.0
SM0,LON下+死叉+0轴上,0.52,75.0
SN0,LON上+死叉+0轴上,0.68,212.0
SR0,LON下+金叉+0轴上,0.09,4.0
SS0,LON上+死叉+0轴上,0.37,28.0
T0,LON上+金叉+0轴下,0.62,4.0
TA0,LON上+金叉+0轴下,0.42,41.0
TF0,LON上+金叉+0轴下,0.38,3.0
V0,LON下+金叉+0轴上,0.32,30.0
Y0,LON上+金叉+0轴下,0.28,41.0
ZN0,LON下+金叉+0轴上,0.32,44.0
