规则(多头),标注,组合年化%,组合夏普,组合回撤%,品种夏普中位,盈利品种%,平均交易/品种,玻璃收益%
LON上+金叉+0轴上,★原版,2.3,0.38,-16.3,0.0,39.0,58.0,-12.0
LON上+死叉+不限,,2.0,0.34,-16.2,0.02,39.0,118.0,-46.0
LON上+金叉+不限,,2.2,0.33,-21.1,0.03,36.0,76.0,-5.0
LON上+死叉+0轴上,,1.7,0.32,-15.4,0.02,41.0,106.0,-36.0
LON上+死叉+0轴下,,0.3,0.13,-3.9,-0.14,30.0,11.0,-14.0
LON上+金叉+0轴下,☆你的变体,0.1,0.04,-11.9,-0.01,36.0,21.0,11.0
LON下+金叉+0轴下,,-0.1,0.0,-14.8,-0.07,34.0,115.0,29.0
LON下+死叉+0轴上,,-0.0,0.0,-4.2,-0.0,45.0,19.0,-20.0
LON下+金叉+0轴上,,-0.2,-0.06,-11.4,0.09,59.0,10.0,-12.0
LON下+金叉+不限,,-0.9,-0.15,-22.0,-0.06,30.0,118.0,21.0
LON下+死叉+不限,,-0.6,-0.36,-14.7,-0.1,20.0,101.0,-17.0
LON下+死叉+0轴下,,-0.7,-0.51,-16.5,-0.17,23.0,81.0,6.0
