品种,起始,结束,总收益%,年化%,买入持有%,夏普,索提诺,卡玛,最大回撤%,交易次数,多头次数,空头次数,胜率%,盈亏比,平均持仓K,持仓占比%
CU0,2005-01-04,2026-06-08,941.8,12.0,264.6,0.79,0.73,0.47,-25.6,88,53,35,48.9,3.73,21.9,37.0
RU0,2005-01-04,2026-06-08,407.9,8.2,46.1,0.51,0.46,0.22,-38.0,85,49,36,45.9,2.69,21.1,34.5
AG0,2012-05-10,2026-06-08,191.8,8.2,163.8,0.54,0.4,0.23,-35.2,49,23,26,36.7,2.8,19.4,27.8
CF0,2005-01-04,2026-06-08,165.1,4.8,27.8,0.45,0.37,0.21,-22.7,80,47,33,46.2,2.45,21.9,33.6
JM0,2013-03-22,2026-06-08,136.5,7.0,12.8,0.41,0.35,0.15,-48.1,53,26,27,43.4,2.17,23.5,38.9
SN0,2015-03-27,2026-06-08,110.0,7.1,2405.4,0.45,0.4,0.2,-34.9,50,33,17,42.0,2.13,23.0,42.2
TA0,2006-12-19,2026-06-08,105.0,3.9,-27.4,0.32,0.28,0.15,-26.5,81,44,37,34.6,1.84,20.0,34.3
AU0,2008-01-09,2026-06-08,96.9,3.9,321.9,0.4,0.32,0.2,-19.3,78,51,27,48.7,1.99,21.5,37.5
SF0,2014-08-12,2026-06-08,77.3,5.2,0.1,0.39,0.31,0.12,-42.8,43,19,24,39.5,2.23,20.8,31.4
AL0,2005-01-04,2026-06-08,57.0,2.2,50.1,0.25,0.19,0.07,-31.5,83,48,35,36.1,1.61,21.4,34.0
L0,2007-07-31,2026-06-08,40.8,1.9,-35.2,0.2,0.17,0.04,-48.5,75,45,30,42.7,1.73,19.3,31.5
ZN0,2007-03-26,2026-06-08,33.8,1.6,-15.7,0.18,0.15,0.03,-47.8,73,42,31,31.5,1.5,19.9,31.1
MA0,2014-12-24,2026-06-08,26.6,2.2,67.9,0.21,0.18,0.06,-38.8,51,26,25,35.3,1.45,19.0,35.0
RB0,2009-03-27,2026-06-08,20.0,1.1,-11.3,0.15,0.11,0.02,-48.6,61,35,26,34.4,1.44,21.7,31.6
OI0,2007-06-08,2026-06-08,19.0,1.0,12.0,0.14,0.11,0.03,-34.8,82,48,34,40.2,1.33,19.2,34.1
HC0,2014-03-21,2026-06-08,18.2,1.4,1.5,0.17,0.13,0.03,-48.3,48,25,23,43.8,1.42,21.4,34.6
SS0,2019-09-25,2026-06-08,6.0,0.9,-3.5,0.13,0.12,0.04,-21.7,26,14,12,38.5,1.39,22.0,35.3
TF0,2017-01-17,2026-06-08,-3.4,-0.4,7.4,-0.31,-0.25,-0.08,-5.0,37,25,12,29.7,0.84,18.4,29.9
C0,2005-01-04,2026-06-08,-5.0,-0.2,103.7,0.04,0.03,-0.0,-51.6,84,48,36,42.9,1.24,21.0,33.8
CS0,2014-12-22,2026-06-08,-6.6,-0.6,-0.6,-0.0,-0.0,-0.02,-38.1,50,27,23,32.0,1.17,18.5,33.3
BU0,2013-10-09,2026-06-08,-6.6,-0.6,-1.6,0.06,0.05,-0.01,-46.3,55,30,25,36.4,1.22,20.5,36.6
T0,2017-01-17,2026-06-08,-6.8,-0.8,13.0,-0.45,-0.34,-0.1,-8.0,36,24,12,27.8,0.57,18.4,29.1
EG0,2018-12-10,2026-06-08,-7.3,-1.0,-18.1,-0.02,-0.01,-0.03,-38.6,19,8,11,36.8,1.12,16.2,16.9
Y0,2006-01-09,2026-06-08,-7.7,-0.4,64.4,0.03,0.02,-0.01,-39.3,82,48,34,40.2,1.14,18.8,31.0
IM0,2022-07-22,2026-06-08,-13.7,-3.9,16.0,-0.2,-0.12,-0.09,-41.2,14,9,5,28.6,0.86,17.6,26.3
IH0,2017-01-17,2026-06-08,-14.0,-1.7,21.0,-0.08,-0.07,-0.06,-28.2,43,20,23,46.5,0.97,18.8,35.6
V0,2009-05-25,2026-06-08,-14.1,-0.9,-26.4,-0.0,-0.0,-0.02,-38.7,69,31,38,36.2,1.08,19.0,31.7
P0,2007-10-29,2026-06-08,-15.8,-1.0,11.9,0.01,0.01,-0.02,-45.3,76,39,37,36.8,1.14,19.8,33.2
PP0,2014-02-28,2026-06-08,-16.4,-1.5,-15.7,-0.05,-0.04,-0.04,-41.1,53,26,27,35.8,1.02,18.0,32.1
PB0,2011-03-24,2026-06-08,-17.8,-1.3,-13.7,-0.07,-0.05,-0.03,-41.7,62,27,35,29.0,0.98,17.0,28.6
IF0,2017-01-17,2026-06-08,-19.9,-2.4,41.2,-0.14,-0.11,-0.06,-40.1,43,21,22,37.2,0.93,19.0,35.9
AP0,2017-12-22,2026-06-08,-20.3,-2.8,-8.1,-0.0,-0.0,-0.05,-58.5,28,15,13,42.9,1.04,23.8,32.6
RM0,2012-12-28,2026-06-08,-23.4,-2.0,-6.6,-0.08,-0.05,-0.06,-35.5,43,25,18,37.2,0.95,18.2,24.0
SC0,2018-03-26,2026-06-08,-24.5,-3.5,42.6,-0.04,-0.03,-0.07,-48.8,32,17,15,37.5,1.03,20.0,32.2
SM0,2014-08-12,2026-06-08,-26.5,-2.7,-6.4,-0.07,-0.04,-0.06,-47.6,45,17,28,33.3,1.03,17.2,27.4
SR0,2006-01-12,2026-06-08,-28.3,-1.7,14.2,-0.1,-0.08,-0.03,-53.5,86,44,42,30.2,0.97,19.6,34.0
IC0,2017-01-17,2026-06-08,-30.3,-3.9,30.8,-0.22,-0.16,-0.11,-36.6,39,20,19,30.8,0.8,18.2,31.2
FU0,2005-01-04,2026-06-08,-40.8,-2.5,101.4,-0.03,-0.02,-0.03,-80.4,64,40,24,34.4,1.14,22.9,28.3
M0,2005-01-04,2026-06-08,-47.1,-3.0,35.1,-0.14,-0.1,-0.05,-60.7,82,45,37,31.7,0.92,17.9,28.1
NI0,2015-03-27,2026-06-08,-48.4,-5.9,37.6,-0.17,-0.13,-0.09,-66.7,56,31,25,26.8,0.79,16.6,34.2
A0,2005-01-04,2026-06-08,-57.7,-4.1,65.4,-0.18,-0.11,-0.06,-65.2,91,48,43,28.6,0.81,16.9,29.5
I0,2013-10-18,2026-06-08,-77.5,-11.5,-22.3,-0.49,-0.32,-0.14,-84.4,46,28,18,32.6,0.45,18.9,28.4
JD0,2013-11-08,2026-06-08,-90.8,-17.9,16.6,-0.76,-0.36,-0.2,-91.1,51,22,29,25.5,0.15,16.1,26.9
