板块,品种,名称,年数,MTF年化,MTF夏普,MTF回撤,MTF_Calmar,小周期年化,小周期夏普,买持年化,胜率,年换手
有色,SN0,沪锡,10.8,0.08864787391999451,0.6793988483332128,-0.3267160152064087,0.2713300536063089,0.054536008823210746,0.3885717923826147,0.13959015046137302,0.5064562410329986,19.550329833706517
贵金属,AU0,黄金,17.8,0.08178785038884406,0.6511952493222006,-0.3711674528901223,0.22035296939965243,0.047329386039645094,0.35371826191391204,0.08417446336290979,0.5119721375707444,29.181938611638845
有色,AL0,沪铝,20.7,0.06164492927814691,0.5293949100730299,-0.3564807963707449,0.17292636771949796,0.06643869581907214,0.462559602673823,0.019322664243684118,0.4975256947087933,28.599715875983225
有色,CU0,沪铜,20.7,0.05432005654048955,0.48666010668649634,-0.3425511749796699,0.1585750115839287,0.07076422984074848,0.48436540616365625,0.06511271872967472,0.49551307062036676,21.721512384128
黑色,RB0,螺纹钢,16.6,0.05217792391424392,0.456536393342236,-0.3583299730758276,0.14561417641499486,0.12535627556959117,0.7552352484671561,-0.007299552800998033,0.5062719518314099,18.150513097175036
黑色,HC0,热卷,11.8,0.04911167540915007,0.44607293467569054,-0.38166516803506867,0.12867738405889195,0.07066039227616283,0.4862414367322892,0.0011460706124306608,0.5010600706713781,17.501296150232374
黑色,JM0,焦煤,12.7,0.04833667307506073,0.44492418818730434,-0.3593485724526627,0.1345119384923344,0.015437035163950785,0.1749637923297121,0.008657423230393535,0.5038302887448438,12.315118820435522
黑色,J0,焦炭,14.6,0.04712699968301326,0.4150350405378824,-0.36991120087597895,0.12740084531480203,0.07338628029554206,0.4893841789338586,-0.0017223000313368875,0.49460625674217906,12.51969674117325
能化,TA0,PTA,18.8,0.04411552220005244,0.4085670764874699,-0.29148542197104055,0.15134726773552115,0.07574764322767535,0.5140926100243749,-0.02268188109601854,0.4762320104666376,17.378433462967315
农产品,CF0,棉花,20.7,0.04246436252823993,0.3684124363775335,-0.3373823394593316,0.125864212680162,0.020425025869448277,0.20221094755410216,0.012435943060388421,0.496276991809382,25.987467544618053
能化,RU0,橡胶,20.7,0.039884455020050114,0.3648329448316744,-0.4703947051147974,0.0847893366706084,0.05414585571332098,0.38586727758056505,0.012545729302353426,0.5037833532457189,13.00570538726238
黑色,SF0,硅铁,11.3,0.04083066378285993,0.34498474125686024,-0.39059693393793216,0.10453400996063152,0.012625984189087003,0.1612855086760369,-0.0021878936324146725,0.47776183644189385,18.99066873581602
能化,V0,PVC,16.4,0.03447902377977918,0.32566955582120444,-0.258376872126015,0.13344469842085227,0.0186117947069675,0.19311167276583446,-0.020540540700413223,0.49157581764122893,22.136039875552704
能化,FG0,玻璃,13.0,0.025138301373450744,0.2572657725455848,-0.3323843981416055,0.07563020861990367,-0.004476533378354852,0.06919375407134284,-0.02140574005818996,0.49595519601742377,14.458890195093957
能化,L0,塑料,18.2,0.021168936771889912,0.2304299301053848,-0.4396116575080681,0.0481537202445579,0.0403491058014005,0.31790515265871083,-0.02977876376833566,0.49522445081184335,19.146046441256907
农产品,SR0,白糖,19.7,0.019230000189732088,0.21703110304663936,-0.4102827524090664,0.046870115979331,-0.021365420666418,-0.04169412609055129,0.0068104869885170505,0.4952810832991383,22.940995286555566
贵金属,AG0,白银,13.6,0.015122925454700509,0.1808321733976116,-0.45298915874953694,0.033384740368725144,-0.02345519534392526,-0.04851909118425387,0.07697085298572515,0.48818407960199006,19.100549553594487
能化,PP0,聚丙烯,11.9,0.01066120761997058,0.1474884906672387,-0.42797594348779133,0.024910763752483456,0.0038583892251271568,0.1076018409668887,-0.02571593280451001,0.48190205819730303,21.479180071873373
能化,MA0,甲醇,11.0,0.009425029306345367,0.1386905466246825,-0.26738293171682204,0.03524918081280954,0.014653117377803504,0.17044447162808568,0.0335099535436536,0.47326416600159615,14.512818940943818
有色,ZN0,沪锌,18.6,0.0041981298903408515,0.09600729827742702,-0.41827695961642153,0.010036722783369952,-0.029132387580050323,-0.09834046197805496,-0.00894837781633473,0.4897301651228353,19.33878348976698
能化,SA0,纯碱,6.3,0.003320941813559797,0.0908112985124114,-0.21926613453967048,0.01514571240347633,0.03864696594858552,0.2993578565362663,-0.02888144917778901,0.5122265122265123,11.748538755564795
农产品,C0,玉米,20.7,0.0020031298407288123,0.08501199775702929,-0.5419918915530073,0.003695866805293164,-0.00469914386550585,0.07635932994004746,0.033039923022207596,0.47810650887573963,31.490328574763875
农产品,Y0,豆油,19.7,-0.0009955428152571555,0.050927605360569235,-0.5646483493789239,-0.0017631200309930722,0.038842514945222284,0.31239555588299184,0.025575874439634827,0.49730625777041026,19.831571966692493
农产品,P0,棕榈油,18.0,-0.0017625952531254985,0.04391557056580995,-0.31981771531568925,-0.0055112495922424315,0.05995552647840641,0.43237099783847177,0.005783264577852165,0.5015801354401805,15.569267256480806
农产品,B0,豆二,17.5,-0.011069566763146632,-0.017641753062192,-0.40308976163280896,-0.027461790937846633,-0.05561975541060338,-0.20670479556910298,-0.021960036561807006,0.4796279893711249,18.617303086744766
有色,NI0,沪镍,10.8,-0.013638134071406238,-0.05064276784206591,-0.3126408839003114,-0.04362236282493012,-0.037268572867528715,-0.14810736631861535,0.039682069041602874,0.502498215560314,16.310375667954318
有色,PB0,沪铅,14.7,-0.01637442041193793,-0.06763216020512001,-0.41904343482190776,-0.039075711611845226,0.00010062778009212181,0.08721812201116654,-0.009487906808562263,0.47095565271705186,27.942202136414764
能化,BU0,沥青,12.2,-0.017351568048335375,-0.08275593777765403,-0.39052389636424667,-0.04443151420406639,0.00027863254544935323,0.0891605520923722,-0.015274007971725512,0.4788448623237072,16.579891359842513
黑色,SM0,锰硅,11.2,-0.0263795577110435,-0.15645203868959429,-0.3983876551201331,-0.06621580104707007,-0.0007252450346959538,0.08491530851672945,-0.006505795719512708,0.49001536098310294,17.218380360324925
农产品,OI0,菜油,18.3,-0.027960826326686727,-0.16367637437338373,-0.5896132328263708,-0.047422318173989536,-0.06053780049950308,-0.2736153835668295,0.00493794414267934,0.47293064876957497,23.098106814692436
黑色,I0,铁矿石,12.2,-0.030321907811605264,-0.18895563181685004,-0.5119408902263722,-0.05922931414639958,-0.008736600740863909,0.03611020380601819,-0.02967861516204562,0.4887267904509284,11.269728222967881
农产品,A0,豆一,20.7,-0.035950609969380154,-0.2171484349178068,-0.6650217191815122,-0.054059302023439226,-0.06213587992751379,-0.248108044421131,0.005647600846790279,0.481947261663286,23.61413473120281
